symbol	length	Control_D0	Control_D1	APOBEC3C_D0	APOBEC3C_D1
ENSG00000100934.10	3843.19	13668.00	14350.00	16653.00	15916.94
ENSG00000100938.13	1549.65	2586.00	2616.00	2944.00	3811.00
ENSG00000100941.4	3340.41	8219.00	9414.00	8202.00	8900.00
ENSG00000100949.10	1466.45	641.00	516.00	586.00	990.00
ENSG00000100968.9	982.09	11.00	9.00	19.00	20.00
ENSG00000100979.10	1653.60	194.00	177.00	268.00	467.00
ENSG00000100982.7	2719.38	585.00	503.00	558.00	735.00
ENSG00000100983.5	1907.20	490.00	477.00	847.00	1057.00
ENSG00000100985.7	2336.00	0.00	0.00	0.00	0.00
ENSG00000100987.10	2155.00	1.00	0.00	0.00	1.00
ENSG00000100991.7	3167.71	3565.00	3353.00	3367.00	4753.00
ENSG00000100994.7	3774.00	976.00	957.00	1598.00	2134.00
ENSG00000100997.14	1556.80	577.00	542.00	823.00	1100.00
ENSG00000101000.4	1348.00	33.00	31.00	43.00	48.00
ENSG00000101003.8	3101.07	251.00	232.00	306.00	340.00
ENSG00000101004.10	2818.54	1587.00	1269.00	1306.00	1849.00
ENSG00000101017.9	1349.87	70.00	51.00	51.00	83.00
ENSG00000101019.17	2077.01	1563.00	1687.00	1648.00	1983.00
ENSG00000101040.15	4732.97	4642.00	4237.98	3895.00	4426.00
ENSG00000101049.10	2157.62	171.00	153.00	142.00	191.00
ENSG00000101052.8	1441.78	391.00	431.00	567.00	616.00
ENSG00000101057.11	2639.00	309.00	203.00	333.00	420.00
ENSG00000101076.12	4284.68	2440.00	2508.00	2777.00	4028.00
ENSG00000101079.16	2962.67	920.00	1047.00	1181.00	1340.00
ENSG00000101082.9	2463.26	36.00	60.00	92.00	82.00
ENSG00000101084.12	1036.91	1136.94	1076.20	1055.84	1292.64
ENSG00000101096.15	7209.66	340.00	334.00	303.00	397.00
ENSG00000101098.8	5203.00	2.00	3.00	10.00	9.00
ENSG00000101104.8	1626.71	2177.00	2053.00	2148.00	2860.00
ENSG00000101109.7	6238.53	1520.00	1718.00	1761.00	1850.00
ENSG00000101115.8	2040.20	192.00	147.00	174.00	212.00
ENSG00000101126.11	5699.12	2783.00	2955.00	2777.00	2892.00
ENSG00000101132.5	634.95	853.00	1003.00	1057.00	982.00
ENSG00000101138.7	1920.82	680.00	729.00	794.00	899.00
ENSG00000101144.8	1244.00	0.00	0.00	0.00	0.00
ENSG00000101146.8	1602.22	815.00	815.00	850.00	1027.00
ENSG00000101150.13	2411.79	2814.00	2863.00	3151.00	4223.00
ENSG00000101152.6	5003.61	1684.00	1450.00	1778.00	2825.00
ENSG00000101158.8	1843.32	2442.00	2352.00	2777.00	3664.00
ENSG00000101160.9	1495.00	3.00	6.00	6.00	16.00
ENSG00000101161.6	3044.00	2209.00	1922.00	2137.00	3168.00
ENSG00000101162.3	3496.00	340.00	448.00	907.00	1217.00
ENSG00000101166.11	1945.72	460.00	511.00	403.00	471.00
ENSG00000101180.11	2159.00	0.00	0.00	1.00	0.00
ENSG00000101181.13	1391.76	280.00	249.00	314.00	547.00
ENSG00000101182.10	968.51	1575.00	1626.00	1588.00	2379.00
ENSG00000101187.11	1729.52	1549.00	997.00	653.00	1259.00
ENSG00000101188.4	2950.00	0.00	1.00	2.00	9.00
ENSG00000101189.5	1636.00	544.00	482.00	344.00	558.00
ENSG00000101190.8	2455.51	270.00	295.00	293.00	331.00
ENSG00000101191.12	4157.12	3951.00	3524.00	3266.00	4208.00
ENSG00000101193.6	1533.91	1554.00	1223.00	1155.00	1473.00
ENSG00000101194.13	2251.03	5802.93	3948.00	4794.00	8212.00
ENSG00000101197.8	1067.74	20.00	22.00	21.00	47.00
ENSG00000101199.8	2257.67	3744.00	2175.00	2805.00	5516.00
ENSG00000101203.12	3138.00	0.00	0.00	0.00	0.00
ENSG00000101204.11	4776.00	0.00	0.00	0.00	2.00
ENSG00000101210.6	1843.00	220.00	136.00	198.00	253.00
ENSG00000101213.5	2495.00	0.00	1.00	0.00	2.00
ENSG00000101216.6	4226.80	259.00	209.00	213.00	412.00
ENSG00000101220.13	1325.33	259.00	224.00	186.00	454.00
ENSG00000101222.8	1580.00	0.00	0.00	0.00	1.00
ENSG00000101224.13	2888.09	1558.00	995.00	573.00	868.00
ENSG00000101230.5	2593.00	3.00	11.00	14.00	19.00
ENSG00000101236.12	6283.49	738.00	793.00	487.00	654.00
ENSG00000101246.15	1695.32	260.00	243.00	314.00	564.00
ENSG00000101247.13	844.52	279.00	291.00	333.00	412.00
ENSG00000101255.6	2488.86	1811.00	1640.00	1044.00	1539.00
ENSG00000101265.11	5427.00	23.00	14.00	42.00	54.00
ENSG00000101266.12	3047.42	5375.36	5241.32	4612.29	4941.75
ENSG00000101276.10	2598.00	0.00	0.00	0.00	2.00
ENSG00000101278.6	531.00	0.00	0.00	2.00	0.00
ENSG00000101290.9	3812.75	3737.00	3825.00	4059.00	4521.00
ENSG00000101294.12	1446.66	1972.72	1906.34	1852.59	2796.13
ENSG00000101298.9	4995.00	0.00	1.00	0.00	4.00
ENSG00000101306.6	2487.89	2.00	1.00	1.00	3.00
ENSG00000101307.11	1661.89	5.70	3.33	0.00	6.79
ENSG00000101310.10	2876.72	1461.00	1538.00	1773.00	2185.00
ENSG00000101311.11	4209.22	483.00	528.00	685.00	800.00
ENSG00000101323.4	1777.00	0.00	0.00	0.00	0.00
ENSG00000101331.11	1841.00	1.00	1.00	1.00	3.00
ENSG00000101333.12	4045.57	2.00	2.00	1.00	0.00
ENSG00000101335.5	1187.72	38.00	18.00	51.00	75.00
ENSG00000101336.8	1969.00	0.00	3.00	1.00	1.00
ENSG00000101337.11	3924.37	5424.00	5150.00	5820.00	7187.00
ENSG00000101342.5	2083.00	5.00	5.00	18.00	14.00
ENSG00000101343.10	3678.83	738.00	892.00	913.00	949.00
ENSG00000101346.7	4535.50	1875.00	2046.00	2110.00	2656.00
ENSG00000101347.7	4554.16	373.00	531.00	745.00	778.00
ENSG00000101349.12	4631.00	0.00	0.00	0.00	0.00
ENSG00000101350.6	6075.25	1417.00	1624.00	1697.00	1840.00
ENSG00000101353.10	1663.56	35.00	33.00	43.00	56.00
ENSG00000101361.10	919.50	3091.00	3425.00	3258.00	3771.00
ENSG00000101363.8	1318.50	562.00	498.00	564.00	823.00
ENSG00000101365.16	1274.47	1211.00	1143.00	1016.00	1566.00
ENSG00000101367.8	2623.00	2988.00	3356.00	3236.00	3640.00
ENSG00000101384.7	5950.37	3255.45	2740.83	2431.92	2806.00
ENSG00000101391.16	1366.03	770.00	797.00	822.00	858.00
ENSG00000101400.5	2342.00	220.00	166.00	192.00	267.00
ENSG00000101407.8	3789.39	762.00	706.00	767.00	879.00
ENSG00000101412.9	2503.00	178.00	154.00	219.00	340.00
ENSG00000101413.7	3406.05	949.00	1021.00	916.00	1143.00
ENSG00000101421.3	1646.00	1356.00	1274.00	1414.00	1793.00
ENSG00000101439.4	849.78	2950.00	2258.00	2616.00	5238.00
ENSG00000101440.5	598.00	0.00	0.00	0.00	0.00
ENSG00000101441.4	751.00	0.00	0.00	0.00	1.00
ENSG00000101442.8	2236.00	299.00	299.00	299.00	386.00
ENSG00000101443.13	637.93	7.00	9.00	10.00	23.00
ENSG00000101444.8	2137.98	7192.98	6057.98	6524.00	9136.96
ENSG00000101445.5	6251.00	6.00	6.00	7.00	12.00
ENSG00000101447.9	2429.00	708.00	540.00	332.00	398.00
ENSG00000101452.10	3045.25	612.00	571.00	620.00	787.00
ENSG00000101457.8	1257.85	416.00	396.00	469.00	626.00
ENSG00000101464.6	1623.17	993.00	1003.00	1395.00	1643.00
ENSG00000101470.5	724.33	6.00	8.00	15.00	28.00
ENSG00000101473.12	1284.32	203.00	185.00	209.00	349.00
ENSG00000101474.7	2280.76	3676.00	3521.00	3254.00	4298.00
ENSG00000101489.14	2542.00	2.00	0.00	0.00	1.00
ENSG00000101493.6	6474.89	1366.00	1182.00	1005.00	1319.00
ENSG00000101544.4	5393.00	1023.00	972.00	803.00	947.00
ENSG00000101546.8	1411.37	275.00	289.00	308.97	427.00
ENSG00000101557.10	3020.55	1140.00	1238.00	1260.00	1314.00
ENSG00000101558.9	1237.30	2304.99	2422.00	2230.00	2337.00
ENSG00000101574.10	2044.37	183.00	221.00	188.00	213.00
ENSG00000101577.5	5468.36	5432.00	4925.00	3261.00	4024.00
ENSG00000101596.10	6325.17	1996.00	2104.00	1836.00	1709.00
ENSG00000101605.8	4042.73	150.00	140.00	148.00	156.00
ENSG00000101608.8	1104.02	4321.01	4025.00	4334.00	4826.00
ENSG00000101624.6	2319.85	401.00	397.00	313.00	295.00
ENSG00000101638.9	2094.00	4.00	3.00	2.00	3.00
ENSG00000101639.14	5709.70	549.00	565.00	724.00	630.00
ENSG00000101654.13	4197.95	2088.00	1951.00	1783.00	1726.00
ENSG00000101665.4	2535.22	209.00	261.00	230.00	276.00
ENSG00000101670.7	2934.33	22.00	16.00	16.00	14.00
ENSG00000101680.9	5681.46	5.00	5.00	4.00	6.00
ENSG00000101695.4	4707.88	81.05	146.00	132.00	119.00
ENSG00000101745.11	7507.81	1208.00	1203.00	1065.00	921.00
ENSG00000101746.11	1540.44	0.00	0.00	0.00	0.00
ENSG00000101751.6	2433.46	479.00	529.00	715.00	699.00
ENSG00000101752.7	9317.30	2366.00	2502.00	2587.00	2345.00
ENSG00000101773.12	2327.75	268.00	306.00	379.00	342.00
ENSG00000101782.10	2586.91	1354.00	1318.00	1115.00	1038.00
ENSG00000101811.9	1966.64	226.00	220.00	257.00	304.00
ENSG00000101842.9	2997.00	1.00	3.00	2.00	2.00
ENSG00000101843.14	1447.30	516.00	612.00	543.00	578.00
ENSG00000101844.13	2130.38	56.00	58.00	91.00	97.00
ENSG00000101846.6	6521.00	29.00	36.00	65.00	64.00
ENSG00000101849.11	5284.38	1278.00	1238.00	1132.00	1342.00
ENSG00000101850.8	1519.86	13.00	18.00	21.00	24.00
ENSG00000101856.8	1911.00	934.00	1019.00	912.00	1040.00
ENSG00000101868.6	5479.76	154.00	178.00	244.00	233.00
ENSG00000101871.10	5234.66	68.00	67.00	63.00	65.00
ENSG00000101882.5	1557.93	284.00	272.00	307.00	314.00
ENSG00000101888.7	2108.89	165.00	200.00	265.00	256.00
ENSG00000101890.4	3714.00	2.00	1.00	0.00	0.00
ENSG00000101898.5	546.00	19.28	22.66	20.41	26.87
ENSG00000101901.6	1624.71	390.00	430.00	407.00	516.00
ENSG00000101911.8	2258.94	226.00	222.00	246.00	250.00
ENSG00000101928.8	1970.77	576.00	510.00	567.00	544.00
ENSG00000101935.5	4766.38	120.00	124.00	133.00	172.00
ENSG00000101940.13	1271.94	310.00	240.00	275.00	547.00
ENSG00000101945.12	2871.00	107.00	86.00	66.00	86.00
ENSG00000101951.12	487.00	0.00	2.00	1.00	1.00
ENSG00000101955.10	1478.92	5.00	6.00	9.00	14.00
ENSG00000101966.8	5028.26	797.00	961.00	761.00	847.00
ENSG00000101972.14	5291.53	1809.00	1887.00	1561.00	1513.00
ENSG00000101974.10	3129.72	548.00	575.00	600.00	560.00
ENSG00000101977.15	2583.00	2.00	1.00	2.00	4.00
ENSG00000101981.6	1475.33	0.00	1.00	1.00	0.00
ENSG00000101986.8	2731.97	388.00	256.00	312.00	718.00
ENSG00000101997.8	2269.60	160.00	122.00	146.00	287.00
ENSG00000102001.8	4297.34	24.00	13.00	13.00	14.00
ENSG00000102003.6	2350.07	222.00	215.00	86.00	129.00
ENSG00000102007.6	949.97	66.00	62.00	44.00	59.00
ENSG00000102024.13	2898.14	2255.00	2679.00	3017.00	2889.00
ENSG00000102030.11	928.19	383.80	387.00	406.00	588.00
ENSG00000102032.8	1388.00	11.00	23.00	18.00	34.00
ENSG00000102034.12	4146.81	385.00	292.00	275.00	331.00
ENSG00000102038.11	4035.93	6074.00	7033.00	7600.00	7040.00
ENSG00000102043.11	927.13	0.00	0.00	0.00	4.00
ENSG00000102048.11	1578.35	23.00	30.00	129.00	199.00
ENSG00000102053.11	7255.30	46.00	45.00	77.00	63.00
ENSG00000102054.13	1834.73	1280.00	1477.00	1538.00	1864.00
ENSG00000102057.5	4132.50	112.00	66.00	32.00	61.00
ENSG00000102078.11	982.38	99.00	125.00	130.00	189.00
ENSG00000102081.9	3012.40	2606.00	2952.00	2987.00	2900.00
ENSG00000102096.9	1883.86	197.00	159.00	176.00	211.00
ENSG00000102098.13	2859.62	147.00	183.00	260.00	252.00
ENSG00000102100.10	1917.68	337.00	322.00	395.00	575.00
ENSG00000102103.11	861.13	463.00	420.00	470.00	700.00
ENSG00000102109.7	1050.00	16.00	2.00	21.00	65.00
ENSG00000102119.6	1015.84	286.00	222.00	203.00	322.00
ENSG00000102125.11	1621.32	348.00	271.00	367.00	497.00
ENSG00000102128.6	1029.00	0.00	2.00	0.00	0.00
ENSG00000102144.9	1459.59	23665.00	20901.16	16541.00	19351.00
ENSG00000102145.9	1138.00	0.00	1.00	0.00	1.00
ENSG00000102158.15	4047.00	1267.00	1359.00	1368.00	1475.00
ENSG00000102172.11	1781.08	1480.97	1566.56	1588.94	1770.07
ENSG00000102174.7	4075.53	1.00	1.00	7.00	5.00
ENSG00000102178.8	2334.14	343.00	334.00	326.00	481.00
ENSG00000102181.15	3456.33	204.00	181.00	345.00	463.00
ENSG00000102189.12	9164.66	725.00	859.00	983.00	849.00
ENSG00000102218.5	3803.00	220.00	263.00	293.00	307.00
ENSG00000102221.9	4520.76	479.00	529.00	314.00	287.00
ENSG00000102225.11	1936.48	2322.00	1939.00	1965.00	2445.00
ENSG00000102226.5	2814.77	1193.00	1137.00	1298.00	1989.00
ENSG00000102230.9	4295.69	34.00	53.00	86.00	107.00
ENSG00000102241.7	2595.86	477.00	588.00	760.00	676.00
ENSG00000102265.7	898.52	473.00	338.00	470.00	684.00
ENSG00000102271.9	3886.67	0.00	3.00	15.00	21.00
ENSG00000102287.12	3283.39	2521.00	2365.00	2001.00	2390.00
ENSG00000102302.7	4275.00	77.00	79.00	95.00	99.00
ENSG00000102309.8	1226.25	273.00	340.00	272.00	328.00
ENSG00000102312.16	1402.88	39.00	39.00	63.00	69.00
ENSG00000102313.8	2813.00	0.00	0.00	0.00	0.00
ENSG00000102316.12	1599.53	2545.00	2178.00	2812.00	3599.00
ENSG00000102317.13	1418.64	1033.00	1230.00	1278.00	1544.00
ENSG00000102349.10	2858.04	3.00	1.00	3.00	2.00
ENSG00000102359.5	1971.98	30.00	41.00	52.00	48.00
ENSG00000102362.11	2851.38	63.00	67.00	53.00	52.00
ENSG00000102383.9	5796.00	3.00	7.00	2.00	2.00
ENSG00000102384.9	2537.81	71.00	66.00	84.00	70.00
ENSG00000102385.8	6835.00	23.00	21.00	35.00	28.00
ENSG00000102387.11	1579.00	0.00	0.00	0.00	1.00
ENSG00000102390.6	1178.05	244.00	311.00	271.00	301.00
ENSG00000102393.5	1060.16	262.00	223.00	207.00	233.00
ENSG00000102401.15	2646.46	856.00	990.00	1101.00	1105.00
ENSG00000102409.9	1066.00	1.00	1.00	1.00	1.00
ENSG00000102471.9	2542.21	654.00	714.00	749.00	732.00
ENSG00000102524.7	2582.00	7.00	8.00	0.00	5.00
ENSG00000102531.12	5973.84	1638.00	1843.00	2385.00	2309.00
ENSG00000102539.4	1314.50	0.00	0.00	0.00	0.00
ENSG00000102543.10	1838.74	83.00	99.00	100.00	96.00
ENSG00000102547.14	2874.57	111.48	109.83	117.00	127.58
ENSG00000102554.9	2580.58	272.00	267.00	186.00	215.00
ENSG00000102572.10	2316.46	3245.00	3020.00	2983.00	3297.00
ENSG00000102575.6	1397.00	13.00	12.00	26.00	34.00
ENSG00000102580.10	5591.00	680.00	873.00	935.00	845.00
ENSG00000102595.14	3438.18	875.00	969.00	993.00	909.00
ENSG00000102606.13	4059.28	1259.00	1089.00	941.00	1184.00
ENSG00000102678.6	1809.33	0.00	0.00	0.00	0.00
ENSG00000102699.5	5301.19	2735.97	2687.00	3206.00	3091.00
ENSG00000102710.15	2434.73	847.00	819.00	990.00	1050.00
ENSG00000102738.6	1195.56	279.00	345.00	316.00	379.00
ENSG00000102743.10	1578.66	240.00	249.00	336.00	368.00
ENSG00000102753.5	4470.00	777.00	908.00	1070.00	1074.00
ENSG00000102755.6	3033.00	0.00	0.00	0.00	0.00
ENSG00000102760.12	960.00	228.00	222.00	161.00	189.00
ENSG00000102763.11	6720.67	559.00	634.00	785.00	742.00
ENSG00000102780.12	17261.00	35.00	53.00	109.00	83.00
ENSG00000102781.9	4866.18	294.00	332.00	354.00	347.00
ENSG00000102786.10	2891.72	883.00	928.00	745.99	786.00
ENSG00000102796.6	1071.38	118.00	118.00	145.00	187.00
ENSG00000102804.10	1938.12	706.00	686.00	809.00	934.00
ENSG00000102805.9	3391.68	233.00	270.00	296.00	262.00
ENSG00000102837.6	2897.00	0.00	0.00	1.00	0.00
ENSG00000102854.10	1017.14	23.00	16.00	21.00	46.00
ENSG00000102858.8	2746.13	700.00	576.00	747.00	1361.00
ENSG00000102870.4	6079.00	535.00	570.00	648.00	795.00
ENSG00000102871.11	1651.60	79.00	83.00	60.00	142.00
ENSG00000102878.11	727.12	187.23	140.42	146.62	255.92
ENSG00000102879.11	1238.83	34.00	28.00	56.00	84.46
ENSG00000102882.7	1323.83	1416.00	1043.00	1378.00	1886.00
ENSG00000102886.10	1221.47	202.00	150.00	149.00	241.00
ENSG00000102890.10	2281.00	72.00	50.00	29.00	60.00
ENSG00000102893.11	3365.68	1831.00	1927.00	2246.00	2385.00
ENSG00000102897.5	1258.52	678.00	785.00	851.00	808.00
ENSG00000102898.7	1027.25	1277.00	1119.00	1122.00	1701.00
ENSG00000102900.8	1656.32	1122.00	1050.00	1039.00	1234.00
ENSG00000102901.8	1977.15	652.00	557.00	576.00	818.00
ENSG00000102904.10	1960.25	2.00	6.00	7.00	12.00
ENSG00000102908.16	11414.72	3879.73	4232.42	3877.39	3598.01
ENSG00000102910.9	4585.09	1600.00	1794.00	1898.00	2022.00
ENSG00000102921.3	4158.88	1239.00	1183.00	1246.00	1316.00
ENSG00000102931.3	2065.27	587.00	764.00	921.00	1154.00
ENSG00000102934.5	1517.00	679.00	591.00	793.00	1295.00
ENSG00000102935.7	4017.03	2.00	5.00	11.00	10.00
ENSG00000102962.4	2929.00	1.00	0.00	2.00	1.00
ENSG00000102967.7	1421.13	168.00	157.00	166.00	239.00
ENSG00000102974.10	3867.10	864.00	994.00	928.00	1019.00
ENSG00000102977.9	1456.77	219.00	137.00	228.00	375.00
ENSG00000102978.8	1813.17	1487.00	1469.00	1448.00	1995.00
ENSG00000102981.5	1233.91	17.00	14.00	19.00	46.00
ENSG00000102984.10	1650.40	92.00	88.00	87.00	134.00
ENSG00000102996.4	4250.00	1926.00	1305.00	1492.00	2426.00
ENSG00000103005.7	2297.61	895.00	873.00	1061.00	1317.00
ENSG00000103018.12	1629.32	1956.00	2118.00	2661.00	2935.02
ENSG00000103021.5	4390.02	14.00	13.88	36.00	34.00
ENSG00000103024.3	892.51	22.00	5.00	13.00	40.00
ENSG00000103034.10	2436.30	269.00	255.00	302.00	417.00
ENSG00000103035.6	1366.38	1517.00	1634.00	1651.00	2005.00
ENSG00000103037.7	1741.32	399.00	445.00	433.00	549.00
ENSG00000103042.4	3240.31	338.00	394.00	503.00	617.00
ENSG00000103043.10	2974.55	394.00	408.00	504.00	702.00
ENSG00000103044.6	4220.00	23.00	29.00	36.00	27.00
ENSG00000103047.3	4567.76	146.00	217.00	287.00	366.00
ENSG00000103051.14	2763.46	832.00	906.00	1082.00	1398.00
ENSG00000103056.7	4214.03	4.00	3.00	4.00	13.00
ENSG00000103061.7	3272.39	503.00	481.00	465.00	513.00
ENSG00000103064.9	4094.62	1942.00	2169.00	2179.00	2302.00
ENSG00000103066.8	2598.75	465.00	396.00	455.00	674.00
ENSG00000103067.7	2727.25	567.00	548.00	491.00	724.00
ENSG00000103089.4	1537.00	1.00	2.00	0.00	1.00
ENSG00000103091.10	2383.90	3486.00	3280.00	3173.00	4176.00
ENSG00000103111.10	3142.45	618.00	652.00	630.00	925.00
ENSG00000103121.4	725.03	373.00	347.00	289.00	363.00
ENSG00000103126.10	3420.48	1004.00	691.00	698.00	1208.00
ENSG00000103145.6	708.93	165.00	93.00	89.00	219.00
ENSG00000103148.11	1900.54	419.00	319.00	399.00	711.00
ENSG00000103150.4	2231.52	80.00	100.00	137.00	184.00
ENSG00000103152.7	1062.31	264.00	139.00	243.00	514.00
ENSG00000103154.5	617.00	0.00	0.00	1.00	1.00
ENSG00000103160.7	2525.29	1157.00	1296.00	1328.00	1441.00
ENSG00000103168.12	2751.12	711.00	542.00	644.00	1144.00
ENSG00000103174.7	2140.17	331.00	288.00	432.00	826.00
ENSG00000103184.7	6459.00	97.00	110.00	73.00	77.00
ENSG00000103187.6	1857.95	187.00	171.00	386.00	558.00
ENSG00000103194.11	2770.66	1652.00	1688.00	1493.00	1654.00
ENSG00000103196.7	4584.00	3.00	5.00	10.00	8.00
ENSG00000103197.12	2676.55	933.00	732.00	925.00	1500.00
ENSG00000103199.9	2726.80	103.00	79.00	101.00	175.00
ENSG00000103202.8	1050.81	804.50	693.32	898.35	1694.00
ENSG00000103222.14	5854.16	2616.00	2237.00	2363.00	2960.00
ENSG00000103226.13	2497.43	2401.01	2377.16	1873.94	2409.19
ENSG00000103227.14	1176.05	130.00	118.00	117.00	223.00
ENSG00000103245.9	1505.72	177.00	140.00	151.00	296.00
ENSG00000103248.13	1743.35	142.00	159.00	184.00	281.00
ENSG00000103249.13	2098.96	690.00	505.00	674.00	1202.00
ENSG00000103253.13	864.14	26.00	17.00	13.00	78.00
ENSG00000103254.5	645.20	9.00	6.00	14.00	26.00
ENSG00000103257.4	4046.68	4842.57	3782.08	4376.90	7132.21
ENSG00000103260.4	1239.67	41.00	51.00	48.00	88.00
ENSG00000103264.11	2409.44	1845.95	1440.00	1918.91	2930.82
ENSG00000103266.6	1047.92	198.00	172.00	251.00	453.00
ENSG00000103269.9	1560.53	42.00	14.00	37.00	80.00
ENSG00000103274.6	1172.75	373.00	382.00	493.00	604.00
ENSG00000103275.14	1358.63	1399.00	1297.00	1170.00	1470.00
ENSG00000103313.7	2959.00	1.00	1.00	5.00	3.00
ENSG00000103316.6	1206.31	56.00	51.00	58.00	74.00
ENSG00000103319.7	3942.34	1054.00	1084.00	1141.00	1457.00
ENSG00000103326.6	2715.40	205.00	113.00	138.00	350.00
ENSG00000103335.15	3206.57	1399.00	994.00	1034.00	2205.00
ENSG00000103342.8	2551.80	5813.00	6000.00	5212.00	5374.00
ENSG00000103343.8	1812.27	142.00	140.00	117.00	144.00
ENSG00000103351.8	1443.73	109.73	103.00	165.00	195.13
ENSG00000103353.11	3969.53	3035.00	3483.00	3970.00	4663.01
ENSG00000103356.11	3348.78	692.00	775.00	875.00	1055.00
ENSG00000103363.10	584.47	450.00	260.00	361.00	736.00
ENSG00000103365.11	3146.88	3258.00	3070.00	2961.00	3630.00
ENSG00000103375.6	1276.00	2.00	3.00	0.00	4.00
ENSG00000103381.7	2855.08	2137.00	1970.00	2663.00	3033.00
ENSG00000103404.10	9087.84	1857.37	1673.75	1625.11	1770.90
ENSG00000103415.7	1300.40	447.00	472.00	523.00	863.00
ENSG00000103423.9	2502.08	1295.00	1187.00	1344.00	1798.00
ENSG00000103429.6	1822.48	2365.00	2397.00	2593.00	2771.00
ENSG00000103449.7	4833.82	261.00	276.00	289.00	321.00
ENSG00000103460.12	2607.63	2026.00	2029.00	1468.00	1515.00
ENSG00000103472.5	1214.00	0.00	0.00	0.00	1.03
ENSG00000103479.10	3663.16	2035.00	2234.00	2192.00	2163.00
ENSG00000103485.13	2039.56	1647.00	1541.00	2037.00	3368.00
ENSG00000103489.7	2921.75	0.00	1.00	0.00	0.00
ENSG00000103490.13	662.87	17.00	12.00	5.00	8.00
ENSG00000103494.8	3396.80	112.00	122.00	197.00	237.00
ENSG00000103495.9	1231.99	3647.00	2784.00	2250.00	3632.00
ENSG00000103496.10	1314.66	412.00	324.00	386.00	627.00
ENSG00000103502.9	1702.18	634.00	529.00	532.00	871.00
ENSG00000103507.9	2056.19	578.00	573.00	636.00	1090.00
ENSG00000103510.15	1412.33	893.00	934.00	847.00	1107.00
ENSG00000103512.10	3633.03	10882.78	10723.65	10668.31	13372.82
ENSG00000103522.11	2953.00	21.00	10.00	26.00	28.00
ENSG00000103528.12	1362.02	1.00	0.00	2.00	4.00
ENSG00000103534.12	1284.61	22.00	25.00	31.00	37.00
ENSG00000103540.12	3896.22	1230.00	1170.00	1046.00	1008.00
ENSG00000103544.10	2565.24	28.00	36.00	61.00	55.00
ENSG00000103546.14	2649.80	29.00	25.00	62.00	91.00
ENSG00000103549.17	2269.60	1125.00	959.00	1004.00	1484.00
ENSG00000103550.9	1876.33	920.00	934.00	1017.00	1057.00
ENSG00000103569.5	1939.75	2.00	3.00	0.00	0.00
ENSG00000103591.8	2350.25	209.00	256.00	255.00	337.00
ENSG00000103599.15	2689.07	1.00	2.00	4.00	6.00
ENSG00000103642.7	1714.18	356.00	444.00	461.00	397.00
ENSG00000103647.8	3357.57	55.00	61.00	128.00	136.00
ENSG00000103653.12	1931.67	597.00	519.00	473.00	806.00
ENSG00000103657.9	4804.12	1344.00	1296.00	1133.00	1308.00
ENSG00000103671.5	1758.80	338.00	376.00	424.00	412.00
ENSG00000103707.5	1367.30	129.00	139.00	134.00	189.00
ENSG00000103710.6	1713.67	0.00	0.00	0.00	0.00
ENSG00000103723.8	1544.86	0.00	0.00	0.00	0.00
ENSG00000103740.5	2757.51	12.00	10.00	18.00	24.00
ENSG00000103742.7	3964.39	62.00	53.00	114.00	157.00
ENSG00000103769.5	990.72	1664.00	1634.00	2116.00	2140.00
ENSG00000103811.11	854.61	2413.00	2241.00	2733.00	3443.00
ENSG00000103832.10	1755.00	2.00	0.00	0.00	0.00
ENSG00000103852.8	2274.42	164.00	160.00	201.00	237.00
ENSG00000103855.13	1874.53	785.00	595.00	822.00	1300.00
ENSG00000103876.7	1327.72	398.00	399.00	564.00	708.00
ENSG00000103888.11	6873.38	162.00	128.00	296.00	407.00
ENSG00000103932.7	3217.48	813.00	685.00	794.00	1242.00
ENSG00000103942.8	2773.22	977.00	866.00	654.00	723.00
ENSG00000103966.5	3603.00	212.00	221.00	242.00	330.00
ENSG00000103978.11	2661.02	683.00	805.00	866.00	923.00
ENSG00000103994.12	8518.21	1178.00	1269.00	1268.00	1337.00
ENSG00000103995.9	5465.03	285.00	275.00	274.00	256.00
ENSG00000104043.10	1703.93	2.00	2.00	12.00	9.00
ENSG00000104044.11	3068.00	0.00	2.00	1.00	3.00
ENSG00000104047.10	1153.71	215.00	220.00	210.00	184.00
ENSG00000104055.10	1971.24	16.00	15.00	35.00	36.00
ENSG00000104064.12	1999.00	327.00	324.00	296.00	300.00
ENSG00000104067.12	5035.89	1341.00	1502.00	1538.00	1598.00
ENSG00000104081.9	4167.14	1520.00	1251.00	908.00	1184.00
ENSG00000104093.9	3551.55	506.00	616.00	652.00	662.00
ENSG00000104112.4	2123.00	0.00	0.00	3.00	0.00
ENSG00000104129.5	977.34	111.00	93.00	82.00	145.00
ENSG00000104131.8	1818.18	1174.00	1412.00	1256.00	1238.00
ENSG00000104133.10	3209.65	862.00	927.00	1164.00	1247.00
ENSG00000104140.6	1705.00	0.00	1.00	2.00	1.00
ENSG00000104142.6	3736.37	180.00	132.00	185.00	305.00
ENSG00000104147.4	1236.00	78.00	68.00	54.00	63.00
ENSG00000104154.5	7157.00	0.00	0.00	2.00	1.00
ENSG00000104164.6	3402.70	957.00	1111.00	1146.00	1128.00
ENSG00000104177.13	2029.69	778.00	793.00	794.00	757.00
ENSG00000104205.8	3330.31	172.00	170.77	271.34	230.92
