symbol	length	Control_D0	Control_D1	ACO1_D0	ACO1_D1
ENSG00000131470.10	1305.08	192.00	206.00	249.00	251.00
ENSG00000131471.2	2794.92	1780.76	1863.44	630.68	649.55
ENSG00000131473.12	4220.64	10791.00	11983.00	12117.00	11350.00
ENSG00000131475.2	1084.19	1493.00	1484.00	2393.00	2397.00
ENSG00000131477.6	720.57	28.00	27.00	36.00	28.00
ENSG00000131480.4	2657.00	119.00	90.00	130.00	137.00
ENSG00000131482.5	3026.81	2524.00	2915.00	38.00	57.00
ENSG00000131484.3	426.21	5.57	6.89	6.03	7.95
ENSG00000131495.4	774.96	354.00	344.00	383.00	409.00
ENSG00000131503.16	3877.35	3223.20	3360.47	2857.99	2726.64
ENSG00000131504.11	5038.74	2801.00	2852.00	4460.00	4274.00
ENSG00000131507.9	3789.30	812.00	846.00	657.00	591.00
ENSG00000131508.11	1593.54	1300.00	1207.00	1754.00	1683.00
ENSG00000131558.10	3965.01	961.00	1012.00	1187.00	1133.00
ENSG00000131584.14	2326.86	1535.00	1540.00	1833.00	1626.00
ENSG00000131591.13	2115.17	138.00	148.00	231.00	227.00
ENSG00000131626.11	3702.06	1196.00	1168.00	1422.00	1336.00
ENSG00000131650.9	2302.25	27.00	40.00	72.00	65.00
ENSG00000131652.9	1309.90	481.00	472.00	497.00	435.00
ENSG00000131653.8	2822.10	1921.00	1960.00	1399.00	1301.00
ENSG00000131669.5	1277.07	1239.00	1345.00	1449.00	1344.00
ENSG00000131697.13	4099.95	489.00	495.00	503.00	490.00
ENSG00000131711.10	11970.16	1140.00	1076.00	2785.00	2479.00
ENSG00000131724.6	3918.98	3756.00	3837.40	6199.00	6046.00
ENSG00000131725.9	4111.00	172.00	166.00	369.00	352.00
ENSG00000131730.11	1023.13	51.00	55.00	80.00	70.00
ENSG00000131732.7	1559.93	659.00	646.00	656.00	652.00
ENSG00000131746.8	3051.06	124.00	102.00	1129.00	1190.00
ENSG00000131747.10	4692.27	13212.00	11286.00	6336.00	5578.00
ENSG00000131748.11	1346.61	1076.00	1047.00	1228.00	1324.00
ENSG00000131759.13	2316.37	418.00	433.00	345.00	423.00
ENSG00000131771.9	964.44	1.00	1.00	2.00	2.00
ENSG00000131773.9	1213.31	219.00	229.00	296.00	257.00
ENSG00000131778.13	2777.43	2705.00	2624.00	2878.00	2814.00
ENSG00000131779.6	1740.00	379.00	398.00	713.00	676.00
ENSG00000131781.8	2326.85	3563.00	3500.00	1364.00	1265.00
ENSG00000131788.11	2102.21	348.00	326.00	793.00	773.00
ENSG00000131791.6	5011.50	3842.00	3702.00	2734.00	2608.00
ENSG00000131795.8	1466.05	1310.00	1259.00	2119.00	2015.00
ENSG00000131797.8	1760.91	845.00	866.00	500.00	496.00
ENSG00000131828.9	815.07	1400.00	1425.00	1451.00	1313.00
ENSG00000131831.13	1973.17	0.00	1.00	1.00	0.00
ENSG00000131844.11	3201.47	2128.00	2176.00	2749.00	2500.00
ENSG00000131845.10	4063.32	236.00	183.00	269.00	240.00
ENSG00000131848.5	1090.97	125.00	111.00	153.00	93.00
ENSG00000131871.10	1194.49	499.00	497.00	566.00	516.00
ENSG00000131873.5	3654.71	978.00	954.00	1141.00	1137.00
ENSG00000131876.12	1071.83	795.93	815.94	872.95	777.99
ENSG00000131899.6	4491.00	801.00	749.00	1104.00	1074.00
ENSG00000131910.4	1156.00	2186.00	2306.00	908.00	991.00
ENSG00000131914.6	3458.00	2.00	2.00	2.00	3.00
ENSG00000131931.4	2102.32	139.00	144.00	263.00	223.00
ENSG00000131941.3	3112.66	1197.00	1147.00	1466.00	1401.00
ENSG00000131943.13	1988.33	273.00	269.00	387.00	379.00
ENSG00000131944.5	1569.43	57.00	67.00	85.00	78.00
ENSG00000131951.6	2054.17	0.00	3.00	0.00	0.00
ENSG00000131966.9	1702.16	428.00	437.00	743.00	673.00
ENSG00000131969.10	1317.10	0.00	0.00	1.00	0.00
ENSG00000131979.14	2901.00	394.00	404.00	366.00	278.00
ENSG00000131981.11	1148.77	927.00	1146.00	1073.00	1014.00
ENSG00000132000.7	502.00	1.00	0.00	1.00	3.00
ENSG00000132002.3	2238.91	1810.00	1865.00	5493.00	5420.00
ENSG00000132003.5	3712.26	123.00	122.00	210.00	168.00
ENSG00000132004.8	1710.21	103.00	79.00	94.00	97.00
ENSG00000132005.4	3159.08	151.00	129.00	256.00	272.00
ENSG00000132010.11	1643.19	77.48	56.59	130.51	95.97
ENSG00000132016.7	1064.44	33.00	28.00	13.00	21.00
ENSG00000132017.6	1821.82	340.00	369.00	505.00	508.00
ENSG00000132024.13	2353.40	573.00	578.00	703.00	688.00
ENSG00000132026.9	1187.91	12.00	6.00	7.00	4.00
ENSG00000132031.8	2366.72	12360.00	11496.00	25557.00	24398.00
ENSG00000132109.8	1873.79	90.00	96.00	256.00	242.00
ENSG00000132122.7	3482.23	79.00	79.00	98.00	77.00
ENSG00000132128.12	3260.05	1382.00	1513.00	1596.00	1547.00
ENSG00000132130.7	868.00	0.00	0.00	5.00	8.00
ENSG00000132139.8	2661.00	1.00	0.00	1.00	1.00
ENSG00000132141.9	1904.32	8.00	16.00	35.00	41.00
ENSG00000132142.15	5972.07	2562.00	2617.00	3140.00	2984.00
ENSG00000132153.10	3470.17	1184.00	1335.00	1596.00	1667.00
ENSG00000132155.7	2534.67	1591.00	1688.00	1684.00	1593.00
ENSG00000132164.5	3645.38	886.00	904.00	2306.00	2410.00
ENSG00000132170.15	1815.53	762.00	818.00	488.00	503.00
ENSG00000132182.7	7041.47	3938.00	4083.00	2961.00	2919.00
ENSG00000132185.12	1671.53	0.00	0.00	0.00	0.00
ENSG00000132196.9	1254.45	750.72	760.37	563.28	514.43
ENSG00000132199.14	2430.56	1160.00	1219.00	1119.00	1178.00
ENSG00000132204.9	799.15	0.00	0.00	0.00	0.00
ENSG00000132205.6	1656.56	122.00	91.00	121.00	80.00
ENSG00000132207.13	1089.84	466.39	458.36	371.73	421.41
ENSG00000132254.8	1557.65	658.00	693.00	1007.00	1009.00
ENSG00000132256.14	2534.83	311.00	277.00	528.00	526.00
ENSG00000132259.8	1863.00	0.00	0.00	3.00	3.00
ENSG00000132274.11	2475.79	110.00	106.00	262.00	238.00
ENSG00000132275.6	1706.30	210.00	210.00	296.00	346.00
ENSG00000132286.7	2462.43	747.82	801.70	859.00	804.54
ENSG00000132294.9	4972.91	1001.00	962.00	1542.00	1425.00
ENSG00000132300.14	1956.03	2541.00	2497.00	2630.00	2465.00
ENSG00000132305.16	2602.94	2808.00	2735.00	3548.00	3332.00
ENSG00000132313.10	1452.78	883.00	877.00	1176.00	1123.00
ENSG00000132323.4	1316.98	346.00	337.00	534.00	455.00
ENSG00000132326.7	6163.66	485.00	517.00	547.00	487.00
ENSG00000132329.6	910.00	9.00	13.00	5.00	2.00
ENSG00000132330.12	1825.63	305.89	319.00	394.93	372.00
ENSG00000132334.12	981.00	1.00	0.00	9.00	7.00
ENSG00000132341.7	1091.24	5785.47	6144.73	7104.32	6928.71
ENSG00000132356.7	2811.80	1583.00	1426.00	2001.00	1921.00
ENSG00000132357.9	4221.00	35.00	39.00	53.00	43.00
ENSG00000132359.9	4897.71	726.00	711.00	1404.00	1483.00
ENSG00000132361.12	3711.84	2654.00	2847.00	2361.00	2231.00
ENSG00000132376.15	1717.92	130.00	112.00	233.00	200.00
ENSG00000132382.10	2564.71	1130.00	1104.00	1034.00	1013.00
ENSG00000132383.7	3231.20	1319.00	1381.00	1659.00	1625.00
ENSG00000132386.6	1442.85	10925.00	11030.00	8196.00	7612.00
ENSG00000132388.8	2828.55	938.00	941.00	1541.00	1413.00
ENSG00000132394.6	2224.24	395.00	417.00	468.00	461.00
ENSG00000132405.14	4598.46	1391.00	1446.00	1461.00	1344.00
ENSG00000132406.7	1204.43	221.00	271.00	403.00	374.00
ENSG00000132423.6	1113.70	91.00	88.00	74.00	82.00
ENSG00000132424.10	2834.34	2840.00	2717.00	2145.00	1937.00
ENSG00000132429.5	1111.45	0.00	1.00	28.00	20.00
ENSG00000132432.9	467.86	1037.00	1065.00	1113.00	1127.00
ENSG00000132434.5	3222.62	193.00	216.00	276.00	274.00
ENSG00000132436.7	3430.88	305.00	307.00	294.00	288.00
ENSG00000132437.13	1975.36	427.00	488.00	99.00	86.00
ENSG00000132463.9	2228.70	1755.00	1788.00	2050.00	1898.00
ENSG00000132464.7	1786.25	1.00	2.00	0.00	0.00
ENSG00000132466.13	8076.93	3817.00	3638.00	4423.00	4341.00
ENSG00000132467.2	2072.00	490.00	482.00	874.00	732.00
ENSG00000132470.9	1757.20	222.00	249.00	142.00	138.00
ENSG00000132471.7	1765.53	2138.00	2297.00	2630.00	2701.00
ENSG00000132475.4	1111.15	6085.00	6131.00	11749.00	11190.00
ENSG00000132478.5	1714.90	765.00	718.00	1024.00	1005.00
ENSG00000132481.2	1413.89	754.00	799.00	764.00	741.00
ENSG00000132485.8	2965.07	1515.00	1350.00	1131.00	1065.00
ENSG00000132498.7	1065.00	0.00	1.16	2.66	0.00
ENSG00000132507.13	1354.84	4264.96	4640.96	6404.90	6141.91
ENSG00000132510.6	5894.07	771.00	825.00	945.00	1026.00
ENSG00000132514.9	1676.70	7.00	8.00	6.00	7.00
ENSG00000132517.10	2377.00	0.00	0.00	3.00	2.00
ENSG00000132522.11	1140.72	630.00	657.25	715.06	690.31
ENSG00000132530.12	1973.44	150.00	89.00	101.00	71.00
ENSG00000132535.14	2503.01	185.00	171.00	280.00	263.00
ENSG00000132541.6	1049.37	330.00	358.00	389.00	369.00
ENSG00000132549.14	9045.70	1098.00	1113.00	1305.00	1198.00
ENSG00000132561.9	1634.17	10.00	8.00	16.00	16.00
ENSG00000132563.11	1652.95	220.00	238.00	472.00	398.00
ENSG00000132570.10	1899.78	92.00	109.00	142.81	171.67
ENSG00000132581.5	1191.87	540.00	553.00	765.00	801.00
ENSG00000132589.11	2511.91	1470.00	1590.00	2530.00	2572.00
ENSG00000132591.7	1873.87	1061.00	1116.00	1180.00	1168.00
ENSG00000132600.12	1310.26	693.00	679.00	804.00	771.00
ENSG00000132603.9	2070.00	898.00	886.00	1396.00	1230.00
ENSG00000132604.6	2086.10	531.00	528.00	722.00	735.00
ENSG00000132612.14	2173.02	1382.00	1413.04	1275.00	1213.29
ENSG00000132613.10	2245.26	4703.00	4815.00	3994.00	3632.00
ENSG00000132622.6	3009.00	2.00	0.00	2.00	1.00
ENSG00000132623.11	3638.05	209.00	226.00	375.00	364.00
ENSG00000132635.12	1695.26	993.00	1085.00	663.00	639.00
ENSG00000132640.10	4320.74	1397.00	1330.00	1980.00	2027.00
ENSG00000132646.6	1344.50	4101.00	4171.00	2669.00	2234.00
ENSG00000132661.3	1123.00	256.00	277.00	385.00	376.00
ENSG00000132664.7	2320.96	348.00	354.00	499.00	463.00
ENSG00000132669.8	3749.56	142.00	104.00	417.00	515.00
ENSG00000132670.16	2564.69	2518.89	2541.00	3068.42	2893.26
ENSG00000132676.11	1245.34	1251.00	1246.00	1631.00	1458.16
ENSG00000132677.8	1471.08	1286.00	1315.00	604.00	560.00
ENSG00000132680.6	2644.69	1295.00	1195.00	1100.00	1050.00
ENSG00000132688.10	5558.00	1578.00	1330.00	10357.00	9909.00
ENSG00000132694.14	5555.68	1052.00	1095.00	1507.00	1359.00
ENSG00000132698.9	539.00	0.00	0.00	1.00	2.00
ENSG00000132702.8	1014.60	0.00	0.00	2.00	0.00
ENSG00000132716.14	2111.92	2107.77	1958.00	2906.00	2716.00
ENSG00000132718.7	5240.00	64.00	58.00	222.00	230.00
ENSG00000132740.4	2442.14	332.00	351.00	400.00	385.00
ENSG00000132744.3	1219.34	25.00	34.00	7.00	13.00
ENSG00000132749.6	972.68	5.00	3.00	3.00	5.00
ENSG00000132763.10	2981.00	254.00	265.00	217.00	215.00
ENSG00000132768.9	1813.20	441.00	493.00	644.00	630.00
ENSG00000132773.7	2290.19	177.00	166.00	221.00	188.00
ENSG00000132780.12	1578.61	5505.00	5241.00	4031.00	3655.00
ENSG00000132781.13	1149.81	210.00	192.00	190.00	199.00
ENSG00000132792.14	1905.37	1250.00	1311.00	1499.00	1586.00
ENSG00000132793.7	2637.90	1370.00	1453.00	1262.00	1262.00
ENSG00000132801.5	2771.98	134.00	146.00	199.00	161.00
ENSG00000132819.12	2198.70	624.00	678.00	879.00	820.00
ENSG00000132821.7	1338.50	0.00	0.00	0.00	0.00
ENSG00000132823.6	1573.05	661.00	748.00	1035.00	1078.00
ENSG00000132824.9	3499.89	4475.00	4261.00	5886.00	5509.00
ENSG00000132825.5	3459.00	85.00	80.00	122.00	109.00
ENSG00000132837.10	2695.81	153.00	146.00	115.00	124.00
ENSG00000132840.5	1584.79	203.00	172.26	214.86	210.87
ENSG00000132842.9	3906.79	1610.00	1659.69	1859.00	1698.00
ENSG00000132846.5	4793.21	309.00	288.00	264.00	237.00
ENSG00000132849.14	5766.95	683.00	634.00	647.00	652.00
ENSG00000132854.14	3670.35	436.00	492.00	215.00	186.00
ENSG00000132855.4	1505.72	9.00	11.00	3.00	6.00
ENSG00000132874.9	1858.00	0.00	0.00	0.00	1.00
ENSG00000132879.9	1942.03	468.00	476.00	376.00	426.00
ENSG00000132881.7	663.94	4.00	5.00	17.00	16.00
ENSG00000132906.13	2163.43	182.00	205.00	382.00	468.00
ENSG00000132912.8	3657.09	1066.00	1015.00	1297.00	1312.00
ENSG00000132915.6	2189.00	0.00	1.00	0.00	2.00
ENSG00000132932.12	2227.00	3.00	4.00	2.00	1.00
ENSG00000132950.14	2191.06	179.00	169.00	203.00	200.00
ENSG00000132952.7	3590.65	445.00	507.00	620.00	626.00
ENSG00000132953.12	7814.57	1022.00	968.00	972.00	989.00
ENSG00000132958.13	1597.67	0.00	0.00	0.00	0.00
ENSG00000132963.7	1330.29	849.00	813.00	1090.00	1120.00
ENSG00000132964.7	2252.84	437.00	442.00	585.00	540.00
ENSG00000132965.5	897.00	3.00	5.00	4.00	1.00
ENSG00000132967.9	648.82	339.23	268.18	286.74	210.91
ENSG00000132970.8	4795.31	646.00	663.00	759.00	725.00
ENSG00000133026.8	6148.54	5853.00	5791.00	6348.00	6006.00
ENSG00000133027.13	980.73	250.00	283.00	178.00	192.00
ENSG00000133028.6	1687.95	430.00	475.00	618.00	518.00
ENSG00000133030.15	3605.95	1780.00	1751.00	2069.00	1994.00
ENSG00000133048.8	1521.20	0.00	0.00	10.00	8.00
ENSG00000133055.4	1805.00	1.00	1.00	17.00	15.00
ENSG00000133056.9	6111.11	194.00	198.00	214.00	232.00
ENSG00000133059.12	7862.29	270.00	261.00	375.00	372.00
ENSG00000133065.6	3738.05	371.00	387.00	441.00	422.00
ENSG00000133067.13	1938.25	0.00	1.00	1.00	0.00
ENSG00000133069.10	3542.35	14.00	8.00	15.00	11.00
ENSG00000133103.12	3435.33	579.00	597.00	375.00	337.00
ENSG00000133104.8	2028.14	466.00	467.00	426.00	395.00
ENSG00000133106.10	1084.20	1.00	0.00	9.00	7.00
ENSG00000133111.3	2304.00	194.00	196.00	162.00	159.00
ENSG00000133112.12	924.05	28189.00	30390.00	27885.00	25695.00
ENSG00000133114.13	2189.77	428.00	435.00	431.00	462.00
ENSG00000133119.8	2308.26	767.00	745.00	523.00	477.00
ENSG00000133121.16	4645.23	516.00	471.00	767.00	748.00
ENSG00000133131.10	3554.57	461.00	447.00	2214.00	2033.00
ENSG00000133134.7	873.74	9.00	4.00	2.00	7.00
ENSG00000133135.9	2804.24	1970.00	1908.00	3610.00	3401.00
ENSG00000133136.3	502.00	1.00	0.00	0.00	0.00
ENSG00000133138.15	5174.05	510.00	442.00	479.00	480.00
ENSG00000133142.13	1160.22	731.00	672.00	728.00	757.00
ENSG00000133169.5	864.00	398.00	375.00	275.00	237.00
ENSG00000133193.8	2420.00	712.00	636.00	936.00	962.00
ENSG00000133195.7	2059.97	450.00	414.00	338.00	310.00
ENSG00000133216.12	2676.43	1.00	0.00	0.00	0.00
ENSG00000133226.12	2781.83	2624.88	2510.79	1788.00	1634.94
ENSG00000133243.4	2591.77	1352.00	1482.00	1724.00	1754.00
ENSG00000133246.7	2162.00	1.00	0.00	1.00	1.00
ENSG00000133247.9	1491.88	150.79	161.25	172.41	167.72
ENSG00000133250.9	778.69	66.00	90.00	125.00	117.00
ENSG00000133256.8	2120.00	3.00	4.00	3.00	1.00
ENSG00000133265.6	1373.08	346.00	375.00	589.00	633.00
ENSG00000133275.11	2041.04	1303.00	1238.00	1617.00	1517.00
ENSG00000133302.8	2355.39	173.00	163.00	186.00	141.00
ENSG00000133313.10	1912.53	1507.00	1583.00	2570.00	2366.00
ENSG00000133315.6	736.37	233.00	226.00	125.00	147.00
ENSG00000133316.11	1043.43	628.79	612.31	784.65	776.06
ENSG00000133318.9	2287.94	1598.35	1525.98	1769.00	1645.99
ENSG00000133321.6	652.00	5.00	3.00	7.00	3.00
ENSG00000133328.3	742.00	0.00	0.00	0.00	0.00
ENSG00000133392.12	3974.36	0.00	1.00	0.00	0.00
ENSG00000133393.8	1760.49	1065.00	1017.00	1069.00	1007.00
ENSG00000133398.3	1051.76	224.00	194.00	267.00	276.00
ENSG00000133401.11	11641.00	0.00	2.00	0.00	1.00
ENSG00000133422.8	3837.70	1301.00	1326.00	1594.00	1666.00
ENSG00000133424.16	4241.56	557.00	530.00	629.00	602.00
ENSG00000133433.6	1099.00	6.42	2.95	9.42	17.14
ENSG00000133454.11	8497.72	2.00	2.00	37.00	23.00
ENSG00000133460.15	1691.62	273.00	284.00	374.00	409.00
ENSG00000133466.9	3173.73	262.00	272.00	239.00	282.00
ENSG00000133475.12	2083.33	0.00	1.97	1.49	0.00
ENSG00000133488.10	2575.00	12.00	14.00	3.00	3.00
ENSG00000133519.8	1952.92	2.00	3.00	3.00	3.00
ENSG00000133597.5	2107.32	304.00	280.00	282.00	258.00
ENSG00000133606.6	2163.52	1100.00	1106.00	1557.00	1470.00
ENSG00000133612.14	1774.96	1008.00	979.00	1151.00	1118.00
ENSG00000133619.13	2314.71	166.00	168.00	195.00	205.00
ENSG00000133624.9	2317.29	229.64	245.65	190.42	206.07
ENSG00000133627.13	1203.33	114.24	127.07	168.60	173.94
ENSG00000133636.6	1118.00	1.00	0.00	1.00	1.00
ENSG00000133639.3	2289.39	674.00	710.00	540.00	516.00
ENSG00000133640.14	5394.00	3.00	1.00	2.00	2.00
ENSG00000133641.13	1487.15	176.00	178.00	223.00	209.00
ENSG00000133657.10	3484.45	2320.00	2191.00	2582.00	2436.00
ENSG00000133665.8	1345.57	37.00	46.00	25.00	23.00
ENSG00000133678.9	1578.92	283.00	281.00	311.00	292.00
ENSG00000133687.11	3419.05	51.00	47.00	34.00	30.00
ENSG00000133703.7	5402.72	663.00	585.00	969.00	891.00
ENSG00000133704.5	4774.13	1104.00	1172.00	1186.00	1152.00
ENSG00000133706.13	3684.29	2211.00	2149.00	2238.00	2059.00
ENSG00000133710.11	2003.11	1.00	2.00	0.00	0.00
ENSG00000133731.5	1767.24	440.00	413.00	488.00	478.00
ENSG00000133739.11	3239.88	169.00	174.00	205.00	179.00
ENSG00000133740.6	1799.56	344.00	315.00	337.00	311.00
ENSG00000133773.7	846.60	341.00	367.00	379.00	349.00
ENSG00000133789.10	4748.44	557.00	544.00	669.00	602.00
ENSG00000133794.13	2713.32	99.00	95.00	91.00	66.00
ENSG00000133800.4	2419.97	30.00	37.00	943.00	972.00
ENSG00000133805.11	2545.34	71.00	64.00	367.00	431.00
ENSG00000133808.4	3044.00	1.00	4.00	6.00	7.00
ENSG00000133812.10	4874.28	1300.00	1301.33	1332.00	1336.00
ENSG00000133816.9	3572.30	33.00	32.00	433.00	454.00
ENSG00000133818.8	1620.85	536.64	561.00	726.00	655.75
ENSG00000133835.10	2076.10	3486.00	3585.00	2053.00	1879.00
ENSG00000133858.11	4461.54	1382.00	1265.00	1387.00	1411.00
ENSG00000133863.2	5755.03	78.00	55.00	400.00	334.00
ENSG00000133872.9	1802.61	2761.00	2744.00	4147.00	3806.00
ENSG00000133874.1	1868.00	166.00	205.00	190.00	190.00
ENSG00000133878.4	1310.33	0.00	1.00	0.00	0.00
ENSG00000133884.5	2520.56	765.00	812.00	1281.00	1298.00
ENSG00000133895.10	2258.37	953.00	910.00	1185.00	1116.00
ENSG00000133935.6	2633.00	1044.00	1228.00	1020.00	1003.00
ENSG00000133943.16	1280.19	349.00	378.00	415.00	387.00
ENSG00000133958.9	8137.58	2.00	1.00	6.00	5.00
ENSG00000133961.15	2703.55	1340.00	1277.00	1670.00	1538.00
ENSG00000133983.10	1215.12	344.85	334.01	413.23	409.30
ENSG00000133985.2	5217.00	49.00	38.00	291.00	334.00
ENSG00000133997.7	1348.84	444.00	437.00	687.46	646.77
ENSG00000134001.8	999.36	1108.00	1081.00	1645.00	1609.00
ENSG00000134007.3	2795.00	1.00	3.00	2.00	3.00
ENSG00000134013.11	3202.49	137.00	124.00	1516.00	1747.00
ENSG00000134014.12	1938.57	870.00	824.00	961.00	980.00
ENSG00000134020.6	890.00	0.00	0.00	0.00	1.00
ENSG00000134030.9	3788.37	606.00	604.00	692.00	687.00
ENSG00000134046.7	2186.47	565.00	490.00	832.00	877.00
ENSG00000134049.3	1481.00	994.00	961.00	916.00	878.00
ENSG00000134056.7	1145.25	409.97	375.00	350.00	358.00
ENSG00000134057.10	1452.72	1909.00	1840.00	1438.00	1407.00
ENSG00000134058.6	1203.81	586.00	557.00	612.00	603.00
ENSG00000134070.4	3483.00	381.00	406.00	274.00	282.00
ENSG00000134072.6	1403.25	348.00	350.00	371.00	390.00
ENSG00000134077.11	1792.09	699.00	655.00	859.00	739.00
ENSG00000134086.7	2332.63	1421.00	1304.00	1227.00	1106.00
ENSG00000134107.4	3419.57	4639.00	4966.00	4236.00	4579.00
ENSG00000134108.8	2967.79	883.00	927.00	1330.00	1291.00
ENSG00000134109.6	5941.80	1599.00	1462.00	1662.00	1581.00
ENSG00000134138.15	2041.88	251.00	229.00	376.00	362.00
ENSG00000134146.7	1187.13	89.00	103.00	134.00	108.00
ENSG00000134152.6	1356.63	385.00	362.00	583.00	541.99
ENSG00000134153.5	1149.10	852.00	858.00	1471.00	1405.00
ENSG00000134183.7	1339.00	1.00	1.00	1.00	2.00
ENSG00000134184.8	826.00	0.00	0.00	0.00	0.00
ENSG00000134186.7	3003.69	1260.00	1205.00	1350.00	1322.00
ENSG00000134193.10	1453.25	0.00	0.00	0.00	0.00
ENSG00000134201.6	2171.67	0.00	0.00	0.00	0.00
ENSG00000134202.6	1284.62	750.00	770.00	872.00	859.00
ENSG00000134215.11	2264.45	376.00	452.00	243.00	208.00
ENSG00000134222.12	1526.71	504.00	500.00	435.00	386.00
ENSG00000134240.7	634.00	23.00	23.00	1.00	1.00
ENSG00000134242.11	2042.09	0.00	0.00	3.00	0.00
ENSG00000134243.7	5597.12	5871.00	5915.00	6161.00	6030.00
ENSG00000134245.13	4842.99	41.00	40.00	58.00	44.00
ENSG00000134247.9	4171.06	359.00	350.00	356.00	357.00
ENSG00000134248.9	659.98	721.00	786.00	1035.00	1063.00
ENSG00000134250.13	10784.44	1004.55	984.32	1894.95	1842.38
ENSG00000134253.5	2786.17	91.00	106.00	97.00	92.00
ENSG00000134255.9	2095.54	730.00	647.00	650.00	632.00
ENSG00000134256.8	3324.00	3.00	3.00	0.00	2.00
ENSG00000134262.8	1786.67	165.00	176.00	309.00	274.00
ENSG00000134265.8	3157.24	666.00	664.00	826.00	804.00
ENSG00000134278.10	4668.54	428.00	439.00	853.00	741.00
ENSG00000134283.13	1605.82	863.00	849.00	1174.75	1159.00
ENSG00000134285.6	1859.96	324.00	285.00	337.00	301.00
ENSG00000134287.5	3715.14	2060.06	2058.54	3494.38	3358.00
ENSG00000134291.7	1113.19	1035.00	1068.00	884.00	876.00
ENSG00000134294.9	3962.17	38949.00	35885.00	51360.00	49178.00
ENSG00000134297.6	923.64	42.10	35.47	75.97	76.60
ENSG00000134308.9	2189.05	4974.00	4932.00	7869.00	7208.00
ENSG00000134313.10	6250.97	1720.00	1620.00	2061.00	1826.00
ENSG00000134317.13	3251.81	393.00	451.00	547.00	562.00
ENSG00000134318.9	7713.68	8336.00	7743.00	16277.00	15445.00
ENSG00000134321.7	3519.00	0.00	2.00	3.00	3.00
ENSG00000134323.10	2602.00	0.00	0.00	0.00	0.00
ENSG00000134324.7	4053.63	726.00	752.00	1104.00	1011.00
ENSG00000134326.7	1972.92	6.00	5.00	6.00	6.00
ENSG00000134330.14	1062.38	239.00	225.00	234.00	221.00
ENSG00000134333.9	1342.33	48516.28	49580.20	43626.09	44173.64
ENSG00000134339.4	1022.00	0.00	0.00	6.00	1.00
ENSG00000134343.8	6642.00	24.00	13.00	29.00	26.00
ENSG00000134352.15	5338.08	5191.00	5014.00	7127.00	6791.00
ENSG00000134363.7	1765.28	3348.00	3439.00	683.00	644.00
ENSG00000134369.11	7938.95	5.00	5.00	76.04	67.00
ENSG00000134371.9	4917.07	798.00	736.00	1177.00	1065.00
ENSG00000134375.6	1648.48	797.00	817.00	1290.00	1229.00
ENSG00000134389.8	2819.50	0.00	0.00	0.00	0.00
ENSG00000134398.8	1622.99	67.00	74.00	111.00	119.00
ENSG00000134419.11	537.65	15155.26	17067.14	13681.46	12760.63
ENSG00000134440.7	2099.49	3050.00	2918.00	2932.00	2723.00
ENSG00000134444.9	4358.10	609.00	605.00	864.00	815.00
ENSG00000134452.15	1999.58	1150.00	1159.00	1631.00	1565.00
ENSG00000134453.11	1306.77	1370.00	1365.00	1441.00	1368.00
ENSG00000134461.11	1802.44	165.51	114.82	129.01	160.84
ENSG00000134463.10	1079.60	0.00	1.00	0.00	0.00
ENSG00000134470.15	791.93	4.00	3.00	4.00	3.00
ENSG00000134480.9	1125.80	440.00	422.00	504.00	415.00
ENSG00000134490.9	1742.42	93.00	83.00	131.00	110.00
ENSG00000134504.8	2313.45	103.00	112.00	127.00	132.00
ENSG00000134508.8	3233.49	539.00	529.00	711.00	653.00
ENSG00000134531.5	2449.03	4.00	6.00	86.00	99.00
ENSG00000134532.11	5129.29	502.00	455.00	899.00	838.00
ENSG00000134538.2	2229.00	1.00	0.00	0.00	0.00
ENSG00000134548.5	1280.00	0.00	0.00	7.00	0.00
ENSG00000134551.8	657.00	2.22	1.02	0.00	0.00
ENSG00000134569.5	5104.81	654.00	667.00	573.00	485.00
ENSG00000134571.6	3855.00	0.00	1.00	0.00	0.00
ENSG00000134574.7	1793.01	1087.00	1174.00	1351.00	1285.00
ENSG00000134575.5	1882.18	378.00	407.00	479.00	451.00
ENSG00000134590.9	1230.33	346.00	367.00	861.00	865.00
ENSG00000134594.4	1258.00	1.00	2.00	1.00	2.00
ENSG00000134597.9	1415.60	276.00	224.00	286.00	257.00
ENSG00000134602.11	3184.47	1063.00	1038.00	1388.00	1226.00
ENSG00000134612.7	1579.00	1.00	0.00	0.00	0.00
ENSG00000134627.7	831.00	0.00	0.00	0.00	1.00
ENSG00000134644.11	4725.66	3391.00	3613.00	3735.00	3521.00
ENSG00000134668.8	1561.03	4.00	5.00	7.00	2.00
ENSG00000134684.6	2596.35	1186.00	1176.00	1799.00	1443.00
ENSG00000134686.12	2345.12	2144.00	2229.00	4367.00	4394.00
ENSG00000134690.6	2415.79	870.00	825.00	665.00	591.00
ENSG00000134697.8	1813.63	790.00	820.00	1322.00	1262.00
ENSG00000134698.10	3775.76	780.00	735.00	886.00	891.00
ENSG00000134709.6	5146.80	1263.00	1271.00	1072.00	930.00
ENSG00000134716.5	1906.90	149.00	137.00	51.00	80.00
ENSG00000134717.13	1500.05	1245.91	1219.10	1195.41	1143.89
ENSG00000134744.9	2626.82	2077.00	1923.00	1786.00	1632.00
ENSG00000134748.12	2482.85	856.00	803.00	771.00	711.00
