symbol	length	Control_D0	Control_D1	AATF_D0	AATF_D1
ENSG00000106560.6	1449.00	9.00	6.00	5.00	7.00
ENSG00000106571.8	2569.33	0.00	0.00	0.00	0.00
ENSG00000106588.6	1401.28	1433.97	1156.06	1459.26	1484.37
ENSG00000106591.3	1147.44	499.00	404.00	534.00	516.00
ENSG00000106603.13	1157.37	577.00	527.00	816.00	720.02
ENSG00000106605.6	1035.10	521.00	381.00	549.00	515.00
ENSG00000106608.12	2074.82	353.00	331.00	374.00	308.00
ENSG00000106609.12	3951.83	1682.00	1370.00	1770.00	1694.00
ENSG00000106610.10	1423.11	87.00	75.00	96.00	97.00
ENSG00000106615.5	1148.12	642.88	511.94	646.93	683.25
ENSG00000106617.9	1670.83	20.00	9.00	16.00	7.00
ENSG00000106624.4	2332.79	10.00	22.00	40.00	30.00
ENSG00000106628.6	1220.58	945.00	849.00	859.00	747.00
ENSG00000106631.4	612.00	3.00	2.00	9.00	5.00
ENSG00000106635.3	1378.35	235.00	184.00	192.00	166.00
ENSG00000106636.3	2247.40	901.00	769.00	931.00	909.00
ENSG00000106638.11	2351.74	566.00	561.00	632.00	566.00
ENSG00000106665.11	4833.00	637.00	667.00	851.00	682.00
ENSG00000106682.10	2371.00	4467.72	4141.94	4630.82	4314.64
ENSG00000106683.10	3113.32	271.00	242.00	307.00	244.00
ENSG00000106686.12	2617.10	32.00	28.00	38.00	42.00
ENSG00000106688.7	3722.00	0.00	2.00	2.00	1.00
ENSG00000106692.9	5205.12	455.00	363.00	454.00	458.00
ENSG00000106701.7	4025.58	210.00	163.00	169.00	182.00
ENSG00000106714.13	1651.57	11.00	14.61	22.77	24.02
ENSG00000106723.12	3624.01	859.00	674.00	775.00	782.00
ENSG00000106733.16	1198.80	84.00	74.00	108.00	119.00
ENSG00000106771.8	6051.67	2644.00	2133.00	2592.00	2532.00
ENSG00000106772.13	3257.13	1.00	0.00	0.00	0.00
ENSG00000106780.7	6298.00	326.00	263.00	407.00	382.00
ENSG00000106785.10	3985.40	592.00	501.00	610.00	560.00
ENSG00000106789.8	5459.00	654.00	589.00	636.00	592.00
ENSG00000106799.8	5520.93	729.00	634.00	658.00	625.00
ENSG00000106803.5	545.95	659.00	572.00	573.00	535.00
ENSG00000106804.6	5139.85	9873.00	8468.00	10004.00	10286.00
ENSG00000106823.8	1422.29	24.00	9.00	8.00	6.00
ENSG00000106829.14	2318.11	33.00	41.13	73.00	66.43
ENSG00000106852.11	3318.13	49.00	61.00	66.00	64.00
ENSG00000106853.12	1213.11	174.00	121.00	150.00	140.00
ENSG00000106868.12	2875.40	655.00	544.00	846.00	836.00
ENSG00000106927.7	1349.19	22046.58	21654.02	16922.00	14816.00
ENSG00000106948.12	4191.50	159.00	159.00	153.00	114.00
ENSG00000106976.14	2875.29	43.00	46.00	47.00	41.00
ENSG00000106991.9	1850.75	11.00	12.00	12.00	8.00
ENSG00000106992.13	1070.07	177.71	150.36	185.52	152.14
ENSG00000106993.7	2188.28	178.00	130.00	260.00	270.00
ENSG00000107014.7	933.00	0.00	0.00	2.00	0.00
ENSG00000107018.6	933.00	0.00	0.00	0.00	0.00
ENSG00000107020.5	932.00	81.00	67.00	93.00	92.00
ENSG00000107021.11	3032.53	513.00	436.00	632.00	616.00
ENSG00000107036.7	6008.51	801.00	712.00	1042.00	995.00
ENSG00000107077.13	3366.82	866.00	760.00	987.00	1000.00
ENSG00000107099.11	7240.01	32.00	26.00	35.00	30.00
ENSG00000107104.14	4438.18	6270.99	5544.00	4882.23	4513.00
ENSG00000107130.6	4991.00	143.00	97.00	105.00	87.00
ENSG00000107140.11	1374.74	184.00	168.00	157.00	115.00
ENSG00000107159.8	1147.79	944.00	952.00	1492.00	1291.00
ENSG00000107164.15	2908.07	1011.00	843.00	1135.00	1011.00
ENSG00000107165.8	1201.12	0.00	0.00	1.00	0.00
ENSG00000107175.6	1818.39	292.00	271.00	336.00	311.00
ENSG00000107185.8	6565.97	1053.00	908.00	1234.00	1109.00
ENSG00000107186.12	3783.83	772.00	651.00	926.00	944.00
ENSG00000107187.11	2384.00	0.00	0.00	0.00	0.00
ENSG00000107201.5	4211.78	239.00	167.00	349.00	387.00
ENSG00000107223.8	654.91	1018.00	960.00	1070.00	883.00
ENSG00000107242.13	2370.68	338.00	268.00	523.00	519.00
ENSG00000107249.17	3482.76	13.00	12.00	31.00	15.00
ENSG00000107262.12	1378.35	384.00	328.00	424.00	424.00
ENSG00000107263.14	4331.18	1238.00	1232.00	1375.00	1141.00
ENSG00000107281.5	1379.01	65.00	102.00	78.00	71.00
ENSG00000107282.5	3450.50	0.00	0.00	1.00	0.00
ENSG00000107290.9	8566.52	1646.00	1274.00	2027.00	1902.00
ENSG00000107295.8	1376.33	1.00	2.00	0.00	0.00
ENSG00000107317.7	669.00	1.00	1.00	0.00	0.00
ENSG00000107331.12	3909.50	720.00	825.00	601.00	516.00
ENSG00000107338.8	2783.00	450.00	403.00	598.00	564.00
ENSG00000107341.4	4075.00	1494.00	1156.00	1512.00	1498.00
ENSG00000107362.9	2533.76	254.00	195.00	277.00	292.00
ENSG00000107371.8	883.93	263.98	219.00	244.00	282.20
ENSG00000107372.8	1783.64	1286.24	961.82	1371.15	1492.16
ENSG00000107404.13	2695.14	358.00	473.00	281.00	215.00
ENSG00000107438.4	1430.16	2359.00	2197.00	3033.00	2841.00
ENSG00000107443.11	3690.19	392.00	290.00	397.00	464.00
ENSG00000107485.11	1767.25	0.00	0.00	0.00	0.00
ENSG00000107518.12	1692.50	0.00	1.00	1.00	0.00
ENSG00000107521.14	1708.29	320.00	353.00	256.00	250.00
ENSG00000107537.9	1480.36	823.00	755.00	562.00	534.00
ENSG00000107551.16	2452.25	1258.00	1124.00	1035.00	1001.00
ENSG00000107554.11	5756.01	385.00	351.00	435.00	406.00
ENSG00000107560.6	4866.65	324.00	290.00	374.00	381.00
ENSG00000107566.9	2752.36	2624.00	2205.01	2551.00	2517.00
ENSG00000107581.8	5312.67	5999.00	4920.00	6848.00	6950.00
ENSG00000107593.15	2226.57	10.00	6.00	4.00	5.00
ENSG00000107611.10	11949.00	7.00	4.00	12.00	16.00
ENSG00000107614.17	2528.96	60.00	36.00	88.00	98.00
ENSG00000107623.4	2458.00	2.00	0.00	0.00	0.00
ENSG00000107625.8	2262.16	475.00	461.00	727.98	739.98
ENSG00000107643.11	1956.43	555.00	406.00	527.00	542.00
ENSG00000107651.8	4141.54	1367.00	1087.00	1427.00	1331.00
ENSG00000107669.13	3826.14	937.00	766.00	1175.00	1139.00
ENSG00000107672.10	1220.70	633.00	485.00	633.00	636.00
ENSG00000107679.10	3471.45	1413.00	1267.00	1835.00	1761.00
ENSG00000107719.8	4555.00	15.00	10.00	4.00	7.00
ENSG00000107731.8	6451.00	4.00	6.00	5.00	1.00
ENSG00000107736.15	1983.00	1.00	1.00	1.00	1.00
ENSG00000107738.15	4689.00	2.00	5.00	5.00	2.00
ENSG00000107742.8	4810.63	456.00	447.00	338.00	297.00
ENSG00000107745.12	2136.52	1258.00	977.00	1191.00	1130.00
ENSG00000107758.11	2754.78	636.00	517.00	650.00	634.00
ENSG00000107771.11	4537.88	542.00	422.00	680.00	726.00
ENSG00000107779.7	5411.06	850.39	695.01	861.98	903.03
ENSG00000107789.11	2126.79	790.00	646.00	1047.00	1015.02
ENSG00000107796.8	1337.17	717.00	649.00	1086.00	937.00
ENSG00000107798.13	2688.64	2699.00	2132.00	1526.00	1630.00
ENSG00000107807.8	1838.00	3.00	2.00	3.00	1.00
ENSG00000107815.3	2446.31	452.00	339.00	451.00	412.00
ENSG00000107816.13	2655.02	648.00	714.00	649.01	531.00
ENSG00000107819.9	2357.47	1067.00	1091.00	1037.00	890.00
ENSG00000107821.10	1348.52	169.00	179.00	112.00	115.00
ENSG00000107829.9	1261.56	321.00	325.00	287.00	252.00
ENSG00000107833.6	769.08	303.00	283.00	390.00	334.00
ENSG00000107854.5	6157.00	1368.00	1112.00	1538.00	1503.00
ENSG00000107859.5	1289.00	0.00	0.00	0.00	0.00
ENSG00000107862.4	6155.99	1473.00	1284.00	1594.00	1477.00
ENSG00000107863.12	6182.03	1031.93	831.78	1427.78	1323.97
ENSG00000107864.10	6142.23	79.00	82.00	105.00	88.00
ENSG00000107872.8	1256.81	29.00	35.00	24.00	19.00
ENSG00000107874.6	1145.69	222.00	192.00	232.00	199.00
ENSG00000107882.7	4510.69	367.00	304.00	356.00	363.00
ENSG00000107890.12	6329.83	320.00	280.00	367.00	360.00
ENSG00000107897.14	3453.13	457.00	393.00	648.00	550.00
ENSG00000107902.9	1023.26	102.00	106.00	94.00	54.00
ENSG00000107929.10	4689.58	825.00	730.00	961.00	963.00
ENSG00000107937.14	2642.71	1188.00	961.00	1186.00	1168.00
ENSG00000107938.13	2673.23	376.00	287.00	460.00	479.00
ENSG00000107949.12	1374.12	1063.00	794.00	1093.00	1056.00
ENSG00000107951.8	2711.05	349.00	275.00	395.00	412.00
ENSG00000107954.6	3854.00	1.00	0.00	1.00	1.00
ENSG00000107957.12	10789.38	2340.00	2103.00	2828.00	2637.00
ENSG00000107959.11	2528.47	642.00	595.00	694.00	655.00
ENSG00000107960.6	1389.83	215.00	152.00	328.00	319.00
ENSG00000107968.5	1701.18	163.00	158.00	184.00	198.00
ENSG00000107984.5	1061.67	776.00	551.00	528.00	468.00
ENSG00000108010.7	1213.85	915.00	653.00	1060.00	1094.00
ENSG00000108021.15	5903.74	1461.00	1256.00	2049.00	2071.00
ENSG00000108039.13	2206.21	615.00	547.00	735.00	757.00
ENSG00000108055.9	4114.00	2150.95	1705.00	2003.00	2055.75
ENSG00000108061.7	3578.48	513.00	404.00	646.00	713.00
ENSG00000108064.6	2953.27	1196.00	925.99	1162.00	1223.00
ENSG00000108091.10	5811.00	1012.00	842.00	1083.00	1045.00
ENSG00000108094.10	2595.44	526.99	436.00	534.00	551.00
ENSG00000108100.13	3071.77	1444.00	1146.00	1739.00	1724.99
ENSG00000108106.9	1009.00	123.78	143.87	102.83	54.00
ENSG00000108107.8	664.28	3585.98	3685.00	3957.00	3000.00
ENSG00000108175.12	6230.05	1713.00	1722.00	1743.00	1537.00
ENSG00000108176.10	1136.57	325.00	237.00	519.00	491.00
ENSG00000108179.9	2103.43	2184.00	1868.00	1733.00	1559.00
ENSG00000108187.11	2410.33	58.00	35.00	48.00	33.00
ENSG00000108219.10	3211.55	1397.00	1281.00	1349.00	1188.00
ENSG00000108239.8	4056.96	184.00	164.00	248.00	259.00
ENSG00000108242.8	2418.00	0.00	0.00	1.00	1.00
ENSG00000108244.12	1742.79	407.00	369.00	843.00	886.00
ENSG00000108256.4	10555.55	1770.00	1450.00	2331.00	2340.00
ENSG00000108262.11	2215.09	479.00	505.00	527.00	376.00
ENSG00000108264.12	2052.64	157.00	151.00	170.00	227.00
ENSG00000108270.6	2139.38	640.00	484.00	224.00	195.00
ENSG00000108272.9	1560.81	356.00	319.00	334.00	271.00
ENSG00000108278.7	961.41	524.00	462.00	495.00	525.00
ENSG00000108292.12	4343.46	3240.00	2933.00	3147.00	2831.00
ENSG00000108294.4	767.69	1270.00	1102.00	1385.00	1283.00
ENSG00000108296.7	2468.42	355.00	279.00	437.00	427.00
ENSG00000108298.5	733.04	13503.00	12124.00	14267.00	12968.00
ENSG00000108306.7	2339.02	208.00	191.00	267.00	270.00
ENSG00000108309.8	2272.71	3.00	8.00	2.00	4.00
ENSG00000108312.10	2988.46	1062.00	924.00	1102.00	1019.00
ENSG00000108342.8	1123.67	1.00	1.00	0.00	0.00
ENSG00000108344.10	2089.60	2052.00	1918.00	2054.00	1867.00
ENSG00000108349.10	3216.13	1789.00	1561.00	2022.00	1992.00
ENSG00000108352.7	2256.39	172.00	168.00	138.00	120.00
ENSG00000108370.11	1792.50	0.00	0.00	0.00	0.00
ENSG00000108375.8	3353.56	2140.96	1918.92	2329.00	2130.00
ENSG00000108379.5	2934.13	252.00	230.00	172.00	157.00
ENSG00000108381.6	1917.00	0.00	0.00	0.00	0.00
ENSG00000108384.10	926.86	387.00	278.00	464.00	417.00
ENSG00000108387.10	1321.24	15.00	11.00	10.00	14.00
ENSG00000108389.5	4627.61	1878.00	1718.00	1635.00	1470.00
ENSG00000108395.9	3697.56	593.00	455.00	677.00	730.00
ENSG00000108405.3	1823.75	2.00	2.00	0.00	0.00
ENSG00000108406.5	3479.03	1090.89	924.04	1352.24	1343.30
ENSG00000108417.3	1475.00	3.00	3.00	0.00	1.00
ENSG00000108423.10	1834.34	273.00	219.00	362.00	350.95
ENSG00000108424.5	2309.71	6963.00	5743.00	7428.00	7318.00
ENSG00000108433.11	1009.55	468.11	440.95	576.60	529.43
ENSG00000108439.5	2314.20	879.00	706.00	908.00	888.00
ENSG00000108443.9	3922.97	1028.00	824.00	1489.00	1509.00
ENSG00000108448.16	1669.69	100.76	88.30	138.98	121.70
ENSG00000108465.10	1606.71	2599.45	2442.78	2803.49	2628.00
ENSG00000108468.10	2177.07	1572.00	1242.00	1623.00	1635.00
ENSG00000108469.10	1754.51	540.00	551.00	610.00	561.00
ENSG00000108474.12	905.63	245.00	219.00	292.00	246.00
ENSG00000108479.7	1350.81	284.00	368.00	133.00	119.00
ENSG00000108506.7	5533.14	1023.00	842.00	903.00	889.00
ENSG00000108509.16	2184.50	336.00	320.00	438.00	382.00
ENSG00000108510.5	8723.01	1791.00	1485.00	1756.00	1829.00
ENSG00000108515.13	1084.38	527.00	448.00	392.00	363.00
ENSG00000108518.7	1272.84	4609.00	4065.00	4968.00	4218.00
ENSG00000108523.11	1069.81	829.00	718.00	957.00	916.00
ENSG00000108528.9	1532.31	318.00	343.00	290.00	265.00
ENSG00000108551.4	1746.00	38.00	53.00	57.00	49.00
ENSG00000108556.7	1911.13	17.00	16.00	8.00	9.00
ENSG00000108557.13	6029.94	383.00	433.00	364.00	302.00
ENSG00000108559.7	1087.39	701.00	548.00	734.00	716.00
ENSG00000108561.4	917.01	2284.00	1905.00	2237.00	2245.71
ENSG00000108576.5	2878.11	323.00	260.00	173.00	186.00
ENSG00000108578.10	2161.77	791.00	642.00	879.00	869.00
ENSG00000108582.7	7447.41	5765.00	4728.00	5827.00	5996.00
ENSG00000108587.10	2503.22	781.00	692.00	909.00	886.00
ENSG00000108588.9	2924.07	2643.00	2167.00	3159.00	2979.00
ENSG00000108590.6	850.82	114.00	74.00	126.00	103.00
ENSG00000108591.5	1826.84	304.00	263.00	270.00	259.00
ENSG00000108592.12	2741.48	1210.00	1054.00	1369.00	1251.00
ENSG00000108599.10	2903.39	373.00	315.00	375.00	381.00
ENSG00000108602.13	1495.00	3.00	1.00	3.00	3.00
ENSG00000108604.11	2223.79	1666.00	1501.00	1522.00	1378.00
ENSG00000108622.6	1084.55	101.00	104.00	120.00	90.00
ENSG00000108639.3	1303.71	742.00	724.00	725.00	570.00
ENSG00000108641.10	822.23	91.00	106.00	112.00	110.00
ENSG00000108651.5	1508.41	727.00	556.00	751.00	783.00
ENSG00000108654.7	2393.08	10015.00	8132.00	14859.00	14422.00
ENSG00000108666.5	1368.99	256.00	171.00	245.00	237.66
ENSG00000108669.12	2304.59	1098.00	981.00	940.00	871.00
ENSG00000108671.5	1891.01	1535.00	1289.00	1545.00	1415.00
ENSG00000108679.8	1871.53	5823.00	5904.00	5097.00	4411.85
ENSG00000108733.5	2675.00	131.00	116.00	185.00	164.00
ENSG00000108753.8	2874.51	258.00	233.00	248.00	265.00
ENSG00000108771.8	1649.12	63.00	67.00	50.00	59.00
ENSG00000108773.6	2758.58	1707.96	1758.00	2194.00	1896.00
ENSG00000108774.10	1655.55	1737.76	1596.81	1723.00	1481.00
ENSG00000108784.5	2292.67	453.00	499.00	348.00	283.00
ENSG00000108785.7	955.00	0.00	1.00	1.00	0.00
ENSG00000108786.6	4189.02	6.00	10.00	6.00	7.00
ENSG00000108788.7	1990.20	805.00	742.00	874.00	849.00
ENSG00000108797.7	4820.08	786.00	735.00	950.00	844.00
ENSG00000108799.8	2867.05	451.00	397.00	507.00	481.00
ENSG00000108813.9	1980.58	33.00	38.00	28.00	23.00
ENSG00000108819.9	3585.88	512.00	486.00	583.00	441.00
ENSG00000108821.9	2391.22	49.00	48.00	46.00	31.00
ENSG00000108823.11	881.38	1.00	0.00	0.00	0.00
ENSG00000108825.13	1547.35	59.62	44.18	60.12	38.57
ENSG00000108826.11	794.85	608.00	569.00	700.00	635.00
ENSG00000108828.11	2714.38	3314.00	2910.00	4332.00	3937.00
ENSG00000108829.9	2890.44	3191.00	2513.00	3127.00	3140.00
ENSG00000108830.7	1998.67	0.00	0.00	0.00	0.00
ENSG00000108839.7	1274.67	0.00	3.00	1.00	0.00
ENSG00000108840.11	3234.88	789.00	827.00	780.00	651.00
ENSG00000108846.11	2727.25	1202.00	1251.00	930.00	848.00
ENSG00000108848.11	2573.63	4315.00	3803.00	5307.00	4924.00
ENSG00000108852.10	4281.33	53.00	72.00	73.00	58.00
ENSG00000108854.11	3638.81	613.00	523.00	857.00	919.00
ENSG00000108861.4	3550.16	2009.00	1722.98	2222.97	2118.00
ENSG00000108883.8	1668.80	3400.00	2788.00	3919.00	3721.00
ENSG00000108924.9	4387.03	10425.00	8779.00	10754.99	10438.06
ENSG00000108932.7	3466.40	125.00	116.00	366.00	395.00
ENSG00000108946.10	2681.69	7140.00	6147.00	11448.87	11167.01
ENSG00000108947.4	3222.00	15.00	11.00	8.00	11.00
ENSG00000108950.7	1699.02	406.00	385.00	438.00	369.00
ENSG00000108953.12	1526.81	5313.02	4478.00	6217.00	5918.00
ENSG00000108958.4	408.00	0.00	2.00	0.00	0.00
ENSG00000108960.3	2404.52	3629.00	2816.00	2529.00	2470.00
ENSG00000108961.9	1024.18	201.00	179.00	178.00	160.00
ENSG00000108963.13	1368.31	293.33	304.15	344.78	269.47
ENSG00000108984.9	2252.31	207.00	130.01	141.00	130.00
ENSG00000109016.13	1205.20	195.00	167.00	188.00	220.00
ENSG00000109046.10	2763.87	3501.00	3348.00	5163.00	5194.00
ENSG00000109061.9	6024.00	1.00	1.00	1.00	0.00
ENSG00000109062.5	1389.15	2456.00	2257.00	1765.00	1576.00
ENSG00000109063.10	3880.83	150.00	147.00	154.00	119.00
ENSG00000109065.7	1300.88	397.00	330.00	533.00	478.00
ENSG00000109066.9	3641.77	222.00	188.00	288.00	213.00
ENSG00000109072.9	1441.44	3886.00	3688.00	2109.00	1953.00
ENSG00000109079.5	3298.84	737.79	584.00	986.00	993.00
ENSG00000109083.9	1009.68	198.00	147.00	204.00	194.00
ENSG00000109084.9	2027.88	1780.00	1540.00	1406.00	1372.00
ENSG00000109089.7	3536.00	105.00	73.00	128.00	82.00
ENSG00000109099.9	1810.00	75.00	77.00	145.00	131.00
ENSG00000109101.3	2047.67	3.00	0.00	2.00	0.00
ENSG00000109103.7	1996.44	201.00	202.00	201.00	177.00
ENSG00000109107.9	1651.33	1485.00	1539.00	1184.00	1131.00
ENSG00000109111.10	5337.94	2690.00	2308.00	3178.00	2890.00
ENSG00000109113.13	664.64	0.00	2.00	2.00	2.00
ENSG00000109118.9	4478.60	703.00	637.00	825.01	656.00
ENSG00000109133.8	3138.15	656.00	542.00	771.00	760.00
ENSG00000109171.10	2272.00	624.00	484.00	742.00	740.00
ENSG00000109180.10	1276.67	892.00	674.00	895.00	967.00
ENSG00000109181.7	1884.55	2696.72	2106.87	1944.94	1988.93
ENSG00000109184.10	3363.45	665.00	490.00	916.00	912.00
ENSG00000109189.8	4297.59	385.00	312.00	462.00	483.00
ENSG00000109193.6	1780.00	21.00	20.00	9.00	4.00
ENSG00000109205.12	791.21	764.00	572.00	1490.00	1474.00
ENSG00000109220.6	958.03	85.00	103.00	101.00	97.00
ENSG00000109265.8	4366.28	129.00	136.00	155.00	128.00
ENSG00000109270.8	1510.84	496.00	408.00	570.00	605.00
ENSG00000109320.7	3385.27	745.00	605.00	825.00	830.00
ENSG00000109321.6	1240.00	1.40	0.00	1.47	0.00
ENSG00000109323.4	3313.76	1000.00	927.00	1446.00	1398.00
ENSG00000109332.15	1764.67	2331.00	1829.00	2602.00	2573.00
ENSG00000109381.15	2626.83	644.00	514.00	846.00	884.00
ENSG00000109390.7	469.86	359.00	368.00	422.00	359.00
ENSG00000109424.3	1462.00	3.00	1.00	0.00	1.00
ENSG00000109436.7	5306.00	530.00	434.00	668.00	637.00
ENSG00000109445.6	1583.19	473.00	394.00	509.00	548.00
ENSG00000109452.8	1808.78	0.00	0.00	0.00	0.00
ENSG00000109458.4	4204.18	478.00	400.00	427.00	419.00
ENSG00000109466.9	2608.75	250.85	194.51	287.09	271.71
ENSG00000109472.9	2364.25	8986.00	7686.00	6714.00	6657.00
ENSG00000109475.12	448.92	3723.00	2943.00	3848.00	4008.00
ENSG00000109501.9	3317.12	753.00	804.00	831.00	684.00
ENSG00000109511.6	959.00	0.00	0.00	0.00	0.00
ENSG00000109519.8	1253.45	925.00	797.00	954.00	915.00
ENSG00000109534.12	1024.89	227.00	154.00	267.00	268.00
ENSG00000109536.7	1044.79	365.55	251.10	434.18	405.37
ENSG00000109572.9	4898.03	997.00	772.00	1716.00	1726.00
ENSG00000109576.9	1979.61	173.00	155.00	213.00	177.00
ENSG00000109586.7	3513.08	14.00	15.00	13.00	20.00
ENSG00000109606.8	2710.27	2474.00	1948.00	2359.00	2271.00
ENSG00000109610.5	789.67	0.00	0.00	0.00	0.00
ENSG00000109618.7	4635.51	426.00	388.00	369.00	401.00
ENSG00000109625.14	1651.18	11.27	14.81	7.00	3.00
ENSG00000109654.10	6735.00	172.00	138.00	137.00	144.00
ENSG00000109667.7	1317.64	385.00	380.00	176.00	161.00
ENSG00000109670.9	2863.04	296.00	209.00	368.00	389.00
ENSG00000109674.3	2408.00	93.00	64.00	75.00	64.00
ENSG00000109680.6	1960.96	37.00	24.00	47.00	43.00
ENSG00000109685.13	5340.38	2301.00	1958.00	2283.00	2064.00
ENSG00000109686.12	4415.05	2374.00	1977.00	2165.00	2068.00
ENSG00000109689.10	2394.07	264.00	217.00	405.00	358.00
ENSG00000109705.7	2801.00	4.00	0.00	4.00	1.00
ENSG00000109736.10	1506.36	144.00	183.00	143.00	118.00
ENSG00000109738.6	713.51	2.00	3.00	7.00	5.00
ENSG00000109743.6	1099.96	0.00	3.00	3.00	4.00
ENSG00000109756.4	3130.86	774.00	611.00	666.00	663.00
ENSG00000109758.4	1739.71	277.00	472.00	93.00	61.00
ENSG00000109762.11	3022.01	583.00	482.95	669.96	748.00
ENSG00000109771.11	3112.20	10.00	11.00	19.00	23.00
ENSG00000109775.6	1684.46	405.00	278.00	518.00	535.00
ENSG00000109787.8	4551.83	1645.00	1328.00	1587.00	1581.00
ENSG00000109790.12	2864.94	679.00	485.00	983.00	958.00
ENSG00000109794.9	1386.39	0.00	0.00	0.00	0.00
ENSG00000109805.5	3893.84	983.00	724.00	762.00	710.00
ENSG00000109814.7	1753.03	2958.00	2402.00	2888.00	3028.00
ENSG00000109819.4	5431.05	975.00	826.00	738.00	753.00
ENSG00000109832.8	776.01	2.00	2.00	4.00	5.00
ENSG00000109846.3	938.43	14.00	12.00	34.00	49.00
ENSG00000109854.9	1086.89	0.00	0.00	0.00	0.00
ENSG00000109861.11	1785.04	2073.00	1764.00	1655.00	1622.00
ENSG00000109881.12	1500.13	368.00	245.00	321.00	308.00
ENSG00000109911.13	1767.76	151.00	130.00	162.00	167.00
ENSG00000109917.6	2371.76	662.00	581.00	672.00	673.00
ENSG00000109919.5	1330.76	1709.00	1464.00	1581.00	1540.00
ENSG00000109920.8	2492.58	1845.00	1537.00	1891.00	1813.00
ENSG00000109927.5	7247.02	7.00	9.00	5.00	12.00
ENSG00000109929.5	2099.91	1546.00	1281.00	1111.00	1165.00
ENSG00000109944.6	2179.75	1.00	0.00	0.00	0.00
ENSG00000109971.9	1739.37	13852.00	10504.00	15335.00	14604.00
ENSG00000109991.4	1045.33	2.00	2.00	0.00	0.00
ENSG00000110002.11	2336.65	65.00	56.00	120.00	120.00
ENSG00000110011.9	700.23	203.95	233.00	214.00	162.86
ENSG00000110013.8	2884.93	413.00	341.00	567.00	539.00
ENSG00000110025.8	1614.05	72.65	149.72	28.57	26.10
ENSG00000110031.8	1807.47	48.00	41.00	67.00	53.00
ENSG00000110042.3	5642.00	160.00	124.00	137.00	151.00
ENSG00000110046.8	4122.57	231.00	260.00	255.00	192.00
ENSG00000110047.13	2578.49	364.00	387.00	428.00	341.00
ENSG00000110048.7	4873.47	1043.00	902.00	1073.00	1062.00
ENSG00000110057.3	746.32	105.00	128.97	106.00	65.00
ENSG00000110060.4	1781.62	139.00	137.00	183.00	193.00
ENSG00000110063.4	1490.49	153.00	161.00	234.00	219.00
ENSG00000110066.10	2733.78	644.00	549.00	766.00	793.00
ENSG00000110074.6	1648.66	575.00	483.00	527.00	432.00
ENSG00000110075.10	3489.96	1691.00	1370.00	1684.00	1628.00
ENSG00000110076.14	1408.25	2.00	5.00	5.00	3.00
ENSG00000110080.14	1401.83	93.00	69.00	73.00	68.00
ENSG00000110090.8	5163.37	1049.00	995.00	541.00	521.00
ENSG00000110092.3	4159.30	2961.00	2597.00	3880.00	3616.00
ENSG00000110104.7	1768.75	587.00	493.00	530.00	514.00
ENSG00000110107.4	2143.96	1389.00	1217.00	1499.00	1314.00
ENSG00000110108.5	1901.58	441.00	391.00	394.00	340.00
ENSG00000110169.6	1088.81	195.00	181.00	358.00	267.00
ENSG00000110171.14	1795.39	77.00	61.00	105.00	92.00
ENSG00000110172.7	1994.62	619.97	484.00	807.00	812.00
ENSG00000110195.7	1111.50	1.00	0.00	0.00	0.00
ENSG00000110200.4	844.68	152.00	101.00	131.00	132.00
ENSG00000110203.4	723.29	0.00	0.00	0.00	0.00
ENSG00000110218.4	2769.00	240.00	252.00	368.00	364.00
ENSG00000110237.3	3199.52	527.00	529.00	419.00	338.00
ENSG00000110243.7	1262.92	627.00	731.00	253.00	187.00
ENSG00000110244.5	1470.00	31.00	54.00	18.00	15.00
ENSG00000110245.7	539.01	2571.00	2992.00	483.00	361.00
ENSG00000110274.10	3343.74	443.00	380.00	383.00	362.00
ENSG00000110315.2	3867.52	476.00	402.00	550.00	561.00
ENSG00000110318.9	5559.84	121.00	97.00	142.00	174.00
ENSG00000110321.11	3468.93	11130.00	8789.07	11600.00	11790.00
ENSG00000110324.5	1938.38	0.00	0.00	1.00	0.00
ENSG00000110328.5	2504.00	1.00	2.00	3.00	2.00
ENSG00000110330.4	3194.90	1254.00	1031.00	1252.00	1340.00
ENSG00000110344.5	6103.00	1353.00	1070.00	1404.00	1420.00
ENSG00000110367.7	4059.04	1352.00	1024.00	1259.00	1261.00
ENSG00000110375.2	937.00	0.00	1.00	0.00	0.00
ENSG00000110395.4	11465.00	832.00	678.00	915.00	876.05
ENSG00000110400.6	5840.00	296.00	281.00	339.00	257.00
ENSG00000110422.7	7266.96	1234.00	1002.00	1606.00	1561.00
ENSG00000110427.10	6751.31	2.00	2.00	2.00	3.00
ENSG00000110429.9	2665.50	407.00	342.00	487.00	518.00
ENSG00000110435.7	2074.52	933.00	806.00	1103.00	1141.97
ENSG00000110436.7	11243.62	1845.01	1606.00	1282.00	1353.00
ENSG00000110442.7	1349.34	287.00	258.00	340.00	333.00
ENSG00000110446.5	559.20	2.00	9.00	1.00	2.00
ENSG00000110455.9	1588.31	10.00	6.00	5.00	9.00
ENSG00000110484.6	505.00	0.00	0.00	0.00	1.00
ENSG00000110492.11	780.26	1347.00	1314.00	1426.00	1203.00
ENSG00000110497.10	3869.19	655.00	586.00	904.00	797.00
ENSG00000110514.14	4186.38	986.00	936.00	1002.00	955.00
ENSG00000110536.9	1005.12	428.00	348.73	420.62	457.30
ENSG00000110583.8	3465.41	616.00	518.00	742.00	702.00
