symbol	length	Control_D0	Control_D1	ASCC1_D0	ASCC1_D1
ENSG00000065534.14	4174.59	874.00	803.00	938.00	800.00
ENSG00000065548.13	2072.92	2629.00	2757.00	3123.00	2997.00
ENSG00000065559.10	3684.96	1332.00	1548.00	1777.00	1690.00
ENSG00000065600.8	1790.34	156.00	144.00	159.00	121.00
ENSG00000065609.10	2206.21	0.00	0.00	0.00	0.00
ENSG00000065613.9	7684.26	1376.00	1371.00	1542.00	1473.00
ENSG00000065615.9	2398.82	248.00	252.00	194.00	162.00
ENSG00000065618.12	574.66	2.00	4.00	2.00	2.00
ENSG00000065621.10	1509.97	45.00	57.00	158.00	155.00
ENSG00000065665.16	1943.13	122.00	111.00	65.00	85.00
ENSG00000065675.10	2647.93	5.00	7.00	9.00	10.00
ENSG00000065717.10	2031.24	12.00	7.00	18.00	17.00
ENSG00000065802.7	2849.26	2471.00	2310.00	1449.00	1308.00
ENSG00000065809.9	2703.28	684.00	793.00	1021.00	1001.00
ENSG00000065882.11	2181.92	1195.00	1151.00	1220.00	1136.00
ENSG00000065883.10	4743.42	996.00	875.00	996.00	988.00
ENSG00000065911.7	2126.70	4648.00	4773.00	4972.00	5284.00
ENSG00000065923.5	3204.93	102.00	125.00	114.00	122.00
ENSG00000065970.4	5395.57	304.00	241.00	183.00	212.00
ENSG00000065978.13	1506.30	13394.92	12857.81	10592.42	10294.39
ENSG00000065989.11	4192.60	349.00	263.00	242.00	204.00
ENSG00000066027.7	3071.34	1204.00	1227.00	1448.00	1531.00
ENSG00000066032.14	1658.94	0.00	1.00	1.00	0.00
ENSG00000066044.9	2333.71	1623.00	1346.00	1293.00	1129.00
ENSG00000066056.9	2495.39	33.00	18.00	148.00	121.00
ENSG00000066084.8	8580.40	3661.00	3540.00	2549.00	2540.00
ENSG00000066117.10	2638.73	1579.00	1462.00	1202.00	1183.00
ENSG00000066135.8	4249.71	633.00	615.00	915.00	907.00
ENSG00000066136.15	1904.29	840.00	653.00	693.00	580.00
ENSG00000066185.8	1775.00	2.00	8.00	11.00	14.00
ENSG00000066248.10	3024.41	1127.00	1018.00	1068.00	1040.00
ENSG00000066279.12	6560.06	751.00	823.00	111.00	109.00
ENSG00000066322.8	1414.65	851.00	826.00	830.00	764.00
ENSG00000066336.7	1130.50	0.00	0.00	2.00	0.00
ENSG00000066379.10	829.31	657.00	632.00	429.00	403.00
ENSG00000066422.4	5812.92	597.00	620.00	587.00	637.00
ENSG00000066427.17	1823.52	427.38	482.82	490.34	459.38
ENSG00000066455.8	2772.16	1830.00	1986.00	1649.00	1651.00
ENSG00000066468.16	3314.25	102.00	108.00	92.00	100.00
ENSG00000066557.5	2884.00	621.00	688.00	394.00	414.00
ENSG00000066583.7	1913.93	1000.00	923.00	736.00	675.00
ENSG00000066629.12	1296.27	19.00	29.00	27.00	26.00
ENSG00000066651.13	1701.73	599.00	627.00	441.00	396.00
ENSG00000066654.8	3673.22	1868.00	2004.00	1713.00	1781.00
ENSG00000066697.10	1358.30	211.00	246.00	277.00	212.00
ENSG00000066739.7	8349.29	706.00	695.00	784.00	739.00
ENSG00000066777.4	6081.31	1632.00	1562.00	1325.00	1254.00
ENSG00000066813.10	1731.54	1583.21	1692.89	2412.52	2320.76
ENSG00000066827.11	4615.24	130.00	120.00	153.00	130.00
ENSG00000066855.11	2286.94	901.00	882.00	757.00	859.00
ENSG00000066923.13	920.00	3.00	5.12	8.00	1.00
ENSG00000066926.6	2458.93	363.00	372.00	312.00	303.00
ENSG00000066933.11	8250.17	506.00	525.00	572.00	581.00
ENSG00000067048.12	3601.95	4637.00	4479.00	3747.00	3798.00
ENSG00000067057.12	2476.46	34.00	18.00	46.00	48.00
ENSG00000067064.6	2167.50	6601.00	7303.00	8291.00	8687.00
ENSG00000067066.12	1817.67	398.00	403.00	1038.00	991.00
ENSG00000067082.10	4012.74	1834.00	1838.00	1898.00	1870.00
ENSG00000067113.12	1553.61	161.00	164.00	266.00	295.00
ENSG00000067141.12	4348.71	966.00	1002.00	633.00	636.00
ENSG00000067167.3	2656.07	5039.00	5148.00	4887.00	5160.00
ENSG00000067177.10	6092.44	540.62	531.00	374.55	362.75
ENSG00000067182.3	1826.47	1649.00	1361.00	2599.00	2372.00
ENSG00000067191.11	1895.79	53.00	51.00	105.00	98.00
ENSG00000067208.10	4439.11	497.00	532.00	620.00	616.00
ENSG00000067221.9	1865.07	67.00	60.00	42.00	38.00
ENSG00000067225.13	2274.23	32262.00	27265.00	26378.00	23337.00
ENSG00000067248.5	4502.00	375.00	431.00	456.00	488.00
ENSG00000067334.9	2736.46	988.00	1073.00	1096.00	1172.00
ENSG00000067365.10	1309.62	633.00	570.00	581.00	491.00
ENSG00000067369.9	4227.78	491.00	488.00	839.00	696.00
ENSG00000067445.16	2785.65	691.00	697.00	847.00	735.00
ENSG00000067533.5	3091.22	499.00	488.00	522.00	473.00
ENSG00000067560.6	2027.64	7087.00	6372.00	6182.00	5788.00
ENSG00000067596.6	4388.43	1677.00	1661.00	2553.00	2312.00
ENSG00000067601.6	474.99	21.00	15.00	12.00	18.00
ENSG00000067606.11	1793.23	962.00	831.00	1206.00	1153.00
ENSG00000067646.7	4639.86	292.00	334.00	325.00	334.00
ENSG00000067704.8	3530.49	6150.00	6121.00	3329.00	3149.00
ENSG00000067715.9	1694.75	0.00	0.00	2.00	0.00
ENSG00000067798.9	1897.87	0.00	0.00	1.00	4.00
ENSG00000067829.14	1358.83	391.00	303.00	690.00	504.00
ENSG00000067836.8	1387.07	482.00	374.00	765.00	783.00
ENSG00000067840.8	3617.00	1.00	0.00	1.00	4.00
ENSG00000067842.13	4225.62	0.00	0.00	3.00	0.00
ENSG00000067900.6	9166.41	1789.00	1735.38	1903.51	1885.14
ENSG00000067955.9	2859.44	1212.00	1239.00	1612.00	1702.00
ENSG00000067992.8	1895.94	189.00	217.00	114.00	125.00
ENSG00000068001.9	1916.75	1567.00	1248.00	978.00	788.00
ENSG00000068024.12	5386.72	725.00	594.00	477.00	436.00
ENSG00000068028.13	1760.38	243.00	210.00	163.00	140.00
ENSG00000068078.13	3811.88	7864.00	5964.00	7293.00	6938.00
ENSG00000068079.3	1186.96	335.00	319.00	647.00	597.00
ENSG00000068097.10	3759.26	572.00	585.00	568.00	597.00
ENSG00000068120.10	2043.46	5434.00	4364.00	4858.00	4538.00
ENSG00000068137.10	1452.56	293.00	180.00	279.00	209.00
ENSG00000068305.13	4782.43	1023.00	960.00	998.00	940.00
ENSG00000068308.9	2332.39	1091.00	984.00	1387.00	1315.00
ENSG00000068323.12	3313.98	986.00	824.00	961.00	866.00
ENSG00000068354.11	2938.01	284.00	221.00	233.00	261.00
ENSG00000068366.15	4943.71	28174.00	27933.00	37000.00	37946.00
ENSG00000068383.14	2962.00	924.00	954.00	774.00	790.00
ENSG00000068394.9	1735.00	532.00	396.00	477.00	420.00
ENSG00000068400.9	2976.74	887.00	732.00	941.00	855.00
ENSG00000068438.10	1648.82	489.00	360.00	703.00	686.00
ENSG00000068489.8	2062.04	715.13	737.00	72.00	69.00
ENSG00000068615.12	909.90	2.00	1.00	4.00	2.00
ENSG00000068650.14	8073.54	2843.00	2447.77	3488.92	3089.73
ENSG00000068654.11	10586.18	1894.00	1665.00	1549.00	1280.00
ENSG00000068697.6	1765.00	8423.00	8465.00	8147.00	7704.00
ENSG00000068724.11	4374.83	1841.00	1520.00	847.00	744.00
ENSG00000068745.10	1386.37	1383.00	1177.00	1977.00	1846.00
ENSG00000068781.16	2773.00	0.00	0.58	0.00	0.00
ENSG00000068784.8	3681.00	445.00	438.00	460.00	497.00
ENSG00000068793.13	4120.31	1826.00	1560.00	1855.00	1740.00
ENSG00000068796.12	2583.36	529.00	519.00	683.00	712.00
ENSG00000068831.14	701.26	2.00	0.00	2.00	4.00
ENSG00000068878.10	5119.64	3619.00	3451.00	3053.00	3038.00
ENSG00000068885.10	2554.46	622.00	650.00	493.00	510.00
ENSG00000068903.15	1788.51	750.00	665.00	693.00	676.00
ENSG00000068912.9	2396.52	3251.00	3364.00	3163.00	3334.00
ENSG00000068971.9	2385.81	227.00	180.00	242.00	206.00
ENSG00000068976.9	2757.81	10.00	6.00	24.00	27.00
ENSG00000068985.4	665.00	0.00	1.00	6.00	9.00
ENSG00000069011.11	1534.88	132.00	84.00	166.00	133.00
ENSG00000069020.14	8574.49	478.00	443.00	600.00	578.00
ENSG00000069188.12	5562.17	0.00	0.00	0.00	0.00
ENSG00000069248.9	3969.11	1511.00	1382.00	1272.00	1234.00
ENSG00000069275.12	6496.00	8204.00	8191.00	5929.00	5970.00
ENSG00000069329.11	4153.89	4279.00	4454.00	3070.00	2980.00
ENSG00000069345.7	2472.87	3867.00	4067.00	4107.00	4230.00
ENSG00000069399.8	1416.85	159.00	84.00	83.00	74.00
ENSG00000069424.10	2721.53	449.00	308.00	393.00	351.00
ENSG00000069431.6	4233.50	0.00	0.00	2.00	0.00
ENSG00000069493.10	1124.77	136.05	132.92	88.15	91.51
ENSG00000069509.5	1186.30	268.00	310.00	266.00	303.00
ENSG00000069535.12	2532.16	1205.00	1145.00	1311.00	1366.00
ENSG00000069667.11	8091.98	1628.00	1539.00	1538.00	1457.00
ENSG00000069696.6	1375.00	3.00	1.00	3.00	2.00
ENSG00000069702.6	5701.24	8053.00	7629.00	8318.00	8023.00
ENSG00000069712.9	4584.39	87.00	88.00	128.00	139.00
ENSG00000069812.7	4262.00	3.00	3.00	10.00	3.00
ENSG00000069849.6	1602.42	1584.00	1483.00	1448.00	1389.00
ENSG00000069869.11	4641.22	1105.00	1162.00	1949.00	2018.00
ENSG00000069943.5	1561.78	280.00	271.00	274.00	253.00
ENSG00000069956.7	3738.12	8083.00	8050.00	9042.00	9134.00
ENSG00000069966.14	2204.67	697.00	716.00	777.00	765.00
ENSG00000069974.11	1833.27	168.25	187.61	222.62	247.10
ENSG00000070010.14	1314.40	518.00	492.00	501.00	475.00
ENSG00000070018.4	8801.03	2024.00	2199.00	1937.00	1824.00
ENSG00000070019.3	3834.00	5.00	13.00	18.00	26.00
ENSG00000070047.7	5449.95	820.00	570.00	745.00	719.00
ENSG00000070061.10	2718.79	9917.00	10124.00	12468.00	12109.00
ENSG00000070081.11	1265.67	869.00	931.00	1206.00	1208.00
ENSG00000070087.9	1686.71	2156.00	2174.00	1836.00	1802.00
ENSG00000070159.9	3964.08	666.00	705.00	928.00	864.00
ENSG00000070182.13	5315.33	0.00	1.00	0.00	0.00
ENSG00000070214.11	6254.36	4873.00	5159.00	4065.00	4126.00
ENSG00000070269.9	3867.05	386.00	389.00	300.00	282.00
ENSG00000070366.9	4092.48	821.00	743.00	724.00	704.00
ENSG00000070367.11	5530.13	1396.00	1413.00	1084.97	1134.00
ENSG00000070371.11	4093.09	344.00	315.00	309.00	261.00
ENSG00000070388.7	1712.00	0.00	1.00	0.00	1.00
ENSG00000070404.5	2484.62	874.00	643.00	739.00	733.00
ENSG00000070413.14	4445.34	1662.00	1278.00	1561.00	1385.00
ENSG00000070423.13	1131.28	617.00	370.00	380.00	376.00
ENSG00000070444.10	4851.42	468.00	343.00	646.00	619.00
ENSG00000070476.10	3082.46	729.00	643.00	785.00	703.00
ENSG00000070495.10	1832.20	1378.00	1113.00	714.00	643.00
ENSG00000070501.7	1080.32	366.00	403.00	358.00	364.00
ENSG00000070540.8	1625.61	942.00	819.00	1393.00	1402.00
ENSG00000070601.5	3202.00	0.00	0.00	0.00	0.00
ENSG00000070610.10	2304.18	1705.00	1568.00	910.00	828.00
ENSG00000070614.10	7862.87	5110.00	4509.00	3166.00	2825.00
ENSG00000070669.12	1921.63	2006.00	2044.00	1872.00	1879.00
ENSG00000070718.7	2860.94	241.00	257.00	182.00	186.00
ENSG00000070729.9	2305.39	0.00	4.00	9.00	4.00
ENSG00000070731.5	1946.37	10.00	22.00	23.00	23.00
ENSG00000070756.9	1894.63	35587.99	33872.00	30213.99	29110.00
ENSG00000070759.12	2647.72	449.00	411.00	315.00	266.00
ENSG00000070761.3	1285.83	795.00	717.00	478.00	465.00
ENSG00000070770.4	2842.25	3790.00	3729.00	3096.00	2968.00
ENSG00000070778.8	5442.68	126.00	94.00	215.00	208.00
ENSG00000070785.12	1592.66	427.00	408.00	290.00	265.00
ENSG00000070808.11	3864.30	1.00	2.00	5.00	10.00
ENSG00000070814.13	4491.98	1125.00	857.00	716.00	649.00
ENSG00000070831.11	2139.69	4770.58	4758.87	4943.57	5127.89
ENSG00000070882.8	6481.15	639.00	612.00	520.00	506.00
ENSG00000070915.5	4208.00	129.00	81.00	11.00	7.00
ENSG00000070950.5	5886.00	292.00	325.00	134.00	115.00
ENSG00000070961.10	5595.45	1849.00	1930.00	2366.00	2177.00
ENSG00000070985.9	3902.00	6.00	6.00	21.00	17.00
ENSG00000071051.9	2293.36	633.00	494.00	490.00	451.00
ENSG00000071054.11	4660.22	11142.09	10840.46	9841.64	9192.01
ENSG00000071073.8	5421.88	5531.00	5337.00	3679.00	3701.00
ENSG00000071082.6	502.50	29618.01	29260.00	21439.00	19042.00
ENSG00000071127.12	2775.48	3404.00	3046.00	5380.00	4813.00
ENSG00000071189.17	4632.36	940.00	990.00	1165.00	1207.00
ENSG00000071205.7	3172.32	21.00	13.00	12.00	19.00
ENSG00000071242.7	5405.71	16.00	17.00	15.00	12.00
ENSG00000071243.11	1955.27	125.00	129.00	154.00	168.00
ENSG00000071246.6	5504.72	10.86	13.73	171.18	153.60
ENSG00000071282.7	1488.72	136.00	100.00	197.00	146.00
ENSG00000071462.7	1090.70	638.00	628.00	982.00	828.00
ENSG00000071537.9	7421.67	3480.00	3404.00	4162.00	4161.00
ENSG00000071539.9	2496.78	280.00	296.00	107.00	88.00
ENSG00000071553.12	2109.33	4395.00	3699.00	4080.00	3885.00
ENSG00000071564.10	1897.20	1544.00	1010.00	821.00	710.00
ENSG00000071575.7	2417.75	97.00	93.00	251.00	199.00
ENSG00000071626.12	1976.23	1695.00	1490.00	1128.00	1002.00
ENSG00000071655.13	2196.48	971.91	563.47	797.17	794.53
ENSG00000071794.11	4503.56	1250.00	1345.00	828.00	883.00
ENSG00000071859.10	1342.33	820.00	663.00	1167.00	1133.00
ENSG00000071889.12	1721.71	445.00	291.00	356.00	378.00
ENSG00000071894.10	2404.02	2599.00	1759.00	2289.00	2158.00
ENSG00000071909.14	6040.09	3.00	1.00	3.00	9.00
ENSG00000071967.7	3163.44	22.00	24.00	113.00	107.00
ENSG00000071994.6	1435.04	1455.00	1505.00	1450.00	1477.00
ENSG00000072042.8	2462.99	4533.96	4809.20	6212.00	6205.00
ENSG00000072062.9	2084.53	1712.00	1426.00	1258.00	1223.00
ENSG00000072071.12	4017.51	99.00	67.00	155.00	124.00
ENSG00000072110.9	3410.68	5118.74	4223.70	6646.63	5633.00
ENSG00000072121.11	8037.42	858.00	869.00	976.00	951.00
ENSG00000072134.11	4315.13	945.00	765.00	731.00	740.00
ENSG00000072135.8	2433.88	876.00	734.00	543.00	543.00
ENSG00000072163.14	1557.73	160.00	76.00	78.00	63.00
ENSG00000072182.8	2403.00	0.00	0.00	1.00	1.00
ENSG00000072195.10	1020.36	8.00	2.00	7.00	11.00
ENSG00000072201.9	1658.01	10.00	7.00	14.00	22.00
ENSG00000072210.14	3005.14	4964.00	5137.00	3775.00	3850.00
ENSG00000072274.8	5007.04	23812.00	22688.00	12019.00	11516.00
ENSG00000072310.12	1549.52	1463.00	965.00	1599.00	1479.00
ENSG00000072364.8	9272.82	2956.00	2983.00	2603.00	2515.00
ENSG00000072401.10	2470.57	356.00	330.00	560.00	572.00
ENSG00000072415.4	5047.12	1009.00	1115.00	1140.00	1099.00
ENSG00000072422.12	4344.72	603.00	661.00	445.00	374.00
ENSG00000072444.10	1841.00	71.75	60.52	53.62	73.06
ENSG00000072501.13	5407.74	2065.00	1915.00	1041.00	919.00
ENSG00000072506.8	951.84	648.00	533.00	803.00	683.00
ENSG00000072518.16	4072.43	854.00	674.00	933.00	832.00
ENSG00000072571.15	1835.86	572.00	711.00	120.00	125.00
ENSG00000072609.13	2482.55	375.00	338.60	489.00	508.00
ENSG00000072657.4	1361.00	0.00	0.00	0.00	0.00
ENSG00000072682.14	2277.96	3353.00	2981.00	1995.00	1854.00
ENSG00000072736.14	5667.37	3799.33	3958.70	4526.16	4353.20
ENSG00000072756.12	1958.18	366.00	374.00	333.00	381.00
ENSG00000072778.15	1281.00	5197.00	4479.00	6321.00	5537.00
ENSG00000072786.8	5798.35	483.00	457.00	815.00	710.00
ENSG00000072803.13	3835.15	1919.00	1925.00	1604.00	1610.00
ENSG00000072818.7	741.78	20.00	10.00	5.00	6.00
ENSG00000072832.10	2702.33	1.00	0.00	0.00	0.00
ENSG00000072840.8	6808.85	550.00	558.00	336.00	389.00
ENSG00000072849.6	1236.30	573.00	616.00	627.00	592.00
ENSG00000072858.6	1476.58	1.00	0.00	0.00	0.00
ENSG00000072864.8	1778.26	1226.00	1099.00	950.00	822.00
ENSG00000072952.14	5812.00	13.00	19.00	20.00	26.00
ENSG00000072954.2	2126.03	147.00	145.00	175.00	180.00
ENSG00000072958.4	2115.43	1264.00	992.00	1346.00	1237.00
ENSG00000073008.10	3081.95	1375.00	1200.00	1214.00	1081.00
ENSG00000073009.8	1392.64	684.61	525.00	675.89	540.76
ENSG00000073050.7	1779.73	921.00	756.00	798.00	611.00
ENSG00000073060.11	2672.50	13192.00	9662.00	7231.00	6582.00
ENSG00000073067.9	1961.36	582.00	313.00	440.00	408.00
ENSG00000073111.9	3619.00	1754.00	1472.00	500.00	486.00
ENSG00000073146.11	1422.00	8.00	13.00	3.00	2.00
ENSG00000073150.9	3007.91	66.00	36.00	57.00	56.00
ENSG00000073169.9	1769.39	331.00	188.00	184.00	163.00
ENSG00000073331.13	3338.71	35.00	41.00	167.00	171.00
ENSG00000073350.9	1937.70	1671.00	1020.00	1353.00	1223.00
ENSG00000073417.10	3325.44	1098.00	1012.00	763.00	790.00
ENSG00000073464.7	6750.00	143.00	177.00	355.00	301.00
ENSG00000073536.13	3281.52	899.00	809.00	548.00	472.00
ENSG00000073578.12	2268.71	4015.56	3381.70	3039.86	2641.77
ENSG00000073584.14	1688.37	2929.50	2967.74	2535.60	2531.51
ENSG00000073605.14	1977.80	1022.00	873.00	633.00	608.00
ENSG00000073614.7	6015.25	1505.00	1469.00	1240.00	1152.00
ENSG00000073670.9	4460.19	30.00	23.00	39.00	30.00
ENSG00000073711.6	6074.08	5.00	8.00	26.00	29.00
ENSG00000073712.9	3267.35	1788.00	1736.00	1336.00	1356.00
ENSG00000073737.12	1730.44	0.00	0.00	0.00	0.00
ENSG00000073792.11	3440.00	4908.00	4272.00	4247.00	4277.00
ENSG00000073803.9	2038.37	759.00	757.00	819.00	809.00
ENSG00000073849.10	4102.79	16776.00	16719.00	13146.00	12824.00
ENSG00000073905.8	848.00	5.05	3.03	2.02	4.04
ENSG00000073910.15	6887.72	887.00	778.00	1066.00	1030.00
ENSG00000073921.13	2655.39	3465.00	3500.00	2678.00	2735.00
ENSG00000073969.14	3369.02	1278.75	1240.11	788.31	780.89
ENSG00000074054.13	7113.62	2619.00	2432.00	2011.00	1872.00
ENSG00000074071.9	787.65	627.00	581.00	625.00	576.00
ENSG00000074181.4	3685.24	22.00	16.00	64.00	42.00
ENSG00000074201.4	1036.98	3033.00	3126.00	2872.00	2546.00
ENSG00000074211.9	4092.00	241.00	226.00	238.00	238.00
ENSG00000074219.9	1956.37	316.00	299.00	373.00	383.00
ENSG00000074266.13	2053.06	280.00	297.00	275.00	280.00
ENSG00000074276.6	4077.49	1141.00	958.00	1687.00	1403.00
ENSG00000074319.8	1281.97	2292.00	2257.00	2411.00	2317.00
ENSG00000074356.12	2012.63	628.00	669.00	628.00	660.00
ENSG00000074370.13	3994.32	1.00	5.00	9.00	5.00
ENSG00000074410.9	3848.02	12.00	7.00	44.00	42.00
ENSG00000074527.7	2575.26	193.00	228.00	407.00	357.00
ENSG00000074582.8	1109.77	468.00	395.00	360.00	300.00
ENSG00000074590.9	6828.00	87.00	98.00	148.00	150.00
ENSG00000074603.14	6063.37	1099.00	1181.00	1034.00	1097.00
ENSG00000074621.9	3001.66	444.00	505.00	505.00	548.00
ENSG00000074660.11	3350.76	12.00	12.00	24.00	29.00
ENSG00000074695.5	5427.75	13595.00	13695.00	8062.00	8352.00
ENSG00000074696.8	3206.06	4718.00	4675.00	4319.00	4355.00
ENSG00000074706.9	525.22	0.00	0.00	1.00	2.00
ENSG00000074755.10	9554.93	901.00	717.00	781.00	785.00
ENSG00000074771.3	2042.00	1.00	1.00	9.00	4.00
ENSG00000074800.9	1774.96	98803.00	85556.00	59986.00	55108.00
ENSG00000074842.3	1007.18	1941.00	1748.00	1556.00	1435.00
ENSG00000074855.6	4167.41	185.00	135.00	109.00	136.00
ENSG00000074935.9	1764.91	274.00	254.00	182.00	195.00
ENSG00000074964.12	3234.69	2734.00	1892.00	2108.00	2061.00
ENSG00000074966.6	1327.83	0.00	0.00	0.00	0.00
ENSG00000075073.10	1952.79	0.00	0.00	4.00	3.00
ENSG00000075089.5	1641.18	606.00	604.00	339.00	311.00
ENSG00000075131.5	1113.36	74.00	99.36	86.94	69.00
ENSG00000075142.9	903.00	1.00	1.00	0.00	4.00
ENSG00000075151.15	4793.54	1215.00	1168.00	2001.00	2035.00
ENSG00000075188.4	1279.60	563.00	590.00	490.00	500.00
ENSG00000075213.6	3313.19	13.00	7.00	3.00	4.00
ENSG00000075218.14	1972.23	325.00	287.00	26.00	34.00
ENSG00000075223.9	1445.09	1.00	0.00	0.00	0.00
ENSG00000075234.12	2251.98	3159.00	2652.00	2983.00	2958.00
ENSG00000075239.9	1718.24	1816.00	1888.00	1243.00	1355.00
ENSG00000075240.12	2522.74	646.00	495.00	482.00	478.00
ENSG00000075275.12	3660.39	36.00	18.00	50.00	63.00
ENSG00000075290.7	2112.00	2.00	4.00	4.00	2.00
ENSG00000075292.14	2731.34	3078.00	3199.00	2971.00	2992.00
ENSG00000075303.8	2239.82	704.00	720.00	327.00	355.00
ENSG00000075336.7	1376.73	429.00	387.00	300.00	311.00
ENSG00000075340.18	2835.79	2.00	4.00	5.00	6.00
ENSG00000075391.12	9421.81	316.00	310.00	256.00	270.00
ENSG00000075399.8	2377.69	332.00	244.00	352.00	332.00
ENSG00000075407.13	7936.49	902.00	910.00	670.00	621.00
ENSG00000075413.13	2198.55	1014.00	997.00	1256.00	1160.00
ENSG00000075415.8	1344.50	10233.00	10022.00	8531.00	8361.00
ENSG00000075420.8	5795.07	8908.00	8847.00	10881.00	10860.00
ENSG00000075426.7	4401.26	2471.00	2000.00	2287.00	2015.00
ENSG00000075461.5	3380.00	9.56	2.00	20.00	15.00
ENSG00000075539.9	7606.89	692.00	680.00	635.00	561.00
ENSG00000075568.12	5946.93	2259.00	2090.00	1955.00	1869.00
ENSG00000075618.13	2506.53	799.00	557.00	839.00	851.00
ENSG00000075624.9	1884.82	20986.00	15397.00	12359.00	11070.00
ENSG00000075643.5	6160.00	454.00	415.00	625.00	586.00
ENSG00000075651.11	4815.14	2592.00	2469.00	3161.00	2981.00
ENSG00000075702.12	4293.69	210.00	139.00	126.00	142.00
ENSG00000075711.16	3389.83	1746.00	1800.00	1915.00	1998.00
ENSG00000075785.8	2160.18	3878.00	3518.00	4415.00	4297.00
ENSG00000075790.6	1761.16	490.22	504.70	620.93	642.00
ENSG00000075826.12	3704.68	180.99	164.95	218.01	212.74
ENSG00000075856.7	3475.65	1296.00	1297.00	982.00	953.00
ENSG00000075884.8	893.21	0.00	0.00	0.00	0.00
ENSG00000075891.17	2189.00	0.00	1.00	0.00	0.00
ENSG00000075914.8	1094.07	818.00	713.00	631.00	575.00
ENSG00000075945.8	2490.35	416.00	339.00	406.00	422.00
ENSG00000075975.11	2789.03	1133.00	1109.00	656.00	601.00
ENSG00000076003.4	3736.00	581.00	585.00	250.00	246.00
ENSG00000076043.5	1006.26	589.00	570.00	875.00	878.00
ENSG00000076053.6	2073.56	1209.00	1226.00	1346.00	1471.00
ENSG00000076067.7	2340.39	197.00	207.66	268.82	247.00
ENSG00000076108.7	7345.98	5515.00	5045.00	5830.00	5223.00
ENSG00000076201.10	5111.98	903.00	597.00	909.00	880.00
ENSG00000076242.10	2401.17	801.00	837.00	728.00	817.00
ENSG00000076248.6	2102.76	1169.00	1308.00	843.00	809.00
ENSG00000076258.5	1961.39	4.00	7.00	19.00	11.00
ENSG00000076321.6	2513.49	337.00	340.00	359.00	373.00
ENSG00000076344.11	1763.00	2.00	1.00	2.00	0.00
ENSG00000076351.8	6031.66	1928.00	1734.00	1572.00	1538.00
ENSG00000076356.6	8866.04	196.00	176.00	302.00	255.00
ENSG00000076382.12	2542.32	1100.00	1078.00	161.00	153.00
ENSG00000076513.12	2975.82	1469.00	1462.00	819.00	805.00
ENSG00000076554.11	1530.34	1306.16	1178.17	585.10	589.00
ENSG00000076555.11	8388.39	761.00	673.00	698.00	689.00
ENSG00000076604.10	2085.75	1484.00	1202.00	1942.00	1762.00
ENSG00000076641.4	10744.00	41.00	20.00	33.00	23.00
ENSG00000076650.2	3492.00	266.00	251.00	246.00	222.00
ENSG00000076662.5	1340.48	228.00	173.00	194.00	167.00
ENSG00000076685.14	2699.30	2127.00	2220.00	1953.00	1869.00
ENSG00000076706.10	3214.38	401.00	328.00	1015.00	842.00
ENSG00000076716.7	3775.49	18.00	18.00	16.00	23.00
ENSG00000076770.10	8389.39	11482.00	11765.00	9735.00	9702.00
ENSG00000076826.5	3062.40	967.00	660.00	904.00	819.00
ENSG00000076864.15	3157.04	1266.00	998.00	1228.00	1164.00
ENSG00000076924.7	2641.60	840.00	601.00	668.00	582.00
ENSG00000076928.13	2572.65	992.00	688.00	1194.00	1023.00
ENSG00000076944.10	1725.32	1027.00	814.13	1151.00	1049.20
ENSG00000076984.13	3227.16	809.00	567.00	752.00	716.00
ENSG00000077044.5	4327.96	1978.00	1526.05	2001.06	1895.88
ENSG00000077080.5	1537.00	0.00	2.00	2.00	2.00
ENSG00000077092.14	2590.00	2.00	1.00	2.00	3.00
ENSG00000077097.9	3686.08	3164.00	3082.00	3122.00	3119.00
ENSG00000077147.10	4097.30	6912.00	6901.00	5130.00	5347.00
ENSG00000077150.13	2473.62	539.00	464.00	575.00	485.00
ENSG00000077152.5	922.00	476.00	477.00	165.00	137.00
ENSG00000077157.16	6997.35	433.00	408.00	241.00	243.00
ENSG00000077232.12	4649.58	2390.00	2426.00	3931.00	3936.00
ENSG00000077235.13	4626.20	3332.00	2791.00	2903.00	2551.00
ENSG00000077238.9	3270.16	879.00	690.00	1103.00	1091.00
ENSG00000077254.10	3327.73	1199.00	1475.00	1466.00	1409.00
ENSG00000077264.10	573.00	0.00	0.00	0.00	2.00
ENSG00000077312.4	1488.82	966.00	828.00	603.00	601.00
ENSG00000077348.4	1065.44	294.00	204.00	330.00	275.00
ENSG00000077380.11	2527.27	2859.64	3039.78	2503.21	2468.58
ENSG00000077420.11	1679.00	0.00	1.00	0.00	0.00
ENSG00000077454.11	2249.97	444.00	253.00	436.00	382.64
ENSG00000077458.8	2329.59	418.00	467.00	273.00	297.00
ENSG00000077463.10	1302.59	197.00	115.00	210.00	160.00
ENSG00000077514.4	3496.74	265.00	261.00	235.00	211.00
ENSG00000077522.8	2860.13	1.00	4.00	7.00	8.00
ENSG00000077549.13	1414.68	3071.00	2962.00	2938.00	2951.00
ENSG00000077585.9	1515.20	33.00	42.00	51.00	40.00
ENSG00000077616.6	3103.32	419.00	463.00	246.00	238.00
ENSG00000077684.11	3897.56	630.00	623.00	573.00	613.00
ENSG00000077713.14	2777.87	550.00	489.00	385.00	366.00
ENSG00000077721.11	1780.72	645.00	600.00	717.00	742.00
