symbol	length	Control_D0	Control_D1	ADAR_D0	ADAR_D1
ENSG00000127980.11	2869.88	522.00	556.00	434.00	417.00
ENSG00000127989.9	1609.85	206.00	210.00	211.00	179.00
ENSG00000127990.11	1598.12	710.00	667.00	803.00	710.00
ENSG00000127993.10	2186.03	233.00	229.00	221.00	189.00
ENSG00000127995.12	3017.45	980.00	902.00	668.00	543.00
ENSG00000128000.11	5538.85	458.26	413.00	499.91	430.00
ENSG00000128011.4	3381.00	10.03	6.56	5.00	11.00
ENSG00000128016.4	1678.64	180.00	188.00	106.00	156.00
ENSG00000128039.6	1758.14	243.00	205.00	107.00	96.00
ENSG00000128045.5	1462.33	2.00	1.00	1.00	0.00
ENSG00000128050.4	2930.42	9277.00	8751.00	7091.00	6392.00
ENSG00000128059.4	3282.80	1048.97	896.99	807.00	736.99
ENSG00000128159.7	4584.12	418.00	460.00	463.00	554.00
ENSG00000128165.7	4246.00	81.00	85.00	53.00	58.00
ENSG00000128185.5	1154.00	68.00	79.89	97.00	142.00
ENSG00000128191.9	3456.00	476.00	431.00	595.00	653.00
ENSG00000128203.6	3357.00	3.00	4.00	5.00	5.00
ENSG00000128218.7	556.50	1.00	0.00	1.00	0.00
ENSG00000128228.4	865.00	68.00	43.00	34.00	39.00
ENSG00000128242.8	945.97	32.00	32.00	53.00	45.00
ENSG00000128245.10	1758.45	1357.00	1256.00	988.00	1016.00
ENSG00000128253.9	1782.80	2.00	1.00	0.00	0.00
ENSG00000128254.9	1247.00	0.00	0.00	0.00	1.00
ENSG00000128262.4	5018.00	10.96	14.00	2.00	1.00
ENSG00000128266.7	3179.19	416.00	402.00	480.00	518.00
ENSG00000128268.11	5062.00	7.00	4.00	2.00	3.00
ENSG00000128271.15	1443.30	45.00	29.21	23.27	41.43
ENSG00000128272.10	1442.06	4062.98	4092.00	4087.96	4756.97
ENSG00000128274.11	1245.45	13.00	17.00	4.00	9.00
ENSG00000128283.6	2121.99	350.00	392.00	569.00	920.00
ENSG00000128284.15	1583.03	91.00	92.00	103.00	107.00
ENSG00000128285.4	2058.53	10.00	8.00	5.00	5.00
ENSG00000128294.11	2026.34	161.00	145.00	158.00	172.00
ENSG00000128298.12	1530.45	112.00	146.00	121.00	179.00
ENSG00000128309.12	2149.10	692.00	763.00	743.00	815.00
ENSG00000128310.2	1157.00	0.00	0.00	1.00	0.00
ENSG00000128311.9	1249.07	167.00	182.00	124.00	167.00
ENSG00000128335.9	2178.94	1003.00	1042.00	1015.00	981.00
ENSG00000128340.10	718.55	13.00	7.00	1.00	5.00
ENSG00000128342.4	2730.31	179.00	177.00	130.00	170.00
ENSG00000128346.6	965.48	1.00	3.00	7.00	2.00
ENSG00000128394.12	2361.13	118.58	102.33	124.43	123.80
ENSG00000128408.7	1394.00	1.00	0.00	3.00	4.00
ENSG00000128422.11	1266.41	1.00	3.00	21.00	24.00
ENSG00000128438.6	2501.00	0.00	0.00	0.00	0.00
ENSG00000128463.8	1001.96	549.00	549.00	421.00	469.00
ENSG00000128482.11	1161.60	2.00	1.00	1.00	0.00
ENSG00000128487.12	1847.00	74.00	49.00	35.00	35.00
ENSG00000128510.6	1961.22	25.00	40.00	11.00	4.00
ENSG00000128512.15	4551.41	1122.00	1088.00	814.00	829.00
ENSG00000128513.10	1576.04	461.00	473.00	397.00	395.00
ENSG00000128524.4	704.00	472.00	562.00	545.00	702.00
ENSG00000128534.3	966.18	613.00	628.00	558.00	473.00
ENSG00000128536.11	1538.46	121.00	83.00	128.00	135.00
ENSG00000128563.9	2160.41	302.94	340.29	325.68	330.89
ENSG00000128564.5	2575.00	17.00	12.00	6.00	6.00
ENSG00000128567.12	4024.75	27.00	44.00	35.00	25.00
ENSG00000128573.18	6415.00	6.00	9.00	4.00	1.00
ENSG00000128578.5	3841.75	188.00	154.00	158.00	169.00
ENSG00000128581.11	1090.93	120.00	117.00	132.00	123.00
ENSG00000128585.13	7207.13	2222.00	2032.00	1541.00	1377.00
ENSG00000128590.4	2715.00	302.00	238.00	229.00	215.00
ENSG00000128591.11	6266.67	0.00	1.00	3.00	0.00
ENSG00000128595.12	3079.27	9148.00	9052.00	7013.00	6664.00
ENSG00000128596.12	833.71	12.00	6.00	2.00	5.00
ENSG00000128602.5	3529.87	608.00	615.00	667.00	843.00
ENSG00000128604.14	2052.29	40.00	30.00	24.00	33.00
ENSG00000128606.8	1182.98	8.00	4.00	9.00	6.00
ENSG00000128607.9	5418.40	848.00	841.00	887.00	822.00
ENSG00000128609.10	1606.74	854.00	737.00	697.00	604.00
ENSG00000128626.7	1071.78	148.00	139.00	126.00	151.00
ENSG00000128641.13	4281.35	3529.00	3255.00	2762.00	2515.00
ENSG00000128645.11	2028.00	423.00	402.00	105.00	84.00
ENSG00000128652.7	2076.40	0.00	0.00	0.00	0.00
ENSG00000128654.9	1034.08	780.00	678.00	497.00	443.00
ENSG00000128655.12	6062.01	97.00	92.00	50.00	51.00
ENSG00000128656.9	2351.26	82.00	64.00	58.00	37.00
ENSG00000128683.9	1780.00	6.00	6.00	1.00	1.00
ENSG00000128692.7	1037.52	62.38	73.38	55.54	37.87
ENSG00000128694.7	1847.54	187.00	176.00	128.00	124.00
ENSG00000128699.9	1252.40	1376.00	1260.00	1065.00	876.00
ENSG00000128708.8	1627.95	1400.00	1223.00	1293.00	1160.00
ENSG00000128710.5	1301.67	1.00	0.00	0.00	0.00
ENSG00000128731.11	4894.97	1385.42	1334.18	1280.62	1370.26
ENSG00000128739.16	1382.92	131.66	136.72	147.86	238.50
ENSG00000128789.16	936.04	593.00	580.00	451.00	438.00
ENSG00000128791.7	3671.82	490.00	471.00	232.00	185.00
ENSG00000128805.10	1482.68	0.00	2.00	2.00	4.00
ENSG00000128829.7	3180.55	1908.00	1799.00	1873.00	1824.00
ENSG00000128833.8	6329.74	1218.00	1172.00	1182.00	998.00
ENSG00000128849.9	7224.00	884.00	923.00	520.00	561.00
ENSG00000128872.5	2815.51	10.00	2.00	7.00	8.00
ENSG00000128881.12	10319.21	539.00	575.00	410.00	324.00
ENSG00000128886.7	1069.75	77.00	87.00	70.66	63.00
ENSG00000128891.11	1532.60	146.00	160.00	150.00	151.00
ENSG00000128908.11	5974.94	651.00	588.00	568.00	604.00
ENSG00000128915.7	2781.90	816.00	782.00	613.00	550.00
ENSG00000128917.5	3339.00	8.00	12.00	4.00	4.00
ENSG00000128918.10	367.43	21.00	9.00	6.00	5.00
ENSG00000128923.6	8780.34	825.00	766.00	702.00	596.00
ENSG00000128928.4	2290.30	1048.00	941.00	784.00	803.00
ENSG00000128944.9	1424.52	539.00	526.00	456.00	427.00
ENSG00000128951.9	856.09	461.00	417.00	384.00	353.00
ENSG00000128965.7	1299.67	3.00	1.00	0.00	0.00
ENSG00000128973.7	1757.04	258.00	277.00	179.00	235.00
ENSG00000128989.6	4921.95	4162.00	3823.00	4016.00	3725.00
ENSG00000129003.11	7289.91	1602.00	1566.00	1426.00	1308.00
ENSG00000129007.10	1075.18	80.00	69.00	63.00	74.00
ENSG00000129028.4	2399.00	25.00	28.00	29.00	40.00
ENSG00000129038.11	557.00	5.00	3.00	1.00	2.00
ENSG00000129048.6	1914.00	0.00	0.00	0.00	1.00
ENSG00000129055.8	1283.68	713.00	616.00	534.00	511.00
ENSG00000129071.5	1774.29	390.00	356.00	301.00	312.00
ENSG00000129083.8	3325.54	3569.67	3329.63	2167.00	1977.77
ENSG00000129084.13	1029.38	2385.92	2317.79	1852.00	1696.94
ENSG00000129103.13	1722.21	1164.00	1064.00	620.00	657.00
ENSG00000129116.13	2643.87	163.00	148.00	76.00	124.00
ENSG00000129128.8	4232.24	2132.00	1978.00	457.00	406.00
ENSG00000129158.6	915.52	478.00	429.00	408.00	390.20
ENSG00000129159.6	6766.00	2.00	1.00	0.00	2.00
ENSG00000129167.5	3403.54	32.00	39.00	46.00	44.30
ENSG00000129173.8	3369.69	244.00	266.00	376.00	338.00
ENSG00000129187.10	1463.91	1249.00	1120.00	647.00	688.00
ENSG00000129194.3	1179.67	0.00	0.00	0.00	0.00
ENSG00000129195.11	1267.47	230.00	216.00	255.00	337.00
ENSG00000129197.10	1519.40	655.00	688.00	690.00	616.00
ENSG00000129204.12	7862.00	2.01	3.00	1.00	3.00
ENSG00000129214.10	1109.78	25.00	21.00	30.00	31.00
ENSG00000129219.9	1857.35	436.00	445.00	453.00	519.00
ENSG00000129226.9	1326.46	562.46	589.45	433.84	501.84
ENSG00000129235.6	478.08	418.00	407.00	233.00	227.00
ENSG00000129244.4	3153.00	6.00	6.00	8.00	13.00
ENSG00000129245.7	1719.89	400.00	412.00	392.00	437.00
ENSG00000129250.7	4568.15	3096.00	3263.00	2533.00	2835.00
ENSG00000129255.10	894.44	818.00	835.00	670.00	777.00
ENSG00000129282.8	1636.73	103.00	90.00	64.00	69.00
ENSG00000129292.16	4614.17	597.00	538.00	423.00	426.00
ENSG00000129295.4	831.33	21.00	14.00	8.00	5.00
ENSG00000129315.5	6091.90	893.00	914.00	830.00	733.00
ENSG00000129317.10	3539.57	413.00	403.00	289.00	253.00
ENSG00000129347.15	2363.89	321.00	397.00	395.00	363.00
ENSG00000129351.13	2933.16	6039.00	6074.00	6960.00	7580.00
ENSG00000129353.10	2609.50	335.00	308.00	178.00	245.00
ENSG00000129354.7	952.30	211.00	164.00	252.00	265.00
ENSG00000129355.6	1114.49	74.00	64.00	90.00	107.00
ENSG00000129422.9	3757.96	2727.00	2801.00	1875.00	1711.00
ENSG00000129437.5	1096.50	0.00	0.00	0.00	0.00
ENSG00000129460.11	1120.78	1277.00	1211.00	1314.00	1258.00
ENSG00000129467.9	3993.90	2.00	2.00	1.00	3.00
ENSG00000129472.8	2308.36	1178.00	1083.00	915.00	828.00
ENSG00000129473.5	3404.55	1852.65	1885.03	1252.90	1277.06
ENSG00000129474.11	2737.40	2249.00	2360.00	3733.00	3640.00
ENSG00000129480.8	2039.04	680.63	565.34	383.83	367.26
ENSG00000129484.9	1686.67	1126.00	1072.00	607.00	621.00
ENSG00000129493.10	4704.10	1800.85	1633.20	778.77	749.12
ENSG00000129514.4	2632.29	966.00	902.00	1462.00	1375.00
ENSG00000129515.14	1985.63	2955.00	2805.00	2652.00	2358.00
ENSG00000129518.4	1308.93	1133.00	1121.00	1085.00	1031.00
ENSG00000129521.9	1732.24	533.00	461.00	226.00	231.00
ENSG00000129534.9	2914.73	803.00	741.00	779.00	623.00
ENSG00000129535.8	1692.65	25.00	17.00	30.00	20.00
ENSG00000129538.9	769.00	1.00	2.00	0.00	2.00
ENSG00000129559.8	714.81	3699.77	3435.23	2821.20	3069.56
ENSG00000129562.6	729.37	3074.00	2615.00	2128.00	2247.00
ENSG00000129566.8	3085.58	832.00	852.00	370.00	342.00
ENSG00000129595.8	4707.00	0.00	0.00	3.00	3.00
ENSG00000129596.4	1860.00	40.00	31.00	34.00	32.00
ENSG00000129625.8	2485.02	1034.00	1007.00	627.00	709.00
ENSG00000129636.8	1769.53	2516.00	2398.00	1822.00	1672.00
ENSG00000129646.9	3761.91	83.00	93.00	298.00	333.00
ENSG00000129654.7	2641.00	25.00	41.00	28.00	30.00
ENSG00000129657.10	4060.21	1996.18	1946.29	1437.93	1641.61
ENSG00000129667.8	2465.92	288.00	296.00	146.00	218.00
ENSG00000129673.5	1048.00	2.00	0.00	0.00	0.00
ENSG00000129675.11	2654.00	1.00	0.00	1.00	1.00
ENSG00000129682.9	1939.00	3.00	6.00	3.00	2.00
ENSG00000129691.11	2186.70	868.00	867.00	851.00	747.00
ENSG00000129696.8	2239.98	142.00	139.00	141.00	153.00
ENSG00000129749.3	1362.80	2.00	1.00	1.00	7.00
ENSG00000129810.10	1936.46	238.00	210.00	198.00	188.00
ENSG00000129824.11	926.52	4518.00	4281.00	4248.00	4418.00
ENSG00000129910.3	2847.00	13.00	17.00	8.00	7.00
ENSG00000129911.4	2888.00	159.00	153.00	132.00	166.00
ENSG00000129925.6	1372.22	713.00	674.00	431.00	575.00
ENSG00000129932.3	1859.89	28.00	43.00	49.00	34.00
ENSG00000129933.16	2817.45	725.00	771.00	829.00	980.00
ENSG00000129946.6	1713.03	101.00	118.00	149.00	194.00
ENSG00000129951.14	2288.00	5.00	7.00	2.00	3.00
ENSG00000129965.9	998.25	0.00	1.00	0.00	0.00
ENSG00000129968.11	4422.70	135.00	163.00	157.68	251.39
ENSG00000129988.5	1961.00	8.00	13.00	1.00	5.00
ENSG00000129990.10	3619.00	4.00	5.00	1.00	1.00
ENSG00000129991.8	672.50	27.00	39.00	32.00	26.00
ENSG00000129993.10	1815.00	3.00	3.00	2.00	1.00
ENSG00000130005.7	1053.29	393.00	385.00	493.00	604.00
ENSG00000130021.9	2140.00	417.00	439.00	350.00	347.00
ENSG00000130023.11	1464.10	97.00	93.00	100.00	78.00
ENSG00000130024.10	2422.05	4073.00	3714.00	3916.00	3443.00
ENSG00000130035.2	1014.00	0.00	2.00	0.00	0.00
ENSG00000130038.5	1202.02	7.00	3.00	5.00	3.00
ENSG00000130045.11	1457.00	0.00	0.00	0.00	1.00
ENSG00000130052.9	4820.00	1.00	3.00	0.00	5.00
ENSG00000130054.4	4013.00	177.00	150.00	91.00	115.00
ENSG00000130055.9	2067.00	2.00	3.00	0.00	2.00
ENSG00000130066.12	1014.82	8580.00	8165.00	1654.00	1761.00
ENSG00000130119.11	2207.40	276.00	214.00	111.00	133.00
ENSG00000130147.11	4789.99	3049.00	2902.00	2716.00	2914.00
ENSG00000130150.7	3932.77	276.00	267.00	310.00	262.00
ENSG00000130158.9	3096.76	727.00	751.00	475.00	584.00
ENSG00000130159.9	1256.46	258.00	233.00	224.00	258.00
ENSG00000130164.7	4353.86	2568.00	2547.00	1830.00	2207.00
ENSG00000130165.6	993.82	375.00	354.00	351.00	361.00
ENSG00000130173.9	750.37	185.00	226.00	78.00	87.00
ENSG00000130175.5	1785.08	2459.00	2545.00	3099.00	3685.00
ENSG00000130176.3	1633.00	24.00	37.00	12.00	38.00
ENSG00000130177.10	1770.39	742.00	672.00	545.00	461.00
ENSG00000130182.3	1289.70	1.00	1.00	0.00	0.00
ENSG00000130193.7	1421.35	257.00	303.00	333.00	432.00
ENSG00000130201.3	1706.00	0.00	1.00	0.00	1.00
ENSG00000130202.5	1979.95	1379.00	1480.00	954.00	1176.00
ENSG00000130203.5	1018.17	3505.00	3991.00	4758.00	5371.00
ENSG00000130204.8	1734.65	966.00	1041.00	847.00	956.00
ENSG00000130208.5	444.73	1989.00	1978.00	1749.00	1891.00
ENSG00000130222.6	912.33	0.00	0.00	0.00	0.00
ENSG00000130226.12	1817.67	0.00	0.00	0.00	0.00
ENSG00000130227.12	3816.21	2109.00	2091.00	1379.00	1342.00
ENSG00000130234.6	1479.71	21.00	14.00	34.00	33.00
ENSG00000130244.8	1504.18	46.00	57.00	49.00	70.00
ENSG00000130254.7	1489.52	662.81	652.95	652.54	589.22
ENSG00000130255.8	618.33	1060.00	1156.00	1670.00	2022.00
ENSG00000130270.12	1918.77	224.00	224.00	80.00	87.00
ENSG00000130283.7	2510.00	2.21	0.00	0.00	10.03
ENSG00000130287.9	2488.20	1.00	1.00	0.00	0.00
ENSG00000130294.10	4800.07	2.00	4.00	0.00	5.00
ENSG00000130299.12	2008.70	286.00	323.00	355.00	418.00
ENSG00000130300.4	1451.87	0.00	0.00	2.00	3.00
ENSG00000130303.8	1019.00	572.00	620.00	515.00	640.00
ENSG00000130304.12	3503.24	198.00	226.00	137.00	197.00
ENSG00000130305.12	1751.86	146.12	152.98	137.53	184.51
ENSG00000130307.7	2636.05	18.00	18.00	12.00	10.62
ENSG00000130309.6	3331.56	2329.00	2286.00	2376.00	2830.00
ENSG00000130311.6	1210.76	286.00	330.00	287.00	394.00
ENSG00000130312.2	628.58	250.00	202.00	146.00	171.00
ENSG00000130313.2	1020.64	199.00	199.00	193.00	231.00
ENSG00000130332.10	534.82	261.00	269.00	201.00	233.00
ENSG00000130338.8	11070.27	873.00	904.00	999.00	1022.00
ENSG00000130340.10	4198.00	1310.00	1347.00	984.00	1017.00
ENSG00000130347.8	1724.35	169.00	137.00	95.00	91.00
ENSG00000130348.7	3186.08	370.00	392.00	351.00	325.00
ENSG00000130349.5	957.34	92.00	110.00	80.00	67.00
ENSG00000130363.7	4848.23	199.00	173.00	176.00	180.00
ENSG00000130382.7	1931.00	239.00	262.00	258.00	296.00
ENSG00000130383.6	2053.00	0.00	0.00	2.83	0.00
ENSG00000130396.16	3466.05	6266.00	6204.00	5821.00	5285.00
ENSG00000130402.7	2554.06	4285.00	4311.00	5608.00	7250.00
ENSG00000130413.11	1984.52	82.00	79.00	81.00	78.00
ENSG00000130414.7	1778.55	2147.00	2008.00	1740.00	1820.00
ENSG00000130427.2	1330.00	171.00	163.00	115.00	125.00
ENSG00000130429.8	1046.27	388.83	379.00	254.59	372.88
ENSG00000130449.5	5501.00	129.00	102.00	119.00	115.00
ENSG00000130475.10	1437.86	82.00	99.00	40.00	45.00
ENSG00000130477.10	6402.53	22.00	17.00	22.00	13.00
ENSG00000130479.6	742.85	59.00	79.00	70.00	108.00
ENSG00000130487.4	2990.00	0.00	0.00	2.00	2.00
ENSG00000130489.8	996.46	52.00	58.00	48.00	79.00
ENSG00000130508.6	2643.00	1.00	0.00	0.00	1.00
ENSG00000130511.11	656.34	93.00	96.00	94.00	142.00
ENSG00000130513.6	1028.01	1403.00	1420.00	1147.00	1791.00
ENSG00000130517.9	3665.62	1637.00	1684.00	1449.00	1475.00
ENSG00000130518.12	3976.19	4.00	10.00	12.00	16.00
ENSG00000130520.6	979.03	557.00	534.00	446.00	474.00
ENSG00000130522.4	1870.00	757.00	610.00	854.00	1157.00
ENSG00000130528.7	1953.09	456.00	462.00	280.00	316.00
ENSG00000130529.11	1693.13	91.00	94.00	38.00	51.00
ENSG00000130540.9	1637.00	0.00	0.00	0.00	0.00
ENSG00000130544.7	3330.59	61.24	69.63	45.42	62.27
ENSG00000130545.11	1039.29	46.00	47.00	63.00	86.00
ENSG00000130558.14	1363.08	0.00	0.00	0.00	0.00
ENSG00000130559.14	6302.60	559.00	572.00	603.00	662.00
ENSG00000130560.4	1336.32	250.00	259.00	199.00	219.00
ENSG00000130584.6	5185.00	156.00	146.00	113.00	137.00
ENSG00000130589.12	2183.33	193.00	230.00	160.00	226.00
ENSG00000130590.9	1859.13	159.00	164.00	107.00	150.00
ENSG00000130592.9	1686.15	73.15	67.29	18.00	24.05
ENSG00000130595.12	955.94	0.00	0.00	0.00	0.00
ENSG00000130598.11	743.00	78.00	88.00	23.00	30.00
ENSG00000130600.11	974.90	9.00	16.00	16.00	16.00
ENSG00000130612.10	1690.50	1.00	0.00	0.00	0.00
ENSG00000130635.11	1946.43	1.00	6.00	1.00	0.00
ENSG00000130638.11	1456.52	1451.00	1360.00	797.00	765.00
ENSG00000130640.9	2741.79	522.00	588.00	555.86	624.00
ENSG00000130643.4	711.83	1.00	1.00	0.00	0.00
ENSG00000130649.5	1772.36	9.00	10.00	10.00	11.00
ENSG00000130653.11	3827.97	63.00	61.00	108.00	146.00
ENSG00000130656.4	755.00	0.00	0.00	0.00	0.00
ENSG00000130669.13	2343.44	277.00	249.00	289.00	381.00
ENSG00000130675.10	1740.04	31.00	28.00	39.00	50.00
ENSG00000130684.9	3309.92	714.00	751.00	812.00	735.00
ENSG00000130695.9	2921.44	636.00	602.00	575.00	579.00
ENSG00000130699.12	3457.80	665.00	692.00	754.00	745.00
ENSG00000130700.6	2595.00	2.00	2.00	2.00	1.00
ENSG00000130701.3	2793.00	4.00	10.00	6.00	8.00
ENSG00000130702.9	3262.15	2212.00	2200.00	3022.00	4590.00
ENSG00000130703.11	3608.23	1016.00	1055.00	590.00	566.00
ENSG00000130706.8	1256.83	539.00	547.00	595.00	907.00
ENSG00000130707.13	1413.17	439.00	427.00	637.00	720.00
ENSG00000130711.3	2476.00	3.00	5.00	8.00	6.00
ENSG00000130713.11	1612.92	445.00	466.00	473.00	475.00
ENSG00000130714.11	2035.59	313.00	334.00	330.00	345.00
ENSG00000130717.8	1785.20	159.00	148.00	177.00	186.00
ENSG00000130720.8	2440.00	1.00	6.00	1.00	3.00
ENSG00000130723.13	5895.40	3944.00	3981.00	2862.00	3233.00
ENSG00000130724.4	872.53	463.00	452.00	353.00	382.00
ENSG00000130725.3	988.23	389.00	419.00	369.00	410.99
ENSG00000130726.7	878.72	2105.00	2087.00	2179.00	2774.00
ENSG00000130731.11	749.85	188.00	165.00	169.00	241.00
ENSG00000130733.6	1110.28	141.00	165.00	88.00	120.00
ENSG00000130734.5	1312.84	125.00	119.00	104.00	98.00
ENSG00000130741.6	2742.52	3303.54	3351.09	3229.56	3049.36
ENSG00000130748.6	663.00	11.00	9.00	6.00	5.00
ENSG00000130749.5	3162.78	336.00	366.00	397.00	531.00
ENSG00000130751.5	1007.99	16.00	15.00	4.00	7.00
ENSG00000130755.8	758.00	18.00	18.00	6.00	5.00
ENSG00000130758.3	1765.87	53.00	72.00	58.00	84.00
ENSG00000130762.10	1861.42	322.00	317.00	243.00	375.00
ENSG00000130764.5	2114.48	453.00	463.00	425.00	457.00
ENSG00000130766.4	3453.00	256.00	266.00	355.00	396.00
ENSG00000130768.10	1548.00	13.00	34.00	8.00	9.00
ENSG00000130770.13	1080.54	759.00	681.00	538.00	602.00
ENSG00000130772.9	1337.64	190.00	159.00	163.00	175.00
ENSG00000130775.11	2074.09	21.00	28.00	12.00	13.00
ENSG00000130779.15	4511.35	1004.00	962.00	466.00	450.00
ENSG00000130783.9	2479.00	5.00	3.00	2.00	3.00
ENSG00000130787.9	2757.37	290.00	294.00	300.00	388.00
ENSG00000130803.10	2925.43	582.00	632.00	590.00	566.00
ENSG00000130810.15	1065.75	333.00	310.94	223.00	324.00
ENSG00000130811.6	1061.94	1171.00	1213.00	1225.00	1282.00
ENSG00000130812.6	1781.00	13.00	7.00	10.00	13.00
ENSG00000130813.13	1771.94	350.00	323.00	249.00	298.00
ENSG00000130816.10	2924.71	1535.00	1545.00	1132.00	1386.00
ENSG00000130818.6	2326.81	151.00	120.00	111.00	86.00
ENSG00000130821.11	2390.08	4630.00	4807.00	3166.00	3254.00
ENSG00000130822.11	1351.30	108.00	96.00	116.00	140.00
ENSG00000130826.11	2239.07	1795.00	1644.00	1517.00	1563.00
ENSG00000130827.5	1980.39	458.00	469.00	454.00	521.00
ENSG00000130829.13	2274.73	2540.00	2539.00	2838.00	3528.00
ENSG00000130830.10	1825.74	153.00	176.00	234.00	259.00
ENSG00000130844.12	2731.56	373.00	406.00	654.00	505.00
ENSG00000130856.11	7648.36	203.00	217.00	216.00	195.00
ENSG00000130876.7	1946.00	2.00	7.00	13.00	4.00
ENSG00000130881.9	1383.68	98.00	120.00	198.00	266.02
ENSG00000130921.3	1223.32	132.00	173.00	153.00	151.00
ENSG00000130935.5	2662.62	1507.00	1381.00	1179.00	1024.00
ENSG00000130939.14	3491.25	1568.00	1516.00	1492.00	1460.00
ENSG00000130940.10	4563.21	61.00	46.00	51.00	63.00
ENSG00000130943.5	7660.00	1.00	0.00	0.00	1.00
ENSG00000130948.5	994.02	1.00	1.00	2.00	4.00
ENSG00000130950.9	2561.00	0.50	1.50	0.00	2.00
ENSG00000130956.9	2628.72	679.00	692.00	527.00	499.00
ENSG00000130958.7	1379.37	1265.00	1231.00	1026.00	924.00
ENSG00000130962.13	3580.53	465.00	423.00	225.00	209.67
ENSG00000130985.12	3228.20	3637.00	3627.00	3208.00	3585.00
ENSG00000130988.8	1396.44	436.00	456.00	560.00	491.00
ENSG00000130997.12	1906.34	11.00	3.00	5.00	13.41
ENSG00000131002.7	2768.22	1931.00	1956.00	1759.00	1567.00
ENSG00000131013.3	2212.80	882.00	889.00	801.00	744.00
ENSG00000131016.12	6961.45	3787.00	3676.00	1353.00	1313.00
ENSG00000131018.18	4289.58	490.00	515.00	684.00	662.00
ENSG00000131019.6	735.00	7.25	7.00	4.00	6.00
ENSG00000131023.8	6760.72	960.00	862.00	1040.00	909.00
ENSG00000131037.10	937.49	42.00	43.00	27.00	25.00
ENSG00000131043.7	2454.10	819.00	762.00	696.00	734.00
ENSG00000131044.12	1809.33	2.00	0.00	2.00	0.00
ENSG00000131051.16	1640.82	11686.00	11113.00	10426.00	9986.00
ENSG00000131055.4	693.00	2.00	1.00	0.00	2.00
ENSG00000131061.9	3502.75	54.00	61.00	40.00	50.00
ENSG00000131067.12	2322.32	457.00	481.00	413.00	461.00
ENSG00000131069.15	2125.33	1855.00	1828.00	2085.00	2302.00
ENSG00000131080.10	2999.42	403.00	406.00	444.00	449.00
ENSG00000131089.9	2807.91	22.00	7.00	28.00	24.00
ENSG00000131094.3	1295.00	1.00	1.00	1.00	3.00
ENSG00000131095.7	571.00	0.00	4.00	2.00	1.00
ENSG00000131096.6	816.50	0.00	0.00	0.00	0.00
ENSG00000131100.8	1332.74	1199.00	1127.00	835.00	868.00
ENSG00000131115.11	3017.45	193.00	153.00	159.00	134.00
ENSG00000131116.7	1277.17	83.00	71.00	66.00	102.00
ENSG00000131142.9	745.50	0.00	0.00	1.00	0.00
ENSG00000131143.4	725.07	2685.00	2625.00	2488.00	2619.00
ENSG00000131148.4	1508.56	459.00	414.00	365.00	390.00
ENSG00000131149.13	5563.54	1678.00	1835.00	1407.00	1430.00
ENSG00000131152.4	953.00	0.00	0.00	6.08	2.11
ENSG00000131153.4	2673.00	562.00	558.00	539.00	664.00
ENSG00000131165.10	2101.31	1010.00	1024.00	851.00	1001.00
ENSG00000131171.8	1923.00	319.00	315.00	286.00	249.00
ENSG00000131174.4	948.13	1151.00	920.00	611.00	689.00
ENSG00000131183.6	532.00	0.00	0.00	1.00	1.00
ENSG00000131187.5	1957.33	13.00	17.00	11.00	20.00
ENSG00000131188.7	1285.00	3.00	3.00	3.00	5.00
ENSG00000131196.13	2249.50	0.00	0.00	0.00	0.00
ENSG00000131233.8	1901.00	0.60	3.00	1.00	1.00
ENSG00000131236.12	2157.41	3704.00	3407.00	2185.00	2334.00
ENSG00000131238.12	1894.65	4114.00	3876.00	3330.00	3473.00
ENSG00000131242.11	3271.84	1439.00	1483.00	1960.00	2053.00
ENSG00000131263.8	8317.00	923.00	889.98	779.00	702.00
ENSG00000131269.11	2197.82	438.00	474.00	404.00	344.00
ENSG00000131323.10	3572.96	265.00	273.00	195.00	162.00
ENSG00000131351.10	1479.28	112.00	116.00	107.00	137.00
ENSG00000131368.3	2182.18	879.00	897.00	903.00	912.00
ENSG00000131370.11	1222.42	4.00	7.00	0.00	4.00
ENSG00000131373.10	1904.82	260.00	244.00	246.00	244.00
ENSG00000131374.10	5478.51	1518.00	1494.00	1341.00	1158.00
ENSG00000131375.5	2748.64	953.00	850.00	738.00	618.00
ENSG00000131378.9	1058.42	0.00	2.00	1.00	0.00
ENSG00000131379.5	1431.11	0.00	0.00	2.00	2.00
ENSG00000131381.8	6572.81	524.00	440.00	409.00	350.00
ENSG00000131386.13	1802.00	1.00	0.00	1.00	0.00
ENSG00000131389.12	6145.38	1353.00	1487.00	1074.00	1194.00
ENSG00000131398.9	3301.41	151.00	137.00	71.00	86.00
ENSG00000131400.3	1241.00	0.00	0.00	1.00	0.00
ENSG00000131408.9	1686.00	83.00	88.00	51.00	77.00
ENSG00000131435.8	610.44	24.00	22.00	12.00	27.00
ENSG00000131437.11	3729.33	328.00	321.00	309.00	250.00
ENSG00000131446.11	2289.44	1119.00	1123.00	924.00	929.00
ENSG00000131459.8	3093.00	3.00	3.00	2.00	2.00
ENSG00000131462.3	1591.45	2145.09	2432.00	2039.81	2481.55
ENSG00000131467.6	2322.07	2619.00	2371.00	1848.00	2052.00
ENSG00000131469.8	492.75	9469.00	8543.00	9608.00	10964.00
ENSG00000131470.10	1211.75	204.00	188.00	247.00	296.00
