symbol	length	Control_D0	Control_D1	AGO1_D0	AGO1_D1
ENSG00000133136.3	502.00	0.00	2.00	0.00	0.00
ENSG00000133138.15	5112.95	402.00	380.00	423.00	499.00
ENSG00000133142.13	1157.18	721.00	630.00	866.00	1002.00
ENSG00000133169.5	864.00	330.71	315.00	429.00	439.00
ENSG00000133193.8	2823.22	538.00	468.00	735.00	787.00
ENSG00000133195.7	2173.52	459.00	356.00	552.00	583.00
ENSG00000133216.12	1864.00	2.00	0.00	0.00	2.00
ENSG00000133226.12	2355.09	1830.95	1593.93	1489.87	1648.95
ENSG00000133243.4	2526.79	580.00	756.00	456.00	340.00
ENSG00000133246.7	1407.00	0.00	3.00	3.00	1.00
ENSG00000133247.9	1246.46	87.48	91.40	68.54	44.61
ENSG00000133250.9	713.28	25.00	28.00	23.00	6.00
ENSG00000133256.8	1528.50	3.00	5.00	9.00	13.00
ENSG00000133265.6	986.60	209.00	190.00	154.00	117.00
ENSG00000133275.11	1888.92	444.00	498.00	381.00	293.00
ENSG00000133302.8	3256.78	156.00	121.00	84.00	115.00
ENSG00000133313.10	1634.21	1171.00	1028.00	1224.00	1227.00
ENSG00000133315.6	516.50	110.00	124.00	123.00	102.00
ENSG00000133316.11	1093.27	435.66	459.78	468.00	419.11
ENSG00000133318.9	2532.59	1553.99	1259.00	1673.99	1940.00
ENSG00000133321.6	749.00	6.00	3.00	3.00	10.00
ENSG00000133328.3	742.00	1.00	0.00	0.00	0.00
ENSG00000133392.12	3974.36	0.00	1.00	0.00	0.00
ENSG00000133393.8	1898.18	889.00	733.00	1014.00	1271.00
ENSG00000133398.3	1115.94	146.00	132.00	161.00	137.00
ENSG00000133401.11	2934.38	1.00	0.00	0.00	0.00
ENSG00000133422.8	3315.93	1096.00	918.00	1065.00	1018.00
ENSG00000133424.16	4199.49	421.00	339.00	481.00	486.00
ENSG00000133433.6	819.00	0.00	0.00	0.00	1.77
ENSG00000133454.11	4201.69	6.00	2.00	13.00	13.00
ENSG00000133460.15	1588.58	177.00	151.00	194.00	196.00
ENSG00000133466.9	3158.00	146.00	147.00	210.00	176.00
ENSG00000133475.12	2083.33	0.00	0.00	1.76	0.00
ENSG00000133488.10	1833.11	9.00	6.00	6.00	15.00
ENSG00000133519.8	2309.00	2.00	0.00	0.00	2.00
ENSG00000133597.5	1540.97	187.00	171.00	173.00	174.00
ENSG00000133606.6	2088.69	1017.00	870.00	1077.00	1290.00
ENSG00000133612.14	1384.52	507.00	549.01	550.00	439.00
ENSG00000133619.13	2285.59	80.00	90.00	70.00	65.00
ENSG00000133624.9	2646.59	193.00	135.00	152.00	151.64
ENSG00000133627.13	1385.82	135.18	107.26	88.17	91.99
ENSG00000133636.6	1052.00	0.00	0.00	0.00	0.00
ENSG00000133639.3	2448.00	503.00	422.00	680.00	879.00
ENSG00000133640.14	4464.00	1.00	0.00	1.00	2.00
ENSG00000133641.13	1425.85	155.00	114.00	139.00	212.00
ENSG00000133657.10	3545.80	2062.00	1741.00	2999.00	3765.00
ENSG00000133665.8	1501.00	24.00	27.00	64.00	71.00
ENSG00000133678.9	1476.72	306.00	273.00	261.00	327.00
ENSG00000133687.11	5798.85	51.00	27.00	61.00	74.00
ENSG00000133703.7	5085.76	471.00	347.00	635.00	759.00
ENSG00000133704.5	4734.42	968.00	809.00	943.00	1171.00
ENSG00000133706.13	3441.30	1652.00	1380.00	1533.00	1772.00
ENSG00000133710.11	2674.00	2.00	0.00	3.00	1.00
ENSG00000133731.5	1796.98	373.00	273.00	402.00	485.00
ENSG00000133739.11	3578.66	171.00	143.00	102.00	161.00
ENSG00000133740.6	1739.27	299.00	226.00	364.00	469.00
ENSG00000133773.7	924.48	326.00	285.00	302.00	429.00
ENSG00000133789.10	4607.74	508.00	389.00	565.00	620.00
ENSG00000133794.13	2048.90	78.00	90.00	127.00	181.00
ENSG00000133800.4	1844.77	7.00	5.00	16.00	16.00
ENSG00000133805.11	2616.08	48.00	49.00	104.00	111.00
ENSG00000133808.4	3044.00	0.00	0.00	2.00	6.00
ENSG00000133812.10	5326.53	1071.00	963.00	1314.00	1643.00
ENSG00000133816.9	2439.17	46.00	34.00	102.00	112.00
ENSG00000133818.8	1717.17	404.00	344.83	509.00	656.82
ENSG00000133835.10	2030.02	2934.00	2340.00	2757.00	3187.00
ENSG00000133858.11	3568.34	976.00	811.00	938.00	1023.00
ENSG00000133863.2	7458.24	84.00	52.00	34.00	39.00
ENSG00000133872.9	1642.99	2463.00	1958.00	3130.00	3818.00
ENSG00000133874.1	1868.00	126.00	141.00	149.00	149.00
ENSG00000133878.4	1829.00	0.00	0.00	0.00	1.00
ENSG00000133884.5	2426.39	783.00	627.00	761.00	730.00
ENSG00000133895.10	2489.27	593.00	519.00	504.00	434.00
ENSG00000133935.6	2633.00	1026.00	840.00	1109.00	1352.00
ENSG00000133943.16	1277.21	363.00	312.00	353.00	359.00
ENSG00000133958.9	8400.00	0.00	1.00	0.00	1.00
ENSG00000133961.15	2832.22	1056.00	899.00	1323.00	1434.00
ENSG00000133983.10	1206.77	372.68	256.36	381.00	452.32
ENSG00000133985.2	5217.00	38.00	39.00	126.00	108.00
ENSG00000133997.7	1351.42	475.00	363.00	481.00	575.63
ENSG00000134001.8	998.16	984.00	818.00	1068.00	1266.00
ENSG00000134007.3	2795.00	1.00	1.00	0.00	2.00
ENSG00000134013.11	3431.86	81.00	76.00	180.00	153.00
ENSG00000134014.12	1990.35	772.00	627.00	699.00	905.00
ENSG00000134020.6	890.00	2.00	1.00	0.00	2.00
ENSG00000134030.9	4379.39	416.00	422.00	463.00	451.00
ENSG00000134046.7	1886.33	508.00	419.00	357.00	401.00
ENSG00000134049.3	1481.00	783.00	652.00	1000.00	1174.00
ENSG00000134056.7	1284.76	372.00	301.00	389.00	473.90
ENSG00000134057.10	1449.78	1397.00	1009.00	495.00	584.00
ENSG00000134058.6	1222.09	500.00	388.00	554.00	591.00
ENSG00000134070.4	3483.00	269.00	275.00	398.00	404.00
ENSG00000134072.6	1404.71	276.00	247.00	222.00	213.00
ENSG00000134077.11	1609.68	569.00	499.00	622.00	748.00
ENSG00000134086.7	2413.26	1029.00	885.00	1002.00	1136.00
ENSG00000134107.4	3427.03	3668.00	3554.00	4705.00	5173.00
ENSG00000134108.8	2978.39	706.00	594.00	745.00	961.00
ENSG00000134109.6	5705.79	1214.00	1008.00	1775.00	2104.00
ENSG00000134138.15	2027.04	202.00	186.00	249.00	259.00
ENSG00000134146.7	1046.12	88.00	77.00	99.00	130.00
ENSG00000134152.6	1340.50	247.00	180.98	287.00	329.00
ENSG00000134153.5	1144.19	825.00	702.94	1274.00	1414.00
ENSG00000134183.7	1339.00	0.00	1.00	1.00	2.00
ENSG00000134184.8	826.00	0.00	0.00	1.53	0.00
ENSG00000134186.7	2944.42	1011.00	830.00	1080.00	1208.00
ENSG00000134193.10	1453.25	0.00	0.00	0.00	0.00
ENSG00000134201.6	2171.67	0.00	0.00	0.00	0.00
ENSG00000134202.6	1298.34	770.00	694.00	977.00	1092.00
ENSG00000134215.11	2363.21	497.00	379.00	409.00	433.00
ENSG00000134222.12	1615.20	394.00	312.00	242.00	239.00
ENSG00000134240.7	2256.07	41.00	37.00	94.00	101.00
ENSG00000134242.11	2042.09	0.00	0.00	0.00	0.00
ENSG00000134243.7	5331.13	4965.00	4206.00	6170.00	7161.00
ENSG00000134245.13	5271.07	47.00	23.00	57.00	64.00
ENSG00000134247.9	3780.06	197.00	178.00	222.00	268.00
ENSG00000134248.9	650.45	741.00	664.00	778.00	884.00
ENSG00000134250.13	11070.80	1144.82	959.11	1257.62	1367.71
ENSG00000134253.5	3155.46	100.00	68.00	72.00	87.00
ENSG00000134255.9	2209.02	532.00	477.00	773.00	895.00
ENSG00000134256.8	3324.00	1.00	1.00	2.00	3.00
ENSG00000134262.8	2397.00	130.00	152.00	154.00	190.00
ENSG00000134265.8	3109.09	579.00	437.00	769.00	899.00
ENSG00000134278.10	4420.89	374.00	302.00	491.00	539.00
ENSG00000134283.13	1683.10	832.00	676.00	907.00	1036.00
ENSG00000134285.6	1326.45	217.00	184.00	283.00	276.00
ENSG00000134287.5	2880.76	1913.85	1563.10	2174.44	2317.00
ENSG00000134291.7	1208.25	1006.00	908.00	788.00	767.00
ENSG00000134294.9	3995.06	24555.00	20646.00	33701.00	43861.19
ENSG00000134297.6	1081.78	26.19	30.77	52.19	68.27
ENSG00000134308.9	2040.47	4403.00	3557.00	3659.00	4592.00
ENSG00000134313.10	6171.76	1515.00	1265.00	1805.00	2229.00
ENSG00000134317.13	3417.03	308.00	248.00	372.00	439.00
ENSG00000134318.9	7654.61	6680.00	5251.00	9966.00	12451.00
ENSG00000134321.7	2413.18	1.00	0.00	0.00	2.00
ENSG00000134323.10	2602.00	0.00	1.00	1.00	2.00
ENSG00000134324.7	4172.53	468.00	414.00	733.00	838.00
ENSG00000134326.7	2417.00	3.00	1.00	3.00	9.00
ENSG00000134330.14	960.82	216.00	172.00	217.00	272.00
ENSG00000134333.9	1276.77	48204.11	39798.87	47444.47	58255.82
ENSG00000134339.4	692.17	1.00	1.00	2.00	0.00
ENSG00000134343.8	6642.00	16.00	15.00	36.00	17.00
ENSG00000134352.15	6431.69	4632.00	3719.00	5800.00	7708.00
ENSG00000134363.7	2175.27	2046.00	1828.00	4496.00	5044.00
ENSG00000134369.11	8324.63	6.00	2.00	18.00	21.00
ENSG00000134371.9	4705.27	679.00	526.00	837.00	1091.00
ENSG00000134375.6	1543.00	683.00	577.00	878.00	988.00
ENSG00000134389.8	2819.50	1.00	0.00	0.00	0.00
ENSG00000134398.8	1974.09	50.00	54.00	90.00	87.00
ENSG00000134419.11	537.15	19247.93	16414.36	17777.45	20755.20
ENSG00000134440.7	2091.77	2715.00	2109.00	3197.00	3842.00
ENSG00000134444.9	3709.63	511.00	420.00	523.00	573.00
ENSG00000134452.15	2541.47	983.00	847.00	1083.00	1092.00
ENSG00000134453.11	1088.06	1083.00	935.00	787.00	874.00
ENSG00000134461.11	1890.37	100.83	111.39	93.46	92.44
ENSG00000134463.10	1079.60	0.00	0.00	0.00	0.00
ENSG00000134470.15	1323.02	0.00	0.00	5.00	7.00
ENSG00000134480.9	1168.50	418.00	318.00	392.00	455.00
ENSG00000134490.9	1711.92	99.00	82.00	94.00	99.00
ENSG00000134504.8	1650.75	80.00	74.00	114.00	117.00
ENSG00000134508.8	2863.52	458.00	371.00	347.00	374.00
ENSG00000134531.5	2756.00	2.00	7.00	5.00	8.00
ENSG00000134532.11	4616.98	559.00	451.00	620.00	694.00
ENSG00000134538.2	2229.00	1.00	0.00	0.00	0.00
ENSG00000134548.5	1683.00	1.00	1.00	0.00	2.00
ENSG00000134551.8	641.00	0.00	0.00	0.00	0.28
ENSG00000134569.5	4785.91	552.00	495.00	573.00	528.00
ENSG00000134571.6	4214.00	1.00	0.00	0.00	2.00
ENSG00000134574.7	1802.30	1155.00	983.00	801.00	781.00
ENSG00000134575.5	2118.49	280.00	238.00	278.00	270.00
ENSG00000134590.9	978.02	227.00	243.00	243.00	203.00
ENSG00000134594.4	1258.00	3.00	1.00	5.00	3.00
ENSG00000134597.9	1417.93	222.00	180.00	199.00	239.00
ENSG00000134602.11	2973.88	726.00	566.00	677.00	840.00
ENSG00000134612.7	1579.00	0.00	0.00	0.00	0.00
ENSG00000134627.7	2055.40	1.00	0.00	0.00	0.00
ENSG00000134644.11	4182.38	2987.00	2705.00	3153.00	3347.00
ENSG00000134668.8	2879.00	1.00	5.00	2.00	3.00
ENSG00000134684.6	2364.86	799.00	695.00	1744.00	1728.00
ENSG00000134686.12	2260.99	1539.00	1427.00	1727.00	1565.00
ENSG00000134690.6	2362.79	582.00	474.00	227.00	237.00
ENSG00000134697.8	1616.86	820.00	634.00	803.00	906.00
ENSG00000134698.10	5358.31	678.00	545.00	775.00	883.00
ENSG00000134709.6	4992.00	1100.00	888.00	1135.00	1452.00
ENSG00000134716.5	1773.63	96.00	80.00	148.00	171.00
ENSG00000134717.13	1418.14	1235.02	878.74	1404.94	1742.28
ENSG00000134744.9	2883.41	1664.97	1444.00	1738.00	2128.00
ENSG00000134748.12	2599.08	721.00	583.00	663.00	733.00
ENSG00000134755.10	4971.12	973.00	810.00	1432.00	1746.00
ENSG00000134758.9	2731.11	355.00	266.00	292.00	371.00
ENSG00000134759.9	2246.55	1322.00	1087.00	1517.00	1864.00
ENSG00000134760.5	5045.00	1.00	3.00	3.00	3.00
ENSG00000134762.12	6939.00	20.00	22.00	22.00	30.00
ENSG00000134765.5	4248.00	0.00	0.00	0.00	0.00
ENSG00000134769.17	3400.08	620.00	584.00	806.00	1025.00
ENSG00000134775.11	1720.00	0.00	0.00	1.00	1.00
ENSG00000134779.10	1275.39	956.00	742.00	760.00	856.00
ENSG00000134780.5	5757.00	106.00	108.00	128.00	114.00
ENSG00000134802.13	909.49	8.00	9.00	11.87	6.68
ENSG00000134809.4	669.35	193.00	153.00	111.00	116.00
ENSG00000134815.14	4037.84	202.00	199.00	191.00	176.00
ENSG00000134824.9	2006.24	3751.00	3438.00	4577.00	4620.00
ENSG00000134825.9	537.13	649.00	572.00	498.00	481.00
ENSG00000134827.3	1582.00	0.00	0.00	2.00	1.00
ENSG00000134830.3	2768.00	3.00	2.00	6.00	15.00
ENSG00000134851.8	1753.53	664.00	552.00	870.00	1028.00
ENSG00000134852.10	8023.61	534.00	446.00	604.00	676.00
ENSG00000134853.7	1423.57	1.00	0.00	0.00	4.00
ENSG00000134864.6	728.33	10.00	8.00	14.00	14.00
ENSG00000134871.13	6281.00	1.00	2.00	3.00	4.00
ENSG00000134874.13	3327.50	763.00	618.00	562.00	695.00
ENSG00000134882.11	1621.33	926.00	785.00	718.00	781.00
ENSG00000134884.9	1029.59	1117.00	1045.00	1070.00	1158.00
ENSG00000134897.9	2815.83	368.26	307.94	401.50	482.57
ENSG00000134899.13	2101.19	488.81	481.03	559.10	663.44
ENSG00000134900.7	2972.64	933.00	817.00	960.00	1220.00
ENSG00000134901.8	2060.42	415.00	337.00	261.00	276.00
ENSG00000134905.12	1425.17	376.00	372.00	328.00	361.00
ENSG00000134909.14	7037.48	612.00	514.00	791.00	860.00
ENSG00000134910.8	2144.37	5095.00	4346.00	5439.00	6388.00
ENSG00000134954.10	4962.35	68.00	54.00	105.00	136.00
ENSG00000134955.7	3169.02	159.64	138.67	534.64	457.11
ENSG00000134962.6	6082.00	2494.00	2051.00	2096.00	2528.00
ENSG00000134970.13	3508.34	2227.99	1764.96	2793.10	3728.46
ENSG00000134982.12	9402.94	571.00	388.00	560.00	723.00
ENSG00000134986.9	1795.36	1820.00	1513.00	1266.00	1567.00
ENSG00000134987.7	5785.81	821.00	711.00	863.00	1082.00
ENSG00000134996.11	1319.00	274.00	221.00	288.00	404.00
ENSG00000135002.7	2109.41	336.00	279.00	536.00	639.00
ENSG00000135018.9	3951.01	2210.00	1711.00	2108.00	2610.00
ENSG00000135040.11	2612.65	475.00	371.00	432.00	496.00
ENSG00000135045.6	2327.00	161.00	149.00	111.00	123.00
ENSG00000135046.9	1400.00	2.00	0.00	2.00	1.00
ENSG00000135047.10	1335.12	995.00	870.00	1328.00	1440.00
ENSG00000135048.9	4184.53	4839.97	3868.00	7653.00	8895.00
ENSG00000135049.11	3900.31	508.00	448.00	610.00	801.00
ENSG00000135052.12	2771.50	28.00	29.00	185.00	190.00
ENSG00000135063.13	1860.83	0.00	0.00	0.00	0.00
ENSG00000135069.9	2151.44	2496.00	1817.00	4095.00	4465.00
ENSG00000135070.9	1794.55	491.95	408.52	435.62	493.00
ENSG00000135074.11	6161.51	37.00	39.00	84.00	92.00
ENSG00000135077.4	2286.78	2.00	7.00	24.00	22.00
ENSG00000135083.10	3210.13	97.00	71.00	153.00	153.00
ENSG00000135090.9	4115.07	316.00	274.00	276.00	323.00
ENSG00000135093.8	3595.60	267.00	210.00	268.00	264.00
ENSG00000135097.2	1549.98	14.00	9.00	30.00	11.00
ENSG00000135100.13	2940.35	484.00	523.00	451.00	333.00
ENSG00000135108.10	4271.06	801.00	700.00	749.00	894.00
ENSG00000135111.10	3208.30	1483.00	1194.00	1519.00	1680.00
ENSG00000135114.8	2085.00	2.00	0.00	2.00	2.00
ENSG00000135116.5	2965.72	1.00	4.00	6.00	4.00
ENSG00000135119.10	2691.79	61.00	60.00	58.00	48.00
ENSG00000135124.10	1768.67	249.00	270.00	445.00	408.00
ENSG00000135127.7	2199.70	45.00	47.00	93.00	107.00
ENSG00000135148.7	2412.66	365.00	313.00	320.00	335.00
ENSG00000135164.14	2515.60	1016.00	909.00	1151.00	1392.00
ENSG00000135185.7	1046.72	201.00	127.00	188.00	214.00
ENSG00000135205.10	2463.32	139.00	98.00	177.00	178.00
ENSG00000135211.5	1023.00	215.00	156.00	150.00	200.00
ENSG00000135213.8	2317.89	1417.54	1371.36	1384.11	1459.85
ENSG00000135218.13	1642.45	146.00	99.00	113.00	116.00
ENSG00000135220.6	2959.13	2109.00	1668.00	1284.00	1691.00
ENSG00000135222.6	1066.00	0.00	0.00	1.00	0.00
ENSG00000135226.12	1679.00	1.00	1.00	1.00	0.00
ENSG00000135241.12	2504.71	332.00	247.00	481.00	615.00
ENSG00000135245.9	1116.68	231.83	221.87	264.79	322.87
ENSG00000135248.11	1139.62	0.00	0.00	0.00	0.00
ENSG00000135249.3	2628.62	241.00	225.00	260.00	312.00
ENSG00000135250.12	2833.36	470.00	354.00	545.00	635.00
ENSG00000135253.9	2501.26	10.00	11.00	12.00	11.00
ENSG00000135269.13	2716.78	432.00	363.00	498.00	610.00
ENSG00000135272.5	2427.46	0.00	3.00	5.00	7.00
ENSG00000135297.11	1951.69	410.00	302.00	429.00	477.00
ENSG00000135299.12	1467.53	9.00	10.00	13.00	12.00
ENSG00000135315.7	2953.09	145.00	118.00	114.00	154.00
ENSG00000135316.13	3314.69	2686.74	1967.72	2271.68	2790.96
ENSG00000135317.8	1685.30	1243.44	1016.58	1666.93	2053.75
ENSG00000135318.7	3362.54	847.00	674.00	3136.00	3732.00
ENSG00000135324.5	2153.00	9.00	10.00	12.00	7.00
ENSG00000135334.8	1245.20	505.00	386.00	494.00	543.00
ENSG00000135336.10	2247.48	602.00	408.00	394.00	468.00
ENSG00000135338.9	4541.49	107.00	74.00	123.00	147.02
ENSG00000135341.13	4158.78	956.00	790.00	925.00	1056.00
ENSG00000135362.9	2214.57	0.00	1.00	1.00	6.00
ENSG00000135363.7	1384.83	1.00	0.00	0.00	0.00
ENSG00000135365.11	3109.46	877.00	795.00	948.00	973.00
ENSG00000135372.4	3492.23	1273.00	1082.00	1136.00	1167.00
ENSG00000135373.8	3150.00	0.00	0.00	1.00	3.00
ENSG00000135374.5	1538.01	16.00	13.00	16.00	15.00
ENSG00000135378.3	5530.00	5.00	13.00	8.00	14.00
ENSG00000135387.15	3151.68	4284.00	3416.00	3589.00	4031.00
ENSG00000135390.13	673.39	1790.00	1512.00	1624.00	1465.00
ENSG00000135392.11	2879.18	496.85	403.00	500.66	505.00
ENSG00000135404.7	816.35	2020.00	1742.00	3603.00	3642.00
ENSG00000135406.9	1232.05	1.00	1.00	0.00	5.00
ENSG00000135407.6	2202.13	20.00	8.00	39.00	44.00
ENSG00000135409.6	1515.23	6.00	6.00	21.00	6.00
ENSG00000135414.5	3731.00	77.00	72.00	147.00	151.00
ENSG00000135423.8	2081.18	189.00	149.00	160.00	146.00
ENSG00000135424.11	1539.80	38.00	46.00	105.00	94.00
ENSG00000135436.4	2335.77	2.00	3.00	2.00	5.00
ENSG00000135437.5	775.88	32.62	27.73	27.20	27.05
ENSG00000135439.7	3167.51	17.00	19.00	42.00	36.57
ENSG00000135441.3	600.27	231.13	228.71	186.02	197.30
ENSG00000135446.12	1048.20	1410.00	1126.00	923.00	959.00
ENSG00000135447.12	1358.75	0.00	0.00	0.00	0.00
ENSG00000135451.8	1313.25	326.00	285.00	113.00	83.00
ENSG00000135452.5	1532.12	208.00	199.00	209.00	209.00
ENSG00000135454.9	4435.03	199.00	144.00	395.00	348.00
ENSG00000135457.5	2974.59	457.00	395.00	463.00	521.00
ENSG00000135469.9	1239.59	211.00	202.00	185.00	182.00
ENSG00000135472.4	1612.69	5.00	6.00	9.00	9.00
ENSG00000135473.10	2050.26	1254.00	1219.00	949.00	1021.00
ENSG00000135476.7	5023.40	520.00	438.00	193.00	202.00
ENSG00000135480.10	617.54	0.00	0.00	0.00	0.00
ENSG00000135482.2	1849.61	47.00	40.00	51.00	53.00
ENSG00000135486.13	1413.07	29482.75	24296.75	22152.55	25616.28
ENSG00000135502.12	1640.01	19.00	27.00	29.00	32.00
ENSG00000135503.8	3539.22	512.00	470.00	510.00	522.00
ENSG00000135506.11	2069.85	4461.00	3940.00	5284.00	5307.00
ENSG00000135517.6	2599.00	0.00	0.00	0.00	1.00
ENSG00000135519.6	3867.00	4.00	2.00	4.00	3.00
ENSG00000135521.8	1847.00	745.00	559.00	669.99	645.00
ENSG00000135525.14	3119.00	3.00	2.00	3.00	1.00
ENSG00000135535.10	2999.01	5120.00	4020.00	4640.00	6160.00
ENSG00000135537.12	3088.18	118.00	86.00	85.00	105.00
ENSG00000135540.7	5643.46	1058.00	847.00	1134.00	1153.00
ENSG00000135541.16	2453.16	240.00	203.00	274.00	316.00
ENSG00000135547.4	2569.50	0.00	0.00	1.00	0.00
ENSG00000135549.10	1109.87	22.00	16.00	22.00	24.00
ENSG00000135587.4	1117.38	54.00	49.00	67.00	66.00
ENSG00000135596.13	2201.83	467.00	456.00	853.00	671.36
ENSG00000135597.14	2397.67	680.00	608.00	643.00	664.00
ENSG00000135604.9	1926.00	0.00	2.00	0.00	0.00
ENSG00000135605.8	2342.20	10.00	7.00	16.00	22.00
ENSG00000135617.3	1083.00	91.00	77.00	55.00	61.00
ENSG00000135622.8	3654.67	386.00	343.00	307.00	352.00
ENSG00000135624.11	1364.88	7143.00	5837.00	6717.00	7207.00
ENSG00000135625.6	2372.00	0.00	0.00	0.00	0.00
ENSG00000135631.11	2438.81	649.00	663.00	782.00	767.00
ENSG00000135632.7	2071.83	1177.00	952.00	1025.00	988.00
ENSG00000135636.9	4243.71	54.00	72.00	60.00	52.00
ENSG00000135637.9	1180.56	136.00	121.00	124.00	104.00
ENSG00000135638.9	959.00	6.00	5.00	3.00	2.00
ENSG00000135643.4	4731.00	31.00	29.00	72.00	72.00
ENSG00000135655.9	2935.58	436.00	360.00	579.00	676.00
ENSG00000135677.6	4795.47	2712.00	2274.00	3559.00	4297.00
ENSG00000135678.7	843.90	0.00	1.00	1.00	5.00
ENSG00000135679.17	3572.08	3218.08	2447.84	3032.51	3718.98
ENSG00000135686.8	5320.98	868.00	764.00	847.00	887.00
ENSG00000135697.5	1833.25	1.00	0.00	0.00	0.00
ENSG00000135698.5	1040.55	495.00	386.00	452.00	554.00
ENSG00000135702.10	1671.00	0.00	0.00	0.00	0.00
ENSG00000135709.8	3669.58	50.00	38.00	68.00	59.00
ENSG00000135720.8	3885.55	3795.00	2943.00	4148.00	4973.00
ENSG00000135722.4	869.34	39.00	42.49	32.00	34.00
ENSG00000135723.9	1976.89	321.00	339.00	307.00	216.00
ENSG00000135736.5	2142.17	21.00	18.00	17.00	21.00
ENSG00000135740.12	3697.72	74.00	72.00	97.00	73.00
ENSG00000135744.7	2291.00	24740.00	25160.99	31177.00	27304.00
ENSG00000135747.7	2000.81	180.04	132.17	116.15	157.01
ENSG00000135749.14	717.03	2.00	1.00	4.00	4.00
ENSG00000135763.5	4721.31	230.00	179.00	185.00	203.00
ENSG00000135766.8	3418.54	1574.00	1296.00	1554.00	2061.00
ENSG00000135773.8	2123.00	2.00	2.00	10.00	1.00
ENSG00000135775.9	2959.23	640.00	498.00	595.00	701.00
ENSG00000135776.4	3715.05	597.00	477.00	574.00	722.00
ENSG00000135778.7	1385.20	316.00	267.00	303.00	359.00
ENSG00000135801.5	3298.26	237.00	220.00	227.00	241.00
ENSG00000135821.12	2146.59	9515.00	7846.00	9426.00	10557.00
ENSG00000135823.9	4645.54	589.05	495.29	916.20	1025.87
ENSG00000135828.7	4134.65	4.00	5.00	10.00	16.00
ENSG00000135829.12	3611.07	4023.00	3177.00	3102.00	3585.00
ENSG00000135835.6	9546.84	5.00	4.00	6.00	3.00
ENSG00000135837.11	9421.39	1259.00	998.00	1343.00	1726.00
ENSG00000135838.9	1299.25	0.00	2.00	0.00	0.00
ENSG00000135842.12	2414.60	0.00	1.00	0.00	0.00
ENSG00000135845.5	1473.64	370.00	308.00	357.00	401.00
ENSG00000135847.5	1212.88	248.00	228.00	283.00	297.00
ENSG00000135862.5	6324.84	6916.00	5780.01	7933.00	8885.00
ENSG00000135870.7	10387.83	594.00	474.00	621.00	719.00
ENSG00000135898.5	2527.00	1.00	0.00	1.00	1.00
ENSG00000135899.12	1621.89	236.00	182.49	342.00	373.00
ENSG00000135900.3	1748.00	816.00	659.00	374.00	502.00
ENSG00000135902.5	2687.70	5.00	3.00	23.00	38.00
ENSG00000135905.14	1871.15	0.00	0.00	0.00	0.00
ENSG00000135912.6	2049.00	1736.00	1590.00	2085.00	1943.00
ENSG00000135913.6	6370.98	833.00	733.00	688.00	859.00
ENSG00000135914.5	2246.00	0.00	0.00	2.00	0.00
ENSG00000135916.11	1866.25	2081.00	1954.00	2468.00	2262.00
ENSG00000135917.9	2080.37	76.00	59.00	80.00	93.00
ENSG00000135919.8	2155.68	1111.00	882.00	1916.00	2128.00
ENSG00000135924.11	1669.87	523.00	468.00	721.00	666.00
ENSG00000135925.4	2547.00	0.00	0.00	0.00	1.00
ENSG00000135926.8	2253.43	3455.00	3141.00	4742.00	5106.98
ENSG00000135929.4	1830.36	1969.00	1941.00	2095.00	1877.00
ENSG00000135930.9	1068.54	1087.00	874.00	1273.00	1306.00
ENSG00000135931.13	2627.95	264.00	203.00	265.00	250.00
ENSG00000135932.6	3572.82	893.00	705.50	1109.00	1328.00
ENSG00000135940.2	702.91	684.00	834.00	702.00	655.00
ENSG00000135945.5	2665.01	1092.00	873.00	989.00	1067.00
ENSG00000135951.10	1707.57	63.00	56.00	93.00	120.00
ENSG00000135953.6	2240.46	462.00	439.00	687.00	795.00
ENSG00000135956.4	4674.70	973.00	875.00	1458.00	1488.00
ENSG00000135960.5	4214.00	1.00	0.00	0.00	1.00
ENSG00000135966.8	5979.00	902.00	770.00	749.00	802.00
ENSG00000135968.15	5002.79	1763.41	1423.09	2283.75	2842.18
ENSG00000135972.4	1492.72	617.00	465.00	579.00	616.00
ENSG00000135974.5	2488.41	846.00	692.00	807.00	916.00
ENSG00000135976.12	4542.19	466.61	410.03	581.11	739.67
ENSG00000135999.7	3177.23	563.00	493.00	624.00	822.00
ENSG00000136002.12	499.00	1.00	0.00	1.00	1.00
ENSG00000136003.11	1202.91	678.00	541.00	651.00	695.00
ENSG00000136010.9	7509.35	40.00	33.00	104.00	143.00
ENSG00000136014.7	2988.58	4.00	6.00	7.00	7.00
ENSG00000136021.13	4186.64	578.99	504.00	699.00	888.00
ENSG00000136026.9	3093.00	2636.00	2291.00	3689.00	3833.00
ENSG00000136040.4	5838.27	374.00	307.00	428.00	467.00
ENSG00000136044.7	2213.40	411.00	329.00	414.00	484.00
ENSG00000136045.7	2063.96	834.00	737.00	929.00	1060.00
ENSG00000136048.9	3170.60	1142.00	963.00	1154.00	1472.00
ENSG00000136051.9	4218.61	804.00	639.00	1026.00	1297.00
ENSG00000136052.5	2926.43	107.00	74.00	179.00	209.00
ENSG00000136059.10	1055.69	22.00	14.00	42.00	32.00
ENSG00000136068.10	8605.87	11318.00	11362.99	12738.00	12882.00
ENSG00000136098.12	1788.16	813.00	616.00	965.00	1080.00
ENSG00000136100.8	2547.62	517.00	416.00	463.00	527.00
