symbol	length	Control_D0	Control_D1	AKAP8L_D0	AKAP8L_D1
ENSG00000131037.10	1117.84	79.00	80.00	162.00	168.00
ENSG00000131043.7	2454.95	819.00	854.00	971.00	951.00
ENSG00000131044.12	1809.33	0.00	0.00	0.00	0.00
ENSG00000131051.16	1824.61	14742.00	14594.00	15524.00	14584.00
ENSG00000131055.4	693.00	6.00	3.00	6.00	5.00
ENSG00000131061.9	3360.34	60.00	57.00	122.00	101.00
ENSG00000131067.12	2348.57	660.00	706.00	833.00	887.00
ENSG00000131069.15	1926.11	3467.00	4134.00	3346.00	3207.00
ENSG00000131080.10	3118.06	357.00	356.00	678.00	624.00
ENSG00000131089.9	3604.33	15.00	33.00	65.00	68.00
ENSG00000131094.3	1295.00	0.00	1.00	0.00	1.00
ENSG00000131095.7	3086.00	2.00	1.00	2.00	1.00
ENSG00000131096.6	580.00	0.00	1.00	0.00	1.00
ENSG00000131100.8	1367.57	928.00	994.00	1513.00	1311.00
ENSG00000131115.11	2510.25	128.00	138.00	326.00	278.00
ENSG00000131116.7	1238.69	152.00	165.00	226.00	198.00
ENSG00000131142.9	953.00	0.00	0.00	0.00	2.00
ENSG00000131143.4	731.51	3080.00	3309.00	3903.00	3734.00
ENSG00000131148.4	1414.55	559.00	587.00	683.00	647.00
ENSG00000131149.13	5406.62	2451.00	2475.00	2984.00	2929.00
ENSG00000131152.4	953.00	2.98	0.00	8.48	3.43
ENSG00000131153.4	2673.00	583.00	601.00	454.00	478.00
ENSG00000131165.10	2102.97	1519.00	1627.00	2172.00	2236.00
ENSG00000131171.8	1900.79	281.00	253.00	496.00	465.00
ENSG00000131174.4	1006.78	849.00	975.00	1292.00	1280.00
ENSG00000131183.6	1912.00	1.00	0.00	1.00	1.00
ENSG00000131187.5	1763.90	119.00	104.00	47.00	49.00
ENSG00000131188.7	1347.81	82.00	71.00	93.00	90.00
ENSG00000131196.13	2395.59	2.00	1.00	4.00	7.00
ENSG00000131233.8	1901.00	5.34	0.00	1.00	3.00
ENSG00000131236.12	2094.41	3555.00	3609.00	4747.00	4605.00
ENSG00000131238.12	2113.58	3264.00	3416.00	3843.00	3678.00
ENSG00000131242.11	3098.67	2024.00	2301.00	1635.00	1832.00
ENSG00000131263.8	7597.11	945.00	892.00	1131.00	919.00
ENSG00000131269.11	2185.73	446.00	457.00	616.00	545.00
ENSG00000131323.10	4473.86	404.00	436.00	514.00	494.00
ENSG00000131351.10	1551.62	121.00	136.00	144.00	135.00
ENSG00000131368.3	1981.37	1349.00	1397.00	1317.00	1159.00
ENSG00000131370.11	2451.86	4.00	3.00	3.00	4.00
ENSG00000131373.10	1856.94	224.00	253.00	432.00	365.00
ENSG00000131374.10	4842.81	1458.00	1495.00	1371.00	1265.00
ENSG00000131375.5	3291.79	941.00	930.00	1019.00	936.00
ENSG00000131378.9	1557.50	0.00	0.00	4.00	7.00
ENSG00000131379.5	3326.00	1.00	1.00	1.00	1.00
ENSG00000131381.8	5329.69	653.00	634.00	662.00	644.00
ENSG00000131386.13	4669.00	3.00	3.00	0.00	2.00
ENSG00000131389.12	5521.94	1167.00	1139.00	1283.00	1254.00
ENSG00000131398.9	3299.79	202.00	216.00	200.00	224.00
ENSG00000131400.3	1241.00	0.00	0.00	0.00	0.00
ENSG00000131408.9	1788.61	253.00	272.00	438.00	405.00
ENSG00000131435.8	664.04	33.00	37.00	37.00	29.00
ENSG00000131437.11	4307.58	297.00	284.00	343.00	310.00
ENSG00000131446.11	2455.54	1987.00	1880.00	2309.00	2428.00
ENSG00000131459.8	3093.00	1.00	1.00	0.00	1.00
ENSG00000131462.3	1584.13	2748.51	2861.17	2142.28	2392.82
ENSG00000131467.6	1992.97	2252.00	2187.00	3073.00	2766.00
ENSG00000131469.8	492.54	8301.00	8965.00	8872.00	10086.00
ENSG00000131470.10	1189.97	192.00	206.00	198.00	192.00
ENSG00000131471.2	2603.45	1780.76	1863.44	1244.62	1212.62
ENSG00000131473.12	4221.52	10791.00	11983.00	9731.00	9248.00
ENSG00000131475.2	1089.33	1493.00	1484.00	2004.00	1926.00
ENSG00000131477.6	685.56	28.00	27.00	38.00	46.00
ENSG00000131480.4	2649.99	119.00	90.00	91.00	102.00
ENSG00000131482.5	2602.84	2524.00	2915.00	1352.00	1608.00
ENSG00000131484.3	333.00	5.57	6.89	3.76	2.25
ENSG00000131495.4	774.39	354.00	344.00	586.00	563.00
ENSG00000131503.16	3813.59	3223.20	3360.47	3636.07	3429.59
ENSG00000131504.11	4975.28	2801.00	2852.00	4223.00	3802.00
ENSG00000131507.9	3763.21	812.00	846.00	1195.00	942.00
ENSG00000131508.11	1567.73	1300.00	1207.00	1571.00	1539.00
ENSG00000131558.10	3828.61	961.00	1012.00	1076.00	1055.00
ENSG00000131584.14	2303.59	1535.00	1540.00	2026.00	2221.00
ENSG00000131591.13	2125.73	138.00	148.00	184.00	166.00
ENSG00000131626.11	3847.92	1196.00	1168.00	1361.00	1156.00
ENSG00000131650.9	2331.63	27.00	40.00	36.00	25.00
ENSG00000131652.9	1360.41	481.00	472.00	466.00	483.00
ENSG00000131653.8	2566.57	1921.00	1960.00	2084.00	2195.00
ENSG00000131669.5	1278.30	1239.00	1345.00	1559.00	1598.00
ENSG00000131697.13	4058.39	489.00	495.00	479.00	520.00
ENSG00000131711.10	12034.00	1140.00	1076.00	1275.00	1246.00
ENSG00000131724.6	3817.10	3756.00	3837.40	4249.00	3845.00
ENSG00000131725.9	4099.62	172.00	166.00	287.00	260.00
ENSG00000131730.11	1190.22	51.00	55.00	67.00	57.00
ENSG00000131732.7	1535.54	659.00	646.00	651.00	605.00
ENSG00000131746.8	3210.81	124.00	102.00	319.00	267.00
ENSG00000131747.10	5148.29	13212.00	11286.00	6783.00	6212.00
ENSG00000131748.11	1434.91	1076.00	1047.00	1182.00	1330.00
ENSG00000131759.13	2243.01	418.00	433.00	498.00	645.00
ENSG00000131771.9	1291.00	1.00	1.00	2.00	3.00
ENSG00000131773.9	1088.09	219.00	229.00	222.00	202.00
ENSG00000131778.13	2665.60	2705.00	2624.00	3155.00	2861.00
ENSG00000131779.6	1683.40	379.00	398.00	559.00	466.00
ENSG00000131781.8	2355.12	3563.00	3500.00	5249.00	5033.00
ENSG00000131788.11	2139.92	348.00	326.00	414.00	466.00
ENSG00000131791.6	5168.05	3842.00	3702.00	3815.00	3626.00
ENSG00000131795.8	1425.21	1310.00	1259.00	1567.00	1489.00
ENSG00000131797.8	1765.04	845.00	866.00	903.00	992.00
ENSG00000131828.9	807.58	1400.00	1425.00	1332.00	1341.00
ENSG00000131831.13	1973.17	0.00	1.00	3.00	0.00
ENSG00000131844.11	3142.46	2128.00	2176.00	2492.00	2286.00
ENSG00000131845.10	4087.61	236.00	183.00	290.00	279.00
ENSG00000131848.5	1184.21	125.00	111.00	157.00	151.00
ENSG00000131871.10	1202.82	499.00	497.00	653.00	517.00
ENSG00000131873.5	3650.53	978.00	954.00	1111.00	1062.00
ENSG00000131876.12	1114.90	795.93	815.94	658.91	600.00
ENSG00000131899.6	4413.87	801.00	749.00	983.00	1028.00
ENSG00000131910.4	1156.00	2186.00	2306.00	2498.00	2489.00
ENSG00000131914.6	3458.00	2.00	2.00	1.00	1.00
ENSG00000131931.4	2156.43	139.00	144.00	193.00	172.00
ENSG00000131941.3	3062.69	1197.00	1147.00	1615.00	1468.00
ENSG00000131943.13	1803.09	273.00	269.00	481.00	436.00
ENSG00000131944.5	1291.55	57.00	67.00	45.00	67.00
ENSG00000131951.6	2054.17	0.00	3.00	1.00	0.00
ENSG00000131966.9	1749.43	428.00	437.00	821.00	684.00
ENSG00000131969.10	1317.10	0.00	0.00	0.00	0.00
ENSG00000131979.14	2790.62	394.00	404.00	463.00	406.00
ENSG00000131981.11	1159.42	927.00	1146.00	775.00	722.00
ENSG00000132000.7	1109.08	1.00	0.00	3.00	0.00
ENSG00000132002.3	2237.79	1810.00	1865.00	1971.00	1866.00
ENSG00000132003.5	3629.68	123.00	122.00	274.00	269.00
ENSG00000132004.8	1719.23	103.00	79.00	82.00	93.00
ENSG00000132005.4	3860.70	151.00	129.00	241.00	260.00
ENSG00000132010.11	2261.82	77.48	56.59	109.63	128.02
ENSG00000132016.7	1213.69	33.00	28.00	39.00	40.00
ENSG00000132017.6	1521.68	340.00	369.00	376.00	390.00
ENSG00000132024.13	2276.24	573.00	578.00	999.00	1010.00
ENSG00000132026.9	641.00	12.00	6.00	11.00	6.00
ENSG00000132031.8	2373.47	12360.00	11496.00	13522.00	12656.00
ENSG00000132109.8	1924.00	90.00	96.00	315.00	234.00
ENSG00000132122.7	2659.83	79.00	79.00	98.00	105.00
ENSG00000132128.12	3198.94	1382.00	1513.00	2103.00	2001.00
ENSG00000132130.7	1680.80	0.00	0.00	0.00	0.00
ENSG00000132139.8	2661.00	1.00	0.00	1.00	2.00
ENSG00000132141.9	1813.28	8.00	16.00	31.00	32.00
ENSG00000132142.15	5089.69	2562.00	2617.00	2507.00	2118.00
ENSG00000132153.10	3264.74	1184.00	1335.00	1109.00	1112.00
ENSG00000132155.7	2762.65	1591.00	1688.00	1733.00	1656.00
ENSG00000132164.5	3741.54	886.00	904.00	1459.00	1392.00
ENSG00000132170.15	1844.49	762.00	818.00	709.00	725.00
ENSG00000132182.7	6992.34	3938.00	4083.00	3723.00	3737.00
ENSG00000132185.12	1639.00	0.00	0.00	0.00	1.00
ENSG00000132196.9	1228.37	750.72	760.37	751.81	666.84
ENSG00000132199.14	2511.65	1160.00	1219.00	1699.00	1626.00
ENSG00000132204.9	799.15	0.00	0.00	0.00	0.00
ENSG00000132205.6	1608.64	122.00	91.00	143.00	120.00
ENSG00000132207.13	1044.52	466.39	458.36	346.44	496.02
ENSG00000132254.8	1605.08	658.00	693.00	794.00	874.00
ENSG00000132256.14	2622.74	311.00	277.00	539.00	479.00
ENSG00000132259.8	1399.50	0.00	0.00	2.00	0.00
ENSG00000132274.11	2355.13	110.00	106.00	664.00	559.00
ENSG00000132275.6	1785.28	210.00	210.00	275.00	293.00
ENSG00000132286.7	2403.61	747.82	801.70	819.00	807.09
ENSG00000132294.9	5004.28	1001.00	962.00	1506.00	1346.00
ENSG00000132300.14	1790.97	2541.00	2497.00	2969.00	2751.00
ENSG00000132305.16	2558.94	2808.00	2735.00	3507.00	3279.00
ENSG00000132313.10	1236.69	883.00	877.00	882.99	866.00
ENSG00000132323.4	1283.15	346.00	337.00	508.00	425.00
ENSG00000132326.7	5947.50	485.00	517.00	561.00	553.00
ENSG00000132329.6	807.99	9.00	13.00	134.00	118.00
ENSG00000132330.12	2168.25	305.89	319.00	385.51	364.84
ENSG00000132334.12	2293.00	1.00	0.00	3.00	3.00
ENSG00000132341.7	1033.01	5785.47	6144.73	7029.82	6922.82
ENSG00000132356.7	2997.93	1583.00	1426.00	1911.00	1799.00
ENSG00000132357.9	4221.00	35.00	39.00	114.00	96.00
ENSG00000132359.9	4315.43	726.00	711.00	939.00	904.00
ENSG00000132361.12	3194.31	2654.00	2847.00	3016.00	2949.00
ENSG00000132376.15	2115.29	130.00	112.00	218.00	204.00
ENSG00000132382.10	2761.84	1130.00	1104.00	1278.00	1228.00
ENSG00000132383.7	3204.20	1319.00	1381.00	1532.00	1411.00
ENSG00000132386.6	1422.33	10925.00	11030.00	13852.00	13348.00
ENSG00000132388.8	2852.69	938.00	941.00	1482.00	1246.00
ENSG00000132394.6	2193.22	395.00	417.00	377.00	418.00
ENSG00000132405.14	4580.65	1391.00	1446.00	1522.00	1435.00
ENSG00000132406.7	1213.91	221.00	271.00	335.00	338.00
ENSG00000132423.6	1214.20	91.00	88.00	95.00	86.00
ENSG00000132424.10	2913.29	2840.00	2717.00	2309.00	2269.00
ENSG00000132429.5	1345.00	0.00	1.00	3.00	2.00
ENSG00000132432.9	466.16	1037.00	1065.00	938.00	809.00
ENSG00000132434.5	2983.54	193.00	216.00	215.00	246.00
ENSG00000132436.7	3099.29	305.00	307.00	255.00	245.00
ENSG00000132437.13	1929.82	427.00	488.00	473.00	437.00
ENSG00000132463.9	2042.72	1755.00	1788.00	2049.00	1856.00
ENSG00000132464.7	5679.00	1.00	2.00	2.00	2.00
ENSG00000132466.13	6963.93	3817.00	3638.00	4560.00	4270.00
ENSG00000132467.2	2072.00	490.00	482.00	632.00	595.00
ENSG00000132470.9	1288.35	222.00	249.00	272.00	315.00
ENSG00000132471.7	1831.04	2138.00	2297.00	3463.00	3463.00
ENSG00000132475.4	1107.41	6085.00	6131.00	9766.00	9038.00
ENSG00000132478.5	1870.11	765.00	718.00	1122.00	1157.00
ENSG00000132481.2	1491.10	754.00	799.00	1172.00	1073.00
ENSG00000132485.8	2766.88	1515.00	1350.00	1380.00	1270.00
ENSG00000132498.7	1471.80	0.00	1.16	3.31	0.00
ENSG00000132507.13	1318.98	4264.96	4640.96	5238.91	5137.88
ENSG00000132510.6	5130.96	771.00	825.00	1209.00	1230.00
ENSG00000132514.9	1174.51	7.00	8.00	8.00	7.00
ENSG00000132517.10	2377.00	0.00	0.00	2.00	1.00
ENSG00000132522.11	1222.60	630.00	657.25	810.00	873.72
ENSG00000132530.12	1847.82	150.00	89.00	286.00	273.00
ENSG00000132535.14	2236.09	185.00	171.00	172.00	200.00
ENSG00000132541.6	1036.46	330.00	358.00	408.00	397.00
ENSG00000132549.14	8850.14	1098.00	1113.00	1224.00	1129.00
ENSG00000132561.9	1988.62	10.00	8.00	17.00	21.00
ENSG00000132563.11	1905.12	220.00	238.00	262.00	263.00
ENSG00000132570.10	1659.48	92.00	109.00	161.26	137.00
ENSG00000132581.5	1118.84	540.00	553.00	871.00	863.00
ENSG00000132589.11	2504.62	1470.00	1590.00	2156.00	2140.00
ENSG00000132591.7	1773.45	1061.00	1116.00	1088.00	1107.00
ENSG00000132600.12	1277.25	693.00	679.00	788.00	845.00
ENSG00000132603.9	2101.92	898.00	886.00	1020.00	886.00
ENSG00000132604.6	1955.60	531.00	528.00	716.00	666.00
ENSG00000132612.14	2190.32	1382.00	1413.04	1618.36	1598.00
ENSG00000132613.10	2217.21	4703.00	4815.00	5222.00	5420.00
ENSG00000132622.6	3009.00	2.00	0.00	2.00	6.00
ENSG00000132623.11	3604.74	209.00	226.00	304.00	265.00
ENSG00000132635.12	1782.31	993.00	1085.00	1402.00	1446.00
ENSG00000132640.10	4218.12	1397.00	1330.00	1573.00	1481.00
ENSG00000132646.6	1344.34	4101.00	4171.00	3153.00	2848.00
ENSG00000132661.3	1123.00	256.00	277.00	336.00	319.00
ENSG00000132664.7	2328.30	348.00	354.00	426.00	380.00
ENSG00000132669.8	3112.48	142.00	104.00	208.00	178.00
ENSG00000132670.16	2734.03	2518.89	2541.00	2444.00	2371.00
ENSG00000132676.11	1236.60	1251.00	1246.00	1482.61	1468.37
ENSG00000132677.8	1455.13	1286.00	1315.00	2242.00	2386.00
ENSG00000132680.6	2629.50	1295.00	1195.00	1252.00	1240.00
ENSG00000132688.10	5558.00	1578.00	1330.00	2923.00	2553.00
ENSG00000132694.14	5193.73	1052.00	1095.00	1378.00	1427.00
ENSG00000132698.9	627.00	0.00	0.00	3.00	3.00
ENSG00000132702.8	1014.60	0.00	0.00	0.00	0.00
ENSG00000132716.14	2176.77	2107.77	1958.00	3187.00	2967.84
ENSG00000132718.7	5240.00	64.00	58.00	120.00	110.00
ENSG00000132740.4	2564.17	332.00	351.00	372.00	400.00
ENSG00000132744.3	1300.00	25.00	34.00	155.00	148.00
ENSG00000132749.6	1146.23	5.00	3.00	8.00	12.00
ENSG00000132763.10	2981.00	254.00	265.00	290.00	294.00
ENSG00000132768.9	1819.94	441.00	493.00	628.00	582.00
ENSG00000132773.7	2040.27	177.00	166.00	219.00	202.00
ENSG00000132780.12	1625.29	5505.00	5241.00	4400.00	4169.00
ENSG00000132781.13	1128.32	210.00	192.00	219.00	218.00
ENSG00000132792.14	1921.71	1250.00	1311.00	1443.00	1216.00
ENSG00000132793.7	2597.82	1370.00	1453.00	1532.00	1554.00
ENSG00000132801.5	2772.57	134.00	146.00	147.00	149.00
ENSG00000132819.12	2248.53	624.00	678.00	1173.00	1071.00
ENSG00000132821.7	1338.50	0.00	0.00	0.00	0.00
ENSG00000132823.6	1572.00	661.00	748.00	998.00	874.00
ENSG00000132824.9	3454.16	4475.00	4261.00	5185.00	4667.00
ENSG00000132825.5	3459.00	85.00	80.00	136.00	113.00
ENSG00000132837.10	2524.44	153.00	146.00	181.00	173.00
ENSG00000132840.5	1557.49	203.00	172.26	385.79	384.81
ENSG00000132842.9	3851.65	1610.00	1659.69	1985.00	1767.00
ENSG00000132846.5	6172.00	309.00	288.00	545.00	528.00
ENSG00000132849.14	6777.06	683.00	634.00	1068.00	940.00
ENSG00000132854.14	3995.04	436.00	492.00	272.00	286.00
ENSG00000132855.4	2805.00	9.00	11.00	24.00	15.00
ENSG00000132874.9	2823.50	0.00	0.00	0.00	0.00
ENSG00000132879.9	1958.55	468.00	476.00	564.00	541.00
ENSG00000132881.7	1545.00	4.00	5.00	10.00	9.00
ENSG00000132906.13	1936.52	182.00	205.00	298.00	270.00
ENSG00000132912.8	3848.02	1066.00	1015.00	1190.00	1148.00
ENSG00000132915.6	5642.00	0.00	1.00	0.00	1.00
ENSG00000132932.12	6839.25	3.00	4.00	11.00	13.00
ENSG00000132950.14	1980.82	179.00	169.00	253.00	224.00
ENSG00000132952.7	3498.38	445.00	507.00	560.00	488.00
ENSG00000132953.12	8263.31	1022.00	968.00	970.00	840.00
ENSG00000132958.13	1597.67	0.00	0.00	0.00	0.00
ENSG00000132963.7	1330.00	849.00	813.00	1134.00	941.00
ENSG00000132964.7	2222.51	437.00	442.00	455.00	489.00
ENSG00000132965.5	897.00	3.00	5.00	2.00	1.00
ENSG00000132967.9	648.84	339.23	268.18	159.66	209.97
ENSG00000132970.8	4792.57	646.00	663.00	758.00	686.00
ENSG00000133026.8	7039.42	5853.00	5791.00	3559.00	3576.00
ENSG00000133027.13	998.25	250.00	283.00	326.00	349.00
ENSG00000133028.6	1732.85	430.00	475.00	626.00	509.00
ENSG00000133030.15	3265.77	1780.00	1751.00	1646.00	1635.00
ENSG00000133048.8	1252.63	0.00	0.00	4.00	10.00
ENSG00000133055.4	1805.00	1.00	1.00	1.00	1.00
ENSG00000133056.9	5096.95	194.00	198.00	408.00	388.00
ENSG00000133059.12	7874.00	270.00	261.00	304.00	283.00
ENSG00000133065.6	4535.43	371.00	387.00	426.00	381.00
ENSG00000133067.13	3406.00	0.00	1.00	0.00	1.00
ENSG00000133069.10	2074.11	14.00	8.00	15.00	12.00
ENSG00000133103.12	3272.59	579.00	597.00	493.00	520.00
ENSG00000133104.8	1924.95	466.00	467.00	617.00	535.00
ENSG00000133106.10	2198.46	1.00	0.00	6.00	5.00
ENSG00000133111.3	2304.00	194.00	196.00	178.00	146.00
ENSG00000133112.12	928.25	28189.00	30390.00	26658.00	24963.00
ENSG00000133114.13	2024.79	428.00	435.00	379.00	338.00
ENSG00000133119.8	2348.79	767.00	745.00	553.00	444.00
ENSG00000133121.16	5024.16	516.00	471.00	305.00	355.00
ENSG00000133131.10	3528.67	461.00	447.00	884.00	726.00
ENSG00000133134.7	871.65	9.00	4.00	22.00	23.00
ENSG00000133135.9	2791.40	1970.00	1908.00	2655.00	2398.00
ENSG00000133136.3	502.00	1.00	0.00	0.00	1.00
ENSG00000133138.15	5100.06	510.00	442.00	602.00	521.00
ENSG00000133142.13	1167.11	731.00	672.00	789.00	828.00
ENSG00000133169.5	864.00	398.00	375.00	784.00	721.00
ENSG00000133193.8	2435.84	712.00	636.00	922.00	874.00
ENSG00000133195.7	1752.80	450.00	414.00	409.00	356.00
ENSG00000133216.12	4641.00	1.00	0.00	0.00	1.00
ENSG00000133226.12	2632.69	2624.88	2510.79	2509.00	2422.92
ENSG00000133243.4	2588.49	1352.00	1482.00	1486.00	1723.00
ENSG00000133246.7	2667.00	1.00	0.00	2.00	1.00
ENSG00000133247.9	1655.12	150.79	161.25	260.39	229.18
ENSG00000133250.9	769.66	66.00	90.00	128.00	133.00
ENSG00000133256.8	1119.68	3.00	4.00	5.00	8.00
ENSG00000133265.6	1345.50	346.00	375.00	476.00	470.00
ENSG00000133275.11	2176.15	1303.00	1238.00	1472.00	1411.00
ENSG00000133302.8	2684.79	173.00	163.00	173.00	165.00
ENSG00000133313.10	2056.31	1507.00	1583.00	2058.00	1970.00
ENSG00000133315.6	770.05	233.00	226.00	144.00	146.00
ENSG00000133316.11	1135.82	628.79	612.31	723.90	691.00
ENSG00000133318.9	2279.27	1598.35	1525.98	1912.00	1816.99
ENSG00000133321.6	749.00	5.00	3.00	22.00	26.00
ENSG00000133328.3	742.00	0.00	0.00	0.00	0.00
ENSG00000133392.12	3974.36	0.00	1.00	0.00	0.00
ENSG00000133393.8	1938.73	1065.00	1017.00	819.00	790.00
ENSG00000133398.3	1086.35	224.00	194.00	269.00	245.00
ENSG00000133401.11	672.00	0.00	2.00	2.00	1.00
ENSG00000133422.8	3958.65	1301.00	1326.00	1734.00	1800.00
ENSG00000133424.16	4189.94	557.00	530.00	656.00	635.00
ENSG00000133433.6	1099.00	6.42	2.95	13.89	10.35
ENSG00000133454.11	7999.69	2.00	2.00	27.00	39.00
ENSG00000133460.15	1872.55	273.00	284.00	279.00	309.00
ENSG00000133466.9	3079.49	262.00	272.00	348.00	403.00
ENSG00000133475.12	1845.00	0.00	1.97	0.00	1.61
ENSG00000133488.10	2499.00	12.00	14.00	14.00	10.00
ENSG00000133519.8	2309.00	2.00	3.00	5.00	4.00
ENSG00000133597.5	2364.68	304.00	280.00	394.00	377.00
ENSG00000133606.6	2206.27	1100.00	1106.00	1713.00	1614.00
ENSG00000133612.14	1855.45	1008.00	979.00	1089.00	1139.00
ENSG00000133619.13	2189.27	166.00	168.00	235.00	216.00
ENSG00000133624.9	2265.54	229.64	245.65	269.20	285.79
ENSG00000133627.13	1849.26	114.24	127.07	173.36	143.10
ENSG00000133636.6	1237.00	1.00	0.00	34.00	22.00
ENSG00000133639.3	2448.00	674.00	710.00	868.00	790.00
ENSG00000133640.14	5394.00	3.00	1.00	5.00	4.00
ENSG00000133641.13	1374.83	176.00	178.00	200.00	175.00
ENSG00000133657.10	3361.57	2320.00	2191.00	2832.00	2410.00
ENSG00000133665.8	1397.92	37.00	46.00	35.00	35.00
ENSG00000133678.9	1471.50	283.00	281.00	271.00	304.00
ENSG00000133687.11	5942.90	51.00	47.00	75.00	73.00
ENSG00000133703.7	5242.92	663.00	585.00	815.00	719.00
ENSG00000133704.5	4249.39	1104.00	1172.00	1617.00	1403.00
ENSG00000133706.13	3660.92	2211.00	2149.00	2027.00	1836.00
ENSG00000133710.11	2610.83	1.00	2.00	30.00	24.00
ENSG00000133731.5	1877.99	440.00	413.00	492.00	467.00
ENSG00000133739.11	3479.46	169.00	174.00	125.00	114.00
ENSG00000133740.6	1525.89	344.00	315.00	499.00	385.00
ENSG00000133773.7	866.77	341.00	367.00	273.00	291.00
ENSG00000133789.10	4758.72	557.00	544.00	775.00	638.00
ENSG00000133794.13	2708.85	99.00	95.00	203.00	216.00
ENSG00000133800.4	2511.66	30.00	37.00	50.00	48.00
ENSG00000133805.11	2429.10	71.00	64.00	138.00	95.00
ENSG00000133808.4	3044.00	1.00	4.00	4.00	4.00
ENSG00000133812.10	4808.26	1300.00	1301.33	1404.00	1339.00
ENSG00000133816.9	4114.48	33.00	32.00	166.00	144.00
ENSG00000133818.8	1557.23	536.64	561.00	709.44	631.00
ENSG00000133835.10	1976.69	3486.00	3585.00	4189.00	3894.00
ENSG00000133858.11	3935.78	1382.00	1265.00	1283.00	1197.00
ENSG00000133863.2	6250.50	78.00	55.00	158.00	174.00
ENSG00000133872.9	1725.47	2761.00	2744.00	4443.00	3909.00
ENSG00000133874.1	1868.00	166.00	205.00	160.00	197.00
ENSG00000133878.4	1310.33	0.00	1.00	1.00	0.00
ENSG00000133884.5	2559.26	765.00	812.00	1055.00	1071.00
ENSG00000133895.10	2284.78	953.00	910.00	938.00	886.00
ENSG00000133935.6	2633.00	1044.00	1228.00	1416.00	1291.00
ENSG00000133943.16	1303.55	349.00	378.00	394.00	381.00
ENSG00000133958.9	7908.00	2.00	1.00	0.00	1.00
ENSG00000133961.15	2794.81	1340.00	1277.00	1690.00	1654.00
ENSG00000133983.10	1344.58	344.85	334.01	478.21	371.35
ENSG00000133985.2	5217.00	49.00	38.00	185.00	137.00
ENSG00000133997.7	1324.21	444.00	437.00	531.00	501.00
ENSG00000134001.8	949.86	1108.00	1081.00	1421.00	1234.00
ENSG00000134007.3	2795.00	1.00	3.00	1.00	2.00
ENSG00000134013.11	3356.23	137.00	124.00	171.00	186.00
ENSG00000134014.12	1961.32	870.00	824.00	1006.00	925.00
ENSG00000134020.6	608.00	0.00	0.00	0.00	0.00
ENSG00000134030.9	3146.91	606.00	604.00	682.00	699.00
ENSG00000134046.7	1999.17	565.00	490.00	730.00	589.00
ENSG00000134049.3	1481.00	994.00	961.00	1020.00	906.00
ENSG00000134056.7	1284.21	409.97	375.00	578.00	505.87
ENSG00000134057.10	1515.21	1909.00	1840.00	1473.00	1483.00
ENSG00000134058.6	1244.36	586.00	557.00	489.00	394.00
ENSG00000134070.4	3483.00	381.00	406.00	656.00	571.00
ENSG00000134072.6	1366.41	348.00	350.00	399.00	431.00
ENSG00000134077.11	1652.71	699.00	655.00	707.00	701.00
ENSG00000134086.7	2566.70	1421.00	1304.00	1516.00	1374.00
ENSG00000134107.4	3379.93	4639.00	4966.00	5625.00	5579.00
ENSG00000134108.8	2630.84	883.00	927.00	1500.00	1249.00
ENSG00000134109.6	4932.24	1599.00	1462.00	1425.00	1422.00
ENSG00000134138.15	2831.67	251.00	229.00	337.00	301.00
ENSG00000134146.7	967.74	89.00	103.00	138.00	70.00
ENSG00000134152.6	1307.91	385.00	362.00	394.00	352.00
ENSG00000134153.5	1132.98	852.00	858.00	1313.00	1098.00
ENSG00000134183.7	1339.00	1.00	1.00	0.00	0.00
ENSG00000134184.8	790.00	0.00	0.00	0.00	1.63
ENSG00000134186.7	2928.20	1260.00	1205.00	1383.00	1212.00
ENSG00000134193.10	1357.00	0.00	0.00	0.00	2.00
ENSG00000134201.6	2171.67	0.00	0.00	1.00	0.00
ENSG00000134202.6	1258.53	750.00	770.00	1173.00	1101.00
ENSG00000134215.11	2462.98	376.00	452.00	641.00	596.00
ENSG00000134222.12	1557.03	504.00	500.00	315.00	345.00
ENSG00000134240.7	2173.35	23.00	23.00	123.00	109.00
ENSG00000134242.11	2118.00	0.00	0.00	1.00	1.00
ENSG00000134243.7	5683.39	5871.00	5915.00	5811.00	5558.00
ENSG00000134245.13	4054.28	41.00	40.00	44.00	50.00
ENSG00000134247.9	3417.85	359.00	350.00	524.00	505.00
ENSG00000134248.9	658.49	721.00	786.00	1036.00	1023.00
ENSG00000134250.13	9997.46	1004.55	984.32	1417.84	1333.47
ENSG00000134253.5	2891.96	91.00	106.00	100.00	87.00
ENSG00000134255.9	2383.30	730.00	647.00	740.00	747.00
ENSG00000134256.8	1992.00	3.00	3.00	4.00	0.00
ENSG00000134262.8	2275.38	165.00	176.00	250.00	204.00
ENSG00000134265.8	2859.55	666.00	664.00	623.00	607.00
ENSG00000134278.10	3748.32	428.00	439.00	870.00	741.00
ENSG00000134283.13	1729.37	863.00	849.00	1212.00	1095.00
ENSG00000134285.6	1664.50	324.00	285.00	340.00	304.00
ENSG00000134287.5	3608.42	2060.06	2058.54	2921.00	2782.18
ENSG00000134291.7	1154.13	1035.00	1068.00	1169.00	1247.00
ENSG00000134294.9	3960.77	38949.00	35885.00	33339.00	30238.00
ENSG00000134297.6	714.24	42.10	35.47	49.09	44.77
ENSG00000134308.9	2035.40	4974.00	4932.00	6472.00	5862.00
